user_id,user_win_rate,user_lose_rate,user_draw_rate,user_game_count,user_blitz_rating,user_rating_bin,user_white_win_rate,user_white_lose_rate,user_white_draw_rate,user_white_game_count,user_black_win_rate,user_black_lose_rate,user_black_draw_rate,user_black_game_count,user_top_eco,user_second_eco,user_top_winrate_eco,user_second_winrate_eco,user_mate_winrate,user_resign_winrate,user_time_winrate,user_mate_lossrate,user_resign_lossrate,user_time_lossrate,user_average_game_len,user_op,op_game_result,op_win_rate,op_lose_rate,op_draw_rate,op_game_count,op_white_win_rate,op_white_lose_rate,op_white_draw_rate,op_white_game_count,op_black_win_rate,op_black_lose_rate,op_black_draw_rate,op_black_game_count,op_top_eco,op_second_eco,op_top_winrate_eco,op_second_winrate_eco,op_mate_winrate,op_resign_winrate,op_time_winrate,op_mate_lossrate,op_resign_lossrate,op_time_lossrate,op_average_game_len
Mendee123,51.0,45.0,4.0,100.0,1622.0,1620-1639,46.774,45.161,8.065,62.0,52.381,46.032,1.587,63.0,D00,B20,A01,C34,0.194,0.694,0.097,0.456,0.351,0.088,545.0,dmitrijj-minochkin,1,56.0,42.0,1.0,100.0,59.677,38.71,1.613,62.0,53.968,44.444,1.587,63.0,D00,B00,E71,E61,0.197,0.648,0.155,0.038,0.962,0.0,483.0
illgil,59.0,35.0,6.0,100.0,1078.0,1060-1079,54.412,41.176,4.412,68.0,56.14,42.105,1.754,57.0,A40,C50,B23,A20,0.348,0.362,0.261,0.5,0.346,0.135,357.0,cboy777,1,44.0,50.0,4.0,67.0,48.649,51.351,0.0,37.0,44.444,47.222,8.333,36.0,A40,B30,B33,D94,0.353,0.265,0.324,0.194,0.111,0.694,450.0
Alex_314,50.0,48.0,2.0,100.0,2016.0,2000-2019,60.317,38.095,1.587,63.0,56.452,38.71,4.839,62.0,A03,A02,A04,A70,0.301,0.411,0.219,0.062,0.25,0.604,445.0,zlanton,1,44.0,51.0,5.0,100.0,40.625,53.125,6.25,64.0,54.098,40.984,4.918,61.0,C41,C00,D02,A15,0.186,0.525,0.271,0.322,0.542,0.119,379.0
biniamd,42.0,54.0,4.0,100.0,1876.0,1860-1879,46.032,52.381,1.587,63.0,48.387,48.387,3.226,62.0,B06,A40,E30,A01,0.153,0.644,0.186,0.032,0.54,0.413,352.0,Stoindlscheyba,-1,44.0,52.0,4.0,100.0,51.613,43.548,4.839,62.0,42.857,49.206,7.937,63.0,B00,A10,A35,A34,0.068,0.593,0.271,0.466,0.466,0.069,393.0
pjajcikm,51.0,47.0,2.0,100.0,2066.0,2060-2079,59.677,38.71,1.613,62.0,44.444,47.619,7.937,63.0,C00,A00,D21,B10,0.277,0.385,0.338,0.63,0.315,0.056,250.0,Sarada_Samaa,1,49.0,49.0,2.0,100.0,59.677,38.71,1.613,62.0,46.032,52.381,1.587,63.0,D02,A04,D78,A51,0.318,0.409,0.273,0.07,0.579,0.316,275.0
Peuplier,48.0,49.0,3.0,100.0,1441.0,1440-1459,40.323,56.452,3.226,62.0,53.968,42.857,3.175,63.0,D00,C50,A28,A34,0.186,0.61,0.169,0.177,0.5,0.29,594.0,jerem08,1,45.0,51.0,4.0,100.0,60.317,36.508,3.175,63.0,35.484,58.065,6.452,62.0,D00,D02,B15,A03,0.15,0.65,0.167,0.61,0.39,0.0,542.0
jaspreet08,52.0,38.0,10.0,100.0,1022.0,1020-1039,52.308,44.615,3.077,65.0,41.667,40.0,18.333,60.0,A00,C00,C20,A01,0.203,0.305,0.458,0.566,0.038,0.358,271.0,kolia2,-1,49.0,50.0,1.0,100.0,53.968,44.444,1.587,63.0,48.387,51.613,0.0,62.0,A40,D00,C25,D11,0.438,0.281,0.234,0.183,0.3,0.5,254.0
odenkouzuki,48.0,44.0,8.0,100.0,1143.0,1140-1159,60.0,36.923,3.077,65.0,36.667,58.333,5.0,60.0,A40,D06,D40,C41,0.279,0.475,0.23,0.271,0.475,0.254,220.0,buckyb01,-1,48.0,49.0,3.0,100.0,42.188,57.812,0.0,64.0,54.098,37.705,8.197,61.0,B01,A40,A00,A01,0.117,0.417,0.467,0.317,0.433,0.25,282.0
ApostolicPentecostal,47.0,52.0,1.0,100.0,1296.0,1280-1299,56.25,42.188,1.562,64.0,40.984,57.377,1.639,61.0,C25,A80,C28,C27,0.344,0.41,0.213,0.306,0.355,0.339,362.0,ali_alizadeh1,1,48.0,49.0,3.0,100.0,50.769,49.231,0.0,65.0,35.0,65.0,0.0,60.0,D00,A40,C55,C11,0.352,0.556,0.093,0.338,0.563,0.056,260.0
almoulim,51.0,48.0,1.0,100.0,2071.0,2060-2079,52.459,45.902,1.639,61.0,57.812,39.062,3.125,64.0,A00,B00,C53,B02,0.246,0.623,0.13,0.132,0.509,0.358,383.0,RubenPuchler,1,25.0,75.0,0.0,36.0,59.322,33.898,6.78,59.0,48.485,42.424,9.091,66.0,C42,A45,C20,A26,0.239,0.567,0.149,0.312,0.604,0.083,379.0
