user_id,win_rate,lose_rate,draw_rate,game_count,blitz_rating
Ashrafalassal87,35.0,60.0,5.0,60.0,1706.0
zxcvbnm595,54.0,36.0,10.0,100.0,2629.0
IshmaelKissinger,48.0,52.0,0.0,100.0,1868.0
Nirvaan_bagri,44.0,55.0,0.0,27.0,1574.0
paterfischi,36.0,54.0,9.0,66.0,1526.0
manuel266,53.0,43.0,4.0,100.0,1452.0
Ben_X,0.0,100.0,0.0,3.0,1238.0
btreezy,64.0,29.0,5.0,17.0,1791.0
univercity2020,46.0,51.0,3.0,100.0,1528.0
Travis072,50.0,46.0,4.0,100.0,1352.0
Mohamed_shapan,0.0,100.0,0.0,1.0,1633.0
kevin_27_7,56.0,40.0,4.0,100.0,1472.0
Fr0mage,0.0,100.0,0.0,3.0,1217.0
queen333,49.0,47.0,4.0,100.0,1635.0
victormendez,53.0,45.0,2.0,100.0,1305.0
Lucasnzbr10,48.0,47.0,5.0,100.0,2146.0
CHARLOTECHARLIE,49.0,46.0,5.0,100.0,1745.0
TrueloveBOT,48.0,51.0,1.0,100.0,2035.0
giorgiofontana81,39.0,52.0,9.0,100.0,2023.0
d1vinitas,35.0,61.0,4.0,100.0,1853.0
ourfella,57.0,40.0,2.0,100.0,1395.0
Parham2800,45.0,39.0,15.0,33.0,2112.0
Choike2,0.0,50.0,50.0,6.0,2054.0
Pr0C0x,61.0,26.0,11.0,78.0,1907.0
Buminn_stern,46.0,49.0,5.0,100.0,1818.0
Kanibalista,50.0,47.0,3.0,100.0,2125.0
Fisherman343,47.0,50.0,3.0,100.0,1293.0
Lejnardo,39.0,56.0,5.0,100.0,1612.0
EminovOrkhan,50.0,50.0,0.0,42.0,2570.0
zigmas07,55.0,41.0,4.0,100.0,1916.0
sandrita1997,40.0,51.0,9.0,100.0,1775.0
hassanattwa,55.0,43.0,2.0,100.0,1890.0
Paved,43.0,49.0,8.0,100.0,1843.0
Albomba4444,0.0,100.0,0.0,6.0,2380.0
kriokamera,56.0,41.0,2.0,100.0,1346.0
Vm_mV,66.0,33.0,0.0,18.0,1955.0
gokment,0.0,100.0,0.0,3.0,1499.0
Ya-yaZDV,56.0,38.0,5.0,100.0,2000.0
All_For_One1,47.0,48.0,5.0,100.0,1815.0
Fabrizioprorafeli,0.0,100.0,0.0,6.0,759.0
Dannyfreshii,64.0,32.0,3.0,93.0,1772.0
AM503,37.0,50.0,12.0,8.0,
Frjapmontreuil,52.0,48.0,0.0,100.0,1683.0
Renegade2010,38.0,57.0,4.0,100.0,2107.0
deanisla_ltc,44.0,52.0,2.0,78.0,1922.0
Dragan959,60.0,32.0,8.0,100.0,2016.0
smokeen1,52.0,43.0,5.0,100.0,2251.0
Rogirvanderveidan,48.0,49.0,3.0,100.0,1734.0
Pi_and_Sigma,66.0,33.0,0.0,9.0,1782.0
abhugay,66.0,33.0,0.0,9.0,1491.0
abouzedah067,49.0,50.0,1.0,100.0,1507.0
sc226,49.0,47.0,4.0,100.0,1891.0
Albertoo74,50.0,39.0,11.0,100.0,1556.0
Witek902,25.0,75.0,0.0,12.0,1651.0
charlymario,44.0,51.0,5.0,100.0,1688.0
NAVJ87,56.0,42.0,2.0,100.0,879.0
M9j,50.0,46.0,4.0,100.0,1986.0
sinanj_001,50.0,47.0,3.0,100.0,1637.0
RoySorrosa,100.0,0.0,0.0,3.0,1367.0
SuryanshKhatri,47.0,42.0,9.0,61.0,1432.0
D4lt_kibitzer,66.0,33.0,0.0,18.0,2279.0
SigmaAlfa,45.0,52.0,3.0,100.0,1672.0
avyuktdutta,40.0,60.0,0.0,60.0,1265.0
otrebor1988,30.0,70.0,0.0,30.0,1526.0
Tiger1947,30.0,69.0,1.0,100.0,931.0
TimurBychenko10,14.0,82.0,4.0,100.0,850.0
YoussefHOSSAM2006,37.0,60.0,3.0,100.0,985.0
mohamed_lotfi,48.0,48.0,4.0,100.0,1755.0
ashDubey,34.0,60.0,6.0,100.0,566.0
ddananic,43.0,53.0,4.0,100.0,1979.0
HaRd3sT1,37.0,62.0,0.0,24.0,1632.0
zeravla,46.0,51.0,3.0,100.0,1783.0
Maxpowerrr,46.0,40.0,13.0,45.0,1808.0
hasalama,48.0,47.0,5.0,100.0,1734.0
Fortek7,57.0,37.0,5.0,100.0,1740.0
Jamalohio69,68.0,31.0,0.0,96.0,
meleagant75,39.0,52.0,9.0,100.0,2047.0
MostafaRadmard,0.0,100.0,0.0,3.0,1320.0
