user_id,win_rate,lose_rate,draw_rate,game_count,blitz_rating
Yoto856,50.0,50.0,0.0,12.0,1571.0
Ferdy89,66.0,33.0,0.0,18.0,1726.0
V07Valera,66.0,33.0,0.0,9.0,1848.0
NikolaK361,44.0,49.0,7.0,100.0,1650.0
dybuk,56.0,38.0,6.0,100.0,1824.0
Gerrit1946,38.0,56.0,5.0,100.0,1179.0
Estrella71,41.0,53.0,6.0,100.0,1714.0
Renat_Bilous,39.0,57.0,3.0,100.0,705.0
jmmlimia,53.0,47.0,0.0,100.0,1354.0
Abbas_kayyum,100.0,0.0,0.0,3.0,1741.0
KuanishBaig,50.0,49.0,1.0,100.0,1680.0
MirajY,53.0,38.0,9.0,100.0,2126.0
GarryKapivarov,50.0,50.0,0.0,42.0,2006.0
Almontaser_Alfassi,37.0,61.0,2.0,100.0,1486.0
eladsade,63.0,36.0,0.0,33.0,1906.0
ScottCC,36.0,60.0,4.0,100.0,960.0
Mannjit,48.0,44.0,8.0,100.0,1715.0
Youngbolx2,99.0,0.0,1.0,100.0,1500.0
pavelpavelgros,46.0,48.0,6.0,100.0,1339.0
fofolido7,47.0,44.0,9.0,100.0,1858.0
cheeester,28.0,68.0,3.0,100.0,1492.0
FLaSh4747,35.0,38.0,25.0,93.0,1923.0
MO_ABDELHAMED,43.0,51.0,6.0,100.0,1679.0
Viral_BlueGirl,54.0,45.0,0.0,93.0,1990.0
KhevinSubra,52.0,48.0,0.0,100.0,1212.0
ArielR29,45.0,50.0,5.0,100.0,1514.0
windhover,12.0,62.0,25.0,24.0,1794.0
Ist-Chikara,46.0,48.0,6.0,100.0,1797.0
DetroitMichael,100.0,0.0,0.0,3.0,1800.0
token_listrik,46.0,52.0,2.0,100.0,1708.0
HerBoris,53.0,43.0,4.0,100.0,2191.0
Fredd17,43.0,53.0,4.0,100.0,1615.0
nudded2,46.0,46.0,8.0,100.0,1651.0
wyzky,39.0,57.0,3.0,100.0,1594.0
Stalgebrek,50.0,47.0,3.0,100.0,1377.0
ShahDalahoo28,19.0,69.0,12.0,100.0,1313.0
seyyedreza1368,52.0,44.0,4.0,100.0,1917.0
hihelpek,41.0,55.0,4.0,100.0,1362.0
febagi,56.0,37.0,6.0,48.0,1867.0
I_Otlichnik,65.0,31.0,3.0,96.0,2056.0
abhisaar13,40.0,51.0,8.0,37.0,1729.0
timudzin65,41.0,58.0,0.0,36.0,1689.0
sergej-v,48.0,51.0,1.0,100.0,2094.0
Alvise1,14.0,85.0,0.0,21.0,1164.0
Gerardo_Bustamante7,59.0,35.0,6.0,100.0,1061.0
LAChess10000,44.0,51.0,5.0,100.0,1737.0
mithun567,41.0,56.0,2.0,100.0,1173.0
Siebe583,0.0,100.0,0.0,2.0,1095.0
so4ev,49.0,44.0,7.0,100.0,1853.0
MisterNearMiss,48.0,46.0,6.0,100.0,1584.0
i_am_not_bread,57.0,42.0,0.0,57.0,2119.0
MonkiDeLuffi,53.0,42.0,5.0,100.0,1676.0
inm70,55.0,33.0,11.0,54.0,2434.0
latoya1983,43.0,52.0,5.0,100.0,2127.0
Tharsic,51.0,48.0,1.0,100.0,1476.0
wolfccc58,47.0,50.0,3.0,100.0,1047.0
Blandito69,51.0,41.0,8.0,100.0,2042.0
luisjomg19,66.0,30.0,4.0,100.0,2007.0
razgon,27.0,71.0,2.0,100.0,898.0
SayedIssa,54.0,41.0,5.0,100.0,2182.0
SpartanBoy,44.0,47.0,9.0,100.0,1784.0
Awal_cs,37.0,60.0,1.0,53.0,1676.0
bishopjone,52.0,44.0,4.0,100.0,1841.0
Vlad4454,33.0,66.0,0.0,9.0,2126.0
Parfen2020,46.0,47.0,7.0,100.0,2068.0
gahrymannn,49.0,46.0,5.0,100.0,1990.0
DmytroKomlyk,43.0,35.0,22.0,100.0,1500.0
HarryWilson2002,62.0,38.0,0.0,100.0,2203.0
Noob_4455,50.0,46.0,4.0,100.0,1920.0
dema_dema,44.0,53.0,3.0,100.0,1984.0
acemrek,61.0,39.0,0.0,100.0,1763.0
jean_pier,47.0,46.0,7.0,100.0,1772.0
OmarSaber123,44.0,51.0,5.0,100.0,1383.0
lucijana2,46.0,53.0,1.0,100.0,1654.0
Trauco64,42.0,52.0,6.0,100.0,2086.0
abdoo995,62.0,38.0,0.0,100.0,1714.0
Sudharshanv,35.0,53.0,12.0,100.0,2344.0
DPM97,43.0,49.0,8.0,100.0,1571.0
Mes_seM,43.0,50.0,6.0,96.0,1261.0
