user_id,blitz_rating
JasonMR_10,1304.0
Maharahdja,1401.0
miykl58,1837.0
haleo,1593.0
nezevrov11,1568.0
ms_crc,1414.0
legeniechampion,1729.0
just4fun_xxx,1473.0
Albert_Zabudov,1356.0
Mekambe2137,1323.0
Marat333,1616.0
otis32,1206.0
canelita_2024,1500.0
Bonsai_007,1428.0
EnGassant,1315.0
mrmangotango,1429.0
metallicr,1858.0
nqiniso,1528.0
Stathis_Branikas,1077.0
C2ma,1730.0
eliseus_1603,1291.0
mahlangumhlongo,1198.0
Ninja1500,1391.0
mohamedssakr,1730.0
manu-gt,1399.0
notahuman_0601,1500.0
karthik_holla,1387.0
AxlRo,1768.0
Tamesh,1831.0
minasfox,1546.0
eren_kls07,1387.0
HOLLOWBELL,1772.0
P5489151287877327827,1382.0
kobuniko,1467.0
tukijj,1545.0
appAlexander,1410.0
AngreifervolleKanone,1720.0
ezln88,1532.0
kidh,1400.0
marvel1,1887.0
PADAYANI21,2133.0
Andrea_F54,1316.0
valbuev,1498.0
rrgarcia93,1540.0
hazemfazzzaa85,1391.0
Amablenegrelle,1524.0
blasALANGUIA_ESIC,1319.0
davidhummel,1691.0
ghobad141414,1764.0
chapman_green,1216.0
Nofacekillah,1265.0
Twothree,1367.0
arbuziiik,1383.0
Elias_23_23,1405.0
raffyagarcia,1740.0
A_H_ABD,1412.0
vsemstroi,1500.0
menghini202,1338.0
Endgame2780,1961.0
DonJevo,1424.0
learn98r96,1692.0
Dharsan221,1413.0
Montalvo3,1768.0
All_NiGnT,1087.0
Termee,1659.0
wearegenoa,1628.0
Poomlyglot,1827.0
htywx_gnjl,1828.0
jerebox262,1753.0
adzi_12,1192.0
Smelikk,999.0
ismailalsudani,1202.0
iranshahi,1848.0
mutohard,1599.0
Peterdelk,1435.0
MrAdarsh,1331.0
paxtonmidget,1462.0
elque-aprende,1820.0
xenieray,1765.0
Average505,1333.0
yas1376,1728.0
g_peron,1692.0
ImprovisedOpening,1356.0
lemonsgambit,1362.0
Sherif_yassin,1439.0
manuP73,1649.0
khaled_boudina,1443.0
sunyatameng,1575.0
kayaloram,1427.0
Pavel_Ch,1704.0
Christos56,1449.0
Shikhar_Dhangar,1373.0
Rgloreto,1765.0
jechumizx,1641.0
Albert_Einstein_12,2099.0
hammer_of_destiny,1419.0
popfhv,1413.0
YOURSISTERBOYFRIEND,1794.0
KawaiBullet,1328.0
Grandayo,1770.0
papabadboy,1280.0
podiumthief,1319.0
BryanBedoyaArrubla08,1364.0
Wolfi71,1891.0
Maxp1974,1676.0
Maxim_lu,1226.0
jaychole,1889.0
bermudaox,1235.0
zeitGuy,1476.0
A7968801,1491.0
Aleksandr_1957,1757.0
obraad,1412.0
OriaMike,1456.0
Abchife,1193.0
hoslo,1711.0
arazhuseynov,1789.0
vietan0,1210.0
BlackJaguar0,1401.0
Sonnenscheinender,1601.0
radu25,1315.0
Impu1se1,1104.0
AmeerIsmael_Lazo,1327.0
Raehgalchess,2088.0
Granny-Bmmy123,1400.0
KnightChrks,1439.0
othmanaloide2,1500.0
UyV,1396.0
Franek369,1349.0
Dimaslon-13,1495.0
sky-destiny,1459.0
Luca363636,1423.0
tenine,1496.0
maxb1959,1385.0
Zukulus,1508.0
SamBott67,1518.0
RealMortreD,1333.0
Zatluanga,1427.0
HorstReicht,1453.0
RemyGonzales12,1684.0
DarkPatate,1304.0
Jakeh18,1779.0
IgorRogozin,1785.0
hossein_qanbari,1369.0
liufi,1864.0
Wonderboof,1219.0
Tsudago,1934.0
makiavelli2011,1774.0
doctorjpizzle,1727.0
lukas_schmoigl,1419.0
tchegalo,1674.0
olivertwisted,1362.0
kevin_vr13,1502.0
JaqueMother,1388.0
amirh12,1366.0
A32miller,1262.0
chesskiller_23,1256.0
Svileni49,1519.0
ufftauba,1752.0
ryzman17,1251.0
Zamasu_14,1793.0
isac_J,1076.0
leonel_de_freitas9,1544.0
CesarS96,1484.0
corle007,1757.0
dfczcv,1342.0
StefanoApi,1500.0
DaviOliv3ra,1487.0
Gabrielorjikalu,1626.0
Aizac336,1378.0
Fedwhisk,1825.0
Mataberk,1843.0
Bhuvikaarora,1320.0
johnd_gomez,1696.0
Darmol_XXX,1500.0
Logiciels3655,1222.0
happyrajesh,1398.0
Noonlight,1351.0
vitek_fft,1427.0
woleit,1985.0
Monarca_Chess,1685.0
MusicalHumorouspawn,1678.0
tryingSomeMoves,1849.0
HydroOwl,946.0
KingRichd_3rd,1739.0
outra_pessoa,1778.0
DonquixoteRobin,1204.0
tilin-insano,2230.0
ChessGuess,1448.0
Anskil490,1511.0
Smokin555,1400.0
Ajith330,1116.0
PNBRQKA,1500.0
Freezenwill,2041.0
Fruehlingsschwalbe,1692.0
cat_luna,1396.0
Omarkobe,1452.0
Syadin,1508.0
Ving2009,1771.0
M-Dimash,1749.0
onkamatkar,1678.0
saraj71,1449.0
WannaCry2017,1829.0
Monoco,1773.0
lireuille7,1420.0
Katonasz,1414.0
MartiN_phl,1334.0
iro007,1476.0
Slob112,1400.0
Ironslayerdead,1412.0
Uhang_kincai,1688.0
Dmytro-1,1347.0
jonadav1995,1696.0
JMStr8,1379.0
ALebedevGuitar,1353.0
Justdefense,2110.0
il_76-il,1213.0
SenuASK,1470.0
vinodkedaram,1761.0
ABC99999999,1428.0
ramin_cihangir,1315.0
vistanutzer,1500.0
ethanlebg,1393.0
Icoorus,1151.0
amrghobara,1128.0
Tasiman,1559.0
jasurc443,1264.0
odunkutk1,1233.0
RoboGay,1181.0
ManVanMelle,1915.0
AT007338,955.0
Abhilash001,1352.0
SteamPwrdAereoPawns,1749.0
RAA74,1835.0
MIKAELW,997.0
IRMANDADE,1449.0
ObivanKenoby,1387.0
progyprog,1367.0
stalinic,1807.0
Caro-KannMindControl,1472.0
RRLLMM,1456.0
Capitano181,1747.0
MarceloBielsa33,1776.0
rghrck,1798.0
Bruncvik,1859.0
Soham_Kulthe,1382.0
pitagorin7,1274.0
simone_rgm,916.0
HighVariance,2439.0
AKS008,1956.0
Vlasov_Alekxandr,2504.0
viktor39,2000.0
at-oturtma,1092.0
HeKrOmAnT,2400.0
pbkttc,2509.0
aditivasudeva,1421.0
PatushanXD,939.0
Blabub,1610.0
Aisyahku,2333.0
heisenberg_59,1285.0
HaRrisoN_WellS_0,2267.0
rs61,1246.0
saharshamity,1351.0
Ali_Ardabili,1306.0
vishnu879,1084.0
koala122,2314.0
o7777,2164.0
BARBAROSALover,2043.0
soner_iu,2554.0
Wladi-71,619.0
ian_j,2515.0
czapus,1185.0
Karavaev74,1552.0
NAEEM600,1550.0
EykaScada,1077.0
chhota_bachha,2110.0
awdangit,941.0
ekn_ylcn,1279.0
Los5hermanos,2362.0
fox080,2299.0
DARCUAMIM,2228.0
SMi_1970,2270.0
biokompott,1978.0
wirsch,1192.0
Jesscalimag,1970.0
GCarbajal,975.0
Frizzelhautern,1404.0
davidjguillermo,1448.0
MemoRmz,1911.0
kabulos,1283.0
dylane33,2269.0
Aristotele73,790.0
polish_fighter,1846.0
KasarLooper,1235.0
jil1965,1254.0
levchikbullet,1500.0
Forestxxx,2224.0
YankeeDodson,2132.0
Bala79,1500.0
Moraya,1037.0
SoheiliM,1735.0
demarcuscousins,2512.0
G_krishnan,1422.0
greennight,2612.0
sereppy,2256.0
AndyBoehme,2264.0
Leopold12345,1342.0
Teddy-Teclebrhan,2438.0
qqwref,1424.0
Ishmael_in_Chess,1106.0
kahvitauko,2502.0
hot_dog_beast,2179.0
Mimma,2480.0
BanaleKralen,2569.0
Mohamed_AL_Shaqiri,2619.0
explosionbrainchess,2754.0
strided,1025.0
zehnebartar_club,2456.0
Emrey1lmaz,1160.0
ALONGUS,2314.0
fastblitzer_cgn,2217.0
alessandrocarvalhaes,1992.0
alshaib1962,1447.0
kars78,2325.0
Jf_The_Best,1540.0
IVRazor_MyJL,2099.0
kirillun1027,1182.0
IhmeSaataja,1951.0
Ssundee2130,1187.0
Lambo1966,2230.0
ie1,2654.0
ilpignatore07,2152.0
waterson_237,1020.0
Otxariturralde,1136.0
Andless_Feefle,1242.0
chesskose2842,2404.0
