,user_id,blitz_rating,total_games_played
194,chemsedinebouakazi,1503.0,340
195,Vladimir123kr,1448.0,1178
196,Freshzombee,1454.0,412
197,Blazkowi23,1382.0,3801
198,Zerspragler91,1768.0,1860
199,DCristiD,1442.0,2919
200,risali_123,1475.0,456
201,javadmj21,1856.0,1791
202,rdursun,2159.0,20408
203,Dilip_noob,1521.0,626
204,CosimoZeno,1322.0,20218
205,chessbyine,1385.0,1152
206,fugga,1499.0,1033
207,urizarulises1,1523.0,3
208,MihoSevastopol,1861.0,14081
209,rumpeldipumpi,1501.0,768
210,ahaiazor4,1734.0,1
211,ASsmaditya,1172.0,9
212,Andry174,1291.0,1835
213,avetgrigor,1832.0,11436
214,AngeZ021,1458.0,533
215,Boccherss,1500.0,0
216,perry444,1739.0,10237
217,hanzohattoriii,1106.0,552
218,euroval,1919.0,3666
219,hm468070,1483.0,7230
220,yabbaman7493,1027.0,2
221,csprejer,1542.0,4025
222,Chess-In-Motion,1397.0,13767
223,pilavustuet,1055.0,646
224,r-v5g,956.0,504
225,makyxaaa,1475.0,5730
226,Vadilka,1680.0,3742
227,nileshmithiya,951.0,58
228,waits05,1856.0,12229
229,FKom58,1360.0,6872
230,Akam_1235,1907.0,445
231,cardere,1474.0,4312
232,maujoma,1259.0,2035
233,timorlov,1328.0,12772
234,Mhlobo,1696.0,11206
235,pavel77m,1306.0,3792
236,mertmex,1639.0,262
237,SaptakPanda,1495.0,14
238,bhawthor,1624.0,4233
239,suesswarenlieferant,1254.0,1464
240,BotayRinat,1585.0,7458
241,arnoldAK,1424.0,827
242,Fayis1982,1348.0,4931
243,Bellator_truimph,1189.0,14
244,Ecuador_Carloz,1784.0,457
245,BauruMarcelo,1019.0,85
246,Narengi14,1443.0,1804
247,ka9807,1851.0,3948
248,Dunkin_Kwim,1471.0,2686
249,Cali-Dragon,1660.0,11481
250,Dabro4ess,,0
251,magal100,1767.0,23211
252,filip_j,1493.0,1415
253,filkinagramota,1465.0,28717
254,I_adore_Anna_Korsun,1572.0,26
255,Zeno1993,1283.0,2448
256,saifanov20,1474.0,592
257,Toni_Mackaroni,1081.0,204
258,sreedhar747,1521.0,61
