user_id,blitz_rating,win_rate,lose_rate,draw_rate,game_count,rating_deviation
DmitriyKol,1631.0,47.0,47.0,6.0,100.0,46.35
amirvalizade1963,1356.0,48.0,48.0,4.0,100.0,45.04
Sangon,1375.0,46.0,47.0,7.0,100.0,45.03
dnlgrassi,1333.0,55.0,42.0,3.0,100.0,45.14
santhoshn,1830.0,47.0,44.0,9.0,100.0,45.06
hitam99,1323.0,36.0,60.0,4.0,100.0,45.2
Solar-Wind86,1925.0,54.0,41.0,4.0,72.0,45.48
cherguimd,1672.0,44.0,50.0,5.0,54.0,52.49
Johnston3,1754.0,53.0,46.0,0.0,39.0,46.48
GOATxOVERPOWERYT9577,1296.0,33.0,66.0,0.0,3.0,293.2
Freshzombee,1454.0,55.0,42.0,3.0,100.0,45.05
Blazkowi23,1382.0,38.0,59.0,3.0,100.0,77.69
Zerspragler91,1768.0,47.0,49.0,4.0,100.0,45.56
DCristiD,1442.0,62.0,34.0,4.0,100.0,45.03
risali_123,1475.0,45.0,50.0,5.0,100.0,45.98
Dilip_noob,1521.0,33.0,66.0,0.0,45.0,59.99
CosimoZeno,1322.0,46.0,49.0,5.0,100.0,45.34
chessbyine,1385.0,49.0,48.0,3.0,100.0,45.03
fugga,1499.0,50.0,45.0,5.0,100.0,45.11
MihoSevastopol,1861.0,53.0,40.0,7.0,100.0,45.05
rumpeldipumpi,1501.0,55.0,42.0,3.0,100.0,45.29
ASsmaditya,1172.0,37.0,62.0,0.0,8.0,116.09
Andry174,1291.0,66.0,33.0,0.0,9.0,47.37
avetgrigor,1832.0,56.0,40.0,3.0,100.0,45.06
AngeZ021,1458.0,53.0,42.0,3.0,84.0,45.17
perry444,1739.0,49.0,48.0,3.0,100.0,45.0
hanzohattoriii,1106.0,33.0,66.0,0.0,18.0,66.97
euroval,1919.0,54.0,41.0,5.0,100.0,45.0
hm468070,1483.0,50.0,45.0,5.0,60.0,45.17
yabbaman7493,1027.0,0.0,100.0,0.0,2.0,228.68
r-v5g,956.0,58.0,41.0,0.0,36.0,51.58
makyxaaa,1475.0,36.0,57.0,6.0,100.0,45.0
Vadilka,1680.0,46.0,52.0,2.0,100.0,45.0
waits05,1856.0,53.0,45.0,2.0,100.0,45.01
FKom58,1360.0,46.0,50.0,4.0,100.0,45.15
cardere,1474.0,51.0,46.0,3.0,100.0,45.17
maujoma,1259.0,52.0,46.0,2.0,100.0,45.04
timorlov,1328.0,44.0,52.0,4.0,100.0,45.0
Mhlobo,1696.0,47.0,51.0,2.0,100.0,45.02
pavel77m,1306.0,50.0,46.0,4.0,100.0,45.01
mertmex,1639.0,66.0,33.0,0.0,18.0,58.67
SaptakPanda,1495.0,100.0,0.0,0.0,3.0,132.52
bhawthor,1624.0,40.0,60.0,0.0,15.0,45.0
suesswarenlieferant,1254.0,60.0,40.0,0.0,15.0,58.0
arnoldAK,1424.0,45.0,54.0,0.0,66.0,49.05
Fayis1982,1348.0,32.0,64.0,4.0,100.0,45.2
Bellator_truimph,1189.0,55.0,44.0,0.0,27.0,94.96
Ecuador_Carloz,1784.0,35.0,50.0,14.0,42.0,53.69
BauruMarcelo,1019.0,39.0,44.0,17.0,100.0,45.6
Narengi14,1443.0,47.0,47.0,6.0,100.0,45.83
ka9807,1851.0,44.0,52.0,4.0,100.0,45.3
Dunkin_Kwim,1471.0,44.0,52.0,4.0,100.0,45.65
Cali-Dragon,1660.0,44.0,53.0,3.0,100.0,45.19
magal100,1767.0,45.0,54.0,1.0,100.0,45.21
filip_j,1493.0,46.0,52.0,2.0,100.0,45.04
filkinagramota,1465.0,51.0,49.0,0.0,100.0,45.15
I_adore_Anna_Korsun,1572.0,38.0,57.0,4.0,21.0,69.96
saifanov20,1474.0,37.0,57.0,5.0,100.0,45.1
nutsu7m,1738.0,71.0,28.0,0.0,100.0,45.69
SlimyTaco,1755.0,44.0,42.0,14.0,100.0,45.0
CampPe,1784.0,34.0,62.0,4.0,100.0,45.13
engelmar,1439.0,52.0,45.0,3.0,100.0,45.2
pmv_70,1760.0,45.0,51.0,4.0,100.0,45.29
DumbArmin,1437.0,75.0,25.0,0.0,24.0,84.92
lacroqueta_peligrosa,1848.0,55.0,41.0,4.0,100.0,45.1
JasonMR_10,1304.0,44.0,45.0,11.0,100.0,54.98
Maharahdja,1401.0,35.0,61.0,4.0,100.0,45.0
miykl58,1837.0,47.0,47.0,6.0,100.0,45.08
haleo,1593.0,41.0,52.0,5.0,51.0,49.74
ms_crc,1414.0,46.0,51.0,3.0,100.0,45.89
legeniechampion,1729.0,44.0,44.0,12.0,100.0,45.49
Albert_Zabudov,1356.0,62.0,25.0,12.0,8.0,228.7
canelita_2024,1500.0,0.0,100.0,0.0,2.0,500.0
Bonsai_007,1428.0,55.0,38.0,7.0,100.0,45.04
mrmangotango,1429.0,49.0,48.0,3.0,100.0,45.07
nqiniso,1528.0,53.0,40.0,7.0,100.0,45.45
C2ma,1730.0,50.0,49.0,1.0,100.0,45.14
eliseus_1603,1291.0,50.0,50.0,0.0,100.0,45.12
Ninja1500,1391.0,66.0,0.0,33.0,9.0,52.68
mohamedssakr,1730.0,46.0,47.0,7.0,100.0,45.0
AxlRo,1768.0,50.0,50.0,0.0,18.0,49.36
Tamesh,1831.0,0.0,100.0,0.0,3.0,83.97
minasfox,1546.0,53.0,44.0,3.0,100.0,45.79
HOLLOWBELL,1772.0,59.0,36.0,5.0,100.0,45.41
P5489151287877327827,1382.0,76.0,12.0,12.0,100.0,45.17
appAlexander,1410.0,44.0,55.0,1.0,100.0,45.13
AngreifervolleKanone,1720.0,41.0,56.0,3.0,100.0,45.03
ezln88,1532.0,47.0,46.0,7.0,100.0,45.0
kidh,1400.0,45.0,53.0,2.0,100.0,45.12
marvel1,1887.0,53.0,38.0,9.0,100.0,45.1
Andrea_F54,1316.0,46.0,33.0,20.0,45.0,48.15
rrgarcia93,1540.0,55.0,41.0,4.0,100.0,47.64
hazemfazzzaa85,1391.0,53.0,43.0,3.0,60.0,48.71
Amablenegrelle,1524.0,55.0,41.0,4.0,100.0,46.07
blasALANGUIA_ESIC,1319.0,50.0,43.0,6.0,48.0,45.88
ghobad141414,1764.0,49.0,46.0,5.0,100.0,45.07
chapman_green,1216.0,40.0,54.0,6.0,100.0,51.82
Nofacekillah,1265.0,48.0,46.0,6.0,100.0,45.0
arbuziiik,1383.0,45.0,37.0,16.0,24.0,88.04
Elias_23_23,1405.0,48.0,48.0,4.0,100.0,45.0
raffyagarcia,1740.0,51.0,44.0,5.0,100.0,45.1
menghini202,1338.0,66.0,33.0,0.0,27.0,53.71
DonJevo,1424.0,35.0,60.0,5.0,100.0,45.37
learn98r96,1692.0,49.0,41.0,10.0,100.0,45.1
Dharsan221,1413.0,53.0,41.0,6.0,100.0,45.02
Montalvo3,1768.0,52.0,45.0,3.0,100.0,45.13
All_NiGnT,1087.0,50.0,50.0,0.0,24.0,74.07
Termee,1659.0,48.0,52.0,0.0,100.0,45.75
Poomlyglot,1827.0,53.0,43.0,4.0,100.0,45.05
htywx_gnjl,1828.0,53.0,47.0,0.0,100.0,56.41
jerebox262,1753.0,44.0,54.0,2.0,100.0,45.05
iranshahi,1848.0,36.0,55.0,9.0,100.0,45.01
mutohard,1599.0,57.0,42.0,0.0,100.0,46.34
Peterdelk,1435.0,47.0,44.0,9.0,100.0,45.1
MrAdarsh,1331.0,35.0,50.0,15.0,60.0,45.85
elque-aprende,1820.0,50.0,46.0,4.0,100.0,46.09
xenieray,1765.0,51.0,45.0,4.0,100.0,46.1
Average505,1333.0,45.0,52.0,3.0,100.0,80.06
yas1376,1728.0,53.0,39.0,8.0,100.0,45.04
g_peron,1692.0,48.0,48.0,4.0,100.0,45.04
Sherif_yassin,1439.0,46.0,54.0,0.0,100.0,45.05
manuP73,1649.0,36.0,50.0,14.0,100.0,45.0
kayaloram,1427.0,52.0,46.0,2.0,100.0,45.0
Pavel_Ch,1704.0,50.0,47.0,3.0,100.0,45.01
Christos56,1449.0,43.0,50.0,7.0,100.0,45.07
Shikhar_Dhangar,1373.0,46.0,47.0,7.0,100.0,45.06
Rgloreto,1765.0,52.0,45.0,3.0,100.0,45.31
jechumizx,1641.0,20.0,80.0,0.0,15.0,67.61
Albert_Einstein_12,2099.0,43.0,51.0,6.0,100.0,45.46
hammer_of_destiny,1419.0,50.0,48.0,2.0,100.0,45.06
popfhv,1413.0,50.0,50.0,0.0,2.0,252.19
YOURSISTERBOYFRIEND,1794.0,53.0,43.0,4.0,100.0,45.13
KawaiBullet,1328.0,100.0,0.0,0.0,12.0,85.02
Grandayo,1770.0,49.0,48.0,3.0,100.0,45.13
papabadboy,1280.0,36.0,60.0,4.0,100.0,47.19
BryanBedoyaArrubla08,1364.0,50.0,50.0,0.0,30.0,96.43
Wolfi71,1891.0,50.0,44.0,6.0,100.0,45.03
jaychole,1889.0,48.0,49.0,3.0,100.0,45.05
zeitGuy,1476.0,48.0,47.0,5.0,100.0,52.4
A7968801,1491.0,40.0,57.0,2.0,100.0,45.06
obraad,1412.0,30.0,70.0,0.0,60.0,50.52
hoslo,1711.0,44.0,55.0,1.0,100.0,45.06
arazhuseynov,1789.0,49.0,48.0,3.0,100.0,47.34
BlackJaguar0,1401.0,39.0,57.0,3.0,84.0,64.49
Sonnenscheinender,1601.0,51.0,42.0,7.0,100.0,45.01
AmeerIsmael_Lazo,1327.0,47.0,48.0,5.0,100.0,45.58
Raehgalchess,2088.0,71.0,25.0,4.0,100.0,128.5
Granny-Bmmy123,1400.0,53.0,46.0,1.0,100.0,45.01
KnightChrks,1439.0,56.0,42.0,2.0,100.0,61.61
UyV,1396.0,52.0,42.0,6.0,100.0,45.09
Dimaslon-13,1495.0,31.0,62.0,6.0,96.0,45.1
sky-destiny,1459.0,47.0,44.0,9.0,100.0,45.21
Luca363636,1423.0,53.0,44.0,3.0,100.0,45.01
tenine,1496.0,52.0,46.0,2.0,100.0,45.22
maxb1959,1385.0,43.0,54.0,3.0,100.0,45.13
Zukulus,1508.0,49.0,46.0,5.0,100.0,45.1
SamBott67,1518.0,45.0,35.0,20.0,60.0,46.06
RealMortreD,1333.0,47.0,47.0,5.0,38.0,104.77
Zatluanga,1427.0,45.0,53.0,2.0,100.0,45.29
HorstReicht,1453.0,43.0,52.0,5.0,100.0,45.03
RemyGonzales12,1684.0,44.0,53.0,2.0,49.0,58.93
Jakeh18,1779.0,47.0,44.0,9.0,100.0,45.0
hossein_qanbari,1369.0,42.0,55.0,3.0,100.0,45.07
liufi,1864.0,50.0,42.0,8.0,100.0,45.09
Tsudago,1934.0,43.0,56.0,1.0,100.0,45.14
makiavelli2011,1774.0,53.0,45.0,2.0,100.0,45.12
doctorjpizzle,1727.0,40.0,60.0,0.0,15.0,63.27
lukas_schmoigl,1419.0,56.0,42.0,2.0,100.0,45.1
olivertwisted,1362.0,55.0,38.0,7.0,100.0,46.02
kevin_vr13,1502.0,58.0,33.0,8.0,12.0,106.83
JaqueMother,1388.0,49.0,49.0,2.0,100.0,45.0
amirh12,1366.0,56.0,41.0,2.0,100.0,46.5
A32miller,1262.0,44.0,56.0,0.0,100.0,45.02
chesskiller_23,1256.0,41.0,56.0,3.0,100.0,45.19
Svileni49,1519.0,49.0,46.0,5.0,100.0,45.27
ufftauba,1752.0,59.0,41.0,0.0,100.0,45.03
Zamasu_14,1793.0,47.0,49.0,4.0,100.0,45.34
leonel_de_freitas9,1544.0,50.0,50.0,0.0,8.0,125.39
CesarS96,1484.0,51.0,47.0,2.0,100.0,45.04
corle007,1757.0,43.0,54.0,3.0,100.0,45.0
dfczcv,1342.0,52.0,48.0,0.0,100.0,46.22
Aizac336,1378.0,33.0,66.0,0.0,18.0,86.82
Mataberk,1843.0,56.0,40.0,4.0,100.0,45.66
Bhuvikaarora,1320.0,41.0,56.0,3.0,100.0,45.29
johnd_gomez,1696.0,48.0,52.0,0.0,100.0,45.07
Logiciels3655,1222.0,33.0,66.0,0.0,36.0,45.13
happyrajesh,1398.0,41.0,56.0,2.0,100.0,45.07
Noonlight,1351.0,46.0,47.0,7.0,100.0,45.0
vitek_fft,1427.0,47.0,48.0,5.0,100.0,45.07
woleit,1985.0,51.0,45.0,4.0,100.0,45.09
Monarca_Chess,1685.0,54.0,43.0,3.0,100.0,45.03
MusicalHumorouspawn,1678.0,55.0,41.0,4.0,100.0,53.44
tryingSomeMoves,1849.0,60.0,36.0,4.0,100.0,45.01
KingRichd_3rd,1739.0,48.0,46.0,6.0,100.0,45.41
outra_pessoa,1778.0,43.0,51.0,6.0,100.0,45.04
tilin-insano,2230.0,79.0,20.0,0.0,34.0,182.46
Anskil490,1511.0,43.0,50.0,7.0,100.0,45.2
Smokin555,1400.0,41.0,54.0,5.0,100.0,45.1
Fruehlingsschwalbe,1692.0,39.0,55.0,4.0,43.0,55.89
M-Dimash,1749.0,47.0,47.0,5.0,57.0,55.03
saraj71,1449.0,45.0,48.0,7.0,100.0,45.0
Monoco,1773.0,45.0,51.0,4.0,100.0,45.34
lireuille7,1420.0,44.0,55.0,0.0,27.0,62.34
Katonasz,1414.0,51.0,40.0,9.0,100.0,45.16
iro007,1476.0,54.0,42.0,4.0,100.0,45.07
Ironslayerdead,1412.0,55.0,44.0,0.0,27.0,46.31
Uhang_kincai,1688.0,48.0,44.0,8.0,100.0,45.33
Dmytro-1,1347.0,51.0,47.0,2.0,100.0,45.07
jonadav1995,1696.0,42.0,54.0,4.0,100.0,45.2
JMStr8,1379.0,57.0,28.0,14.0,21.0,55.98
Justdefense,2110.0,52.0,40.0,8.0,100.0,89.72
SenuASK,1470.0,51.0,44.0,5.0,100.0,45.5
vinodkedaram,1761.0,48.0,47.0,5.0,100.0,45.03
ABC99999999,1428.0,60.0,38.0,2.0,100.0,47.21
Icoorus,1151.0,0.0,100.0,0.0,6.0,106.69
Tasiman,1559.0,66.0,33.0,0.0,18.0,62.83
jasurc443,1264.0,58.0,41.0,0.0,36.0,89.28
RoboGay,1181.0,40.0,40.0,20.0,45.0,68.42
ManVanMelle,1915.0,55.0,40.0,5.0,100.0,45.08
AT007338,955.0,22.0,63.0,13.0,66.0,64.09
Abhilash001,1352.0,48.0,46.0,6.0,100.0,45.1
RAA74,1835.0,53.0,43.0,4.0,100.0,45.0
IRMANDADE,1449.0,61.0,39.0,0.0,100.0,45.16
ObivanKenoby,1387.0,50.0,47.0,3.0,100.0,45.56
progyprog,1367.0,43.0,51.0,6.0,100.0,45.07
stalinic,1807.0,56.0,41.0,3.0,100.0,45.04
Capitano181,1747.0,45.0,53.0,2.0,100.0,45.11
MarceloBielsa33,1776.0,54.0,42.0,4.0,100.0,45.03
rghrck,1798.0,53.0,45.0,2.0,100.0,45.02
pitagorin7,1274.0,52.0,41.0,7.0,100.0,45.01
simone_rgm,916.0,49.0,44.0,7.0,100.0,45.03
HighVariance,2439.0,44.0,48.0,7.0,81.0,48.25
AKS008,1956.0,46.0,47.0,7.0,100.0,45.1
Vlasov_Alekxandr,2504.0,63.0,35.0,2.0,100.0,45.18
viktor39,2000.0,52.0,40.0,8.0,100.0,45.0
at-oturtma,1092.0,37.0,62.0,0.0,24.0,83.29
HeKrOmAnT,2400.0,59.0,38.0,3.0,100.0,45.02
pbkttc,2509.0,64.0,26.0,10.0,100.0,45.23
aditivasudeva,1421.0,44.0,49.0,7.0,100.0,45.06
heisenberg_59,1285.0,60.0,40.0,0.0,15.0,51.9
rs61,1246.0,52.0,47.0,1.0,100.0,45.4
saharshamity,1351.0,46.0,54.0,0.0,100.0,54.02
Ali_Ardabili,1306.0,33.0,63.0,4.0,100.0,45.13
vishnu879,1084.0,50.0,48.0,2.0,100.0,73.01
koala122,2314.0,33.0,63.0,4.0,100.0,45.04
o7777,2164.0,45.0,49.0,6.0,100.0,45.05
BARBAROSALover,2043.0,41.0,54.0,5.0,100.0,45.01
Wladi-71,619.0,47.0,53.0,0.0,100.0,45.12
ian_j,2515.0,42.0,50.0,8.0,100.0,45.83
czapus,1185.0,43.0,52.0,5.0,100.0,45.04
EykaScada,1077.0,45.0,52.0,3.0,100.0,45.04
chhota_bachha,2110.0,53.0,43.0,4.0,100.0,45.26
awdangit,941.0,33.0,63.0,3.0,90.0,89.1
ekn_ylcn,1279.0,48.0,52.0,0.0,100.0,45.09
Los5hermanos,2362.0,59.0,40.0,1.0,100.0,45.0
fox080,2299.0,28.0,56.0,15.0,96.0,45.84
DARCUAMIM,2228.0,40.0,60.0,0.0,100.0,45.03
SMi_1970,2270.0,49.0,38.0,13.0,100.0,45.66
biokompott,1978.0,48.0,41.0,11.0,100.0,45.18
wirsch,1192.0,48.0,50.0,2.0,100.0,46.36
Jesscalimag,1970.0,50.0,47.0,3.0,100.0,45.13
GCarbajal,975.0,12.0,83.0,5.0,100.0,142.05
Frizzelhautern,1404.0,50.0,45.0,5.0,100.0,45.02
davidjguillermo,1448.0,44.0,48.0,8.0,100.0,45.04
MemoRmz,1911.0,59.0,34.0,7.0,100.0,94.58
dylane33,2269.0,46.0,48.0,6.0,100.0,45.01
polish_fighter,1846.0,21.0,78.0,0.0,69.0,45.1
KasarLooper,1235.0,44.0,56.0,0.0,100.0,45.55
jil1965,1254.0,52.0,45.0,3.0,100.0,45.06
Forestxxx,2224.0,45.0,45.0,9.0,99.0,45.07
YankeeDodson,2132.0,51.0,39.0,10.0,100.0,45.0
Moraya,1037.0,32.0,68.0,0.0,75.0,53.25
SoheiliM,1735.0,55.0,41.0,4.0,100.0,103.99
demarcuscousins,2512.0,33.0,33.0,33.0,9.0,47.4
G_krishnan,1422.0,54.0,42.0,4.0,100.0,45.98
greennight,2612.0,52.0,33.0,15.0,100.0,46.17
sereppy,2256.0,59.0,31.0,9.0,96.0,46.15
AndyBoehme,2264.0,39.0,50.0,11.0,100.0,45.0
Leopold12345,1342.0,46.0,52.0,2.0,100.0,45.17
Teddy-Teclebrhan,2438.0,44.0,39.0,17.0,100.0,45.5
qqwref,1424.0,49.0,51.0,0.0,100.0,45.22
Ishmael_in_Chess,1106.0,25.0,50.0,25.0,12.0,116.01
kahvitauko,2502.0,37.0,47.0,16.0,100.0,45.19
hot_dog_beast,2179.0,42.0,51.0,7.0,100.0,45.09
Mimma,2480.0,40.0,44.0,16.0,100.0,45.01
BanaleKralen,2569.0,33.0,59.0,8.0,100.0,45.15
Mohamed_AL_Shaqiri,2619.0,48.0,45.0,7.0,100.0,45.0
strided,1025.0,49.0,51.0,0.0,100.0,45.03
zehnebartar_club,2456.0,57.0,35.0,7.0,100.0,46.01
Emrey1lmaz,1160.0,56.0,43.0,1.0,100.0,45.53
ALONGUS,2314.0,68.0,28.0,3.0,100.0,45.0
fastblitzer_cgn,2217.0,49.0,42.0,9.0,100.0,45.0
alessandrocarvalhaes,1992.0,38.0,56.0,5.0,100.0,45.12
alshaib1962,1447.0,53.0,46.0,1.0,100.0,45.04
kars78,2325.0,44.0,47.0,9.0,100.0,45.06
Jf_The_Best,1540.0,8.0,90.0,2.0,100.0,223.34
IVRazor_MyJL,2099.0,56.0,34.0,10.0,100.0,51.5
kirillun1027,1182.0,48.0,45.0,6.0,33.0,61.37
IhmeSaataja,1951.0,46.0,49.0,5.0,100.0,46.14
Ssundee2130,1187.0,38.0,46.0,15.0,13.0,100.41
Lambo1966,2230.0,53.0,39.0,8.0,100.0,45.02
ie1,2654.0,38.0,56.0,6.0,100.0,45.36
ilpignatore07,2152.0,36.0,56.0,7.0,100.0,51.25
waterson_237,1020.0,0.0,100.0,0.0,3.0,127.3
Otxariturralde,1136.0,48.0,51.0,1.0,100.0,45.0
Andless_Feefle,1242.0,43.0,50.0,7.0,100.0,45.0
chesskose2842,2404.0,47.0,48.0,5.0,100.0,45.0
Markkut,1490.0,44.0,55.0,1.0,100.0,45.05
RatofNimh,1446.0,43.0,50.0,7.0,100.0,45.14
Vova5960,1087.0,38.0,56.0,6.0,100.0,45.07
Carta_Vetrata,1891.0,49.0,47.0,4.0,100.0,45.07
Kiskar,2670.0,45.0,45.0,9.0,33.0,45.61
shashankmis123,747.0,34.0,65.0,0.0,35.0,66.16
anayagarwal2008,1331.0,46.0,46.0,6.0,90.0,50.6
ngibator2022,1201.0,59.0,40.0,1.0,100.0,45.07
datajunkie,2775.0,53.0,39.0,8.0,100.0,45.46
Lishadark,2001.0,51.0,46.0,3.0,100.0,45.03
Khwan7,840.0,24.0,76.0,0.0,100.0,69.79
Ms-MaNHaTTaN,2045.0,66.0,34.0,0.0,100.0,45.3
Z2cd3,1218.0,63.0,36.0,1.0,100.0,52.2
OhanyanEminChess,2745.0,68.0,25.0,6.0,96.0,47.42
XXiloop32,2400.0,35.0,55.0,10.0,100.0,50.58
in24,2342.0,45.0,46.0,9.0,100.0,45.13
Nocturnas,1157.0,43.0,54.0,3.0,100.0,45.13
shaurya1702,2107.0,62.0,28.0,9.0,100.0,45.23
Weak1Slow1,2328.0,37.0,56.0,6.0,100.0,45.02
BatmanBinSuparman,2212.0,46.0,49.0,5.0,100.0,45.46
jrpenteado,2030.0,42.0,52.0,6.0,100.0,45.0
BigCarl,1178.0,37.0,57.0,5.0,100.0,45.19
millesabords,2031.0,42.0,53.0,5.0,100.0,45.04
Utere,1579.0,41.0,51.0,8.0,100.0,45.04
AMIR-77777777,2316.0,56.0,36.0,8.0,100.0,45.72
iva182,2305.0,72.0,24.0,4.0,100.0,45.51
Kaspa_nor,1755.0,45.0,48.0,7.0,100.0,169.04
Zsakk19,1137.0,50.0,48.0,2.0,100.0,45.16
slapduck,1174.0,54.0,43.0,3.0,100.0,45.01
ChessPlayer15346,1030.0,49.0,48.0,3.0,100.0,57.99
Ahm_EDbnd,916.0,25.0,62.0,12.0,8.0,129.19
DrMHJ,2187.0,49.0,43.0,8.0,100.0,45.01
LinconLuz,1531.0,66.0,32.0,2.0,100.0,167.7
EnvySmart,2585.0,66.0,27.0,7.0,100.0,50.61
MMM005,1403.0,44.0,51.0,5.0,100.0,45.57
JG_NAV,2018.0,49.0,44.0,7.0,100.0,47.74
whataper,2217.0,49.0,44.0,7.0,100.0,45.08
serg54,1894.0,42.0,51.0,7.0,100.0,45.0
Grandpa70,1509.0,52.0,46.0,2.0,100.0,45.11
FuegoAbrumador,2667.0,54.0,39.0,7.0,100.0,46.15
xeque60,1807.0,65.0,35.0,0.0,100.0,94.93
SuneSon,1306.0,30.0,60.0,10.0,90.0,72.88
lazzza_xx,1500.0,59.0,40.0,0.0,96.0,500.0
ValidAlekhine,2500.0,54.0,41.0,5.0,100.0,45.01
z2win,2298.0,51.0,47.0,2.0,100.0,45.01
Brenjos,2436.0,54.0,40.0,6.0,100.0,45.13
harolmonsalve,1426.0,46.0,49.0,5.0,100.0,45.05
gectiborunpazari,1150.0,40.0,55.0,5.0,100.0,45.15
blindfold_chess_7,955.0,37.0,62.0,0.0,24.0,74.22
miaowha,1634.0,48.0,38.0,14.0,100.0,65.04
hadeed,2197.0,55.0,38.0,7.0,100.0,45.02
quicksilver2,2446.0,39.0,51.0,10.0,100.0,45.09
venco_m,1518.0,55.0,45.0,0.0,100.0,45.18
Marea_Unire_1918,1961.0,47.0,47.0,4.0,63.0,45.27
vlh,1951.0,56.0,38.0,5.0,100.0,90.64
Arielchezz77,2243.0,50.0,50.0,0.0,18.0,46.64
plansugus,2605.0,51.0,43.0,6.0,100.0,45.08
NeverOFzero,2223.0,47.0,37.0,16.0,100.0,70.83
Nikk128,1628.0,50.0,50.0,0.0,10.0,173.36
lynus_kho,2436.0,52.0,44.0,4.0,100.0,45.4
Nebet,1886.0,25.0,75.0,0.0,12.0,48.0
EtPeVe,853.0,7.0,92.0,0.0,13.0,124.28
Juanjojjl,1822.0,44.0,52.0,4.0,100.0,46.97
BowleORice,1759.0,53.0,39.0,8.0,100.0,214.8
bowbeforeme,1306.0,44.0,48.0,8.0,100.0,45.62
ZeruHmyz,2435.0,31.0,55.0,14.0,100.0,45.02
jonny0112,854.0,49.0,46.0,5.0,100.0,45.99
LolaIce,1638.0,41.0,55.0,4.0,100.0,170.38
Zambran,2460.0,51.0,42.0,7.0,100.0,45.0
Aladdinsalman,1384.0,51.0,47.0,2.0,100.0,45.16
A7nour73,1207.0,44.0,51.0,5.0,100.0,45.11
mo7karim,1297.0,51.0,46.0,3.0,100.0,45.0
DerSchachArzt,2356.0,38.0,54.0,8.0,100.0,46.69
Justin20140815,2038.0,57.0,36.0,6.0,100.0,65.72
Gennadiy300iq,1227.0,42.0,56.0,1.0,100.0,45.53
saam2022,2338.0,40.0,55.0,5.0,100.0,45.0
RolliI,1874.0,48.0,48.0,4.0,100.0,53.32
KING-BKD,2188.0,40.0,52.0,8.0,100.0,47.98
GPLuiS,1723.0,73.0,19.0,7.0,78.0,82.02
B0103232338,2433.0,37.0,50.0,12.0,24.0,59.47
himselfCaTaHa,1948.0,47.0,51.0,2.0,100.0,45.2
PESKI,1450.0,55.0,43.0,2.0,100.0,45.04
Curiosito,2008.0,50.0,40.0,10.0,30.0,45.28
HamedKolajei,944.0,42.0,54.0,4.0,100.0,45.09
Timur96,2211.0,41.0,53.0,6.0,100.0,45.08
Ticolv,1958.0,56.0,39.0,5.0,100.0,104.37
BbZ2018,1423.0,39.0,60.0,1.0,100.0,45.36
guile_mig,1434.0,42.0,57.0,0.0,21.0,88.2
TR3Z,1305.0,50.0,47.0,3.0,100.0,45.06
pawninthedawn,1173.0,53.0,43.0,4.0,100.0,49.51
Periostio,1990.0,53.0,46.0,1.0,100.0,45.12
Viktor37bulaew,1236.0,0.0,66.0,33.0,3.0,190.68
SashaMun,1506.0,57.0,40.0,2.0,100.0,45.05
C-6YXTbI-6APAXTbI,2234.0,41.0,49.0,10.0,100.0,45.67
Great1099,962.0,39.0,52.0,9.0,100.0,57.23
MightBeDecent,2663.0,47.0,41.0,12.0,100.0,45.04
auror4,1225.0,39.0,59.0,2.0,100.0,45.05
MasterBishop,2246.0,40.0,53.0,7.0,100.0,45.1
alexeishmidt,1182.0,43.0,55.0,2.0,100.0,45.1
fenixwolf9104,1997.0,46.0,49.0,5.0,100.0,45.02
EGORZEMLIANOV,822.0,42.0,56.0,2.0,100.0,46.5
AWildAccountant,1756.0,45.0,52.0,3.0,100.0,57.66
julianomagnus,1237.0,52.0,45.0,3.0,100.0,45.2
osprey7,2304.0,45.0,48.0,7.0,100.0,45.02
Wolf6666,1336.0,22.0,78.0,0.0,100.0,45.32
Massimissa50,1913.0,50.0,47.0,3.0,100.0,45.12
HrayrArm,1784.0,60.0,30.0,10.0,10.0,123.64
mesterseen,2421.0,38.0,56.0,6.0,100.0,45.07
pacman1354,2510.0,63.0,31.0,5.0,57.0,47.1
marcomira,1303.0,49.0,46.0,5.0,100.0,45.02
vania457,2322.0,47.0,49.0,4.0,100.0,45.0
Digitaldreamer,2167.0,52.0,44.0,4.0,100.0,45.02
harsha15,2617.0,82.0,14.0,4.0,100.0,45.13
vlad_thechesslover,2463.0,44.0,55.0,1.0,100.0,46.71
TheChessMate2018,2074.0,0.0,100.0,0.0,6.0,47.19
mortpal,1405.0,62.0,35.0,3.0,100.0,45.06
Devdev,1245.0,45.0,51.0,4.0,100.0,45.01
hhb9,1318.0,53.0,45.0,2.0,100.0,45.08
jvr84,1418.0,47.0,49.0,4.0,100.0,45.0
Jega15,1468.0,40.0,54.0,6.0,100.0,45.55
coolqueenbee,1500.0,28.0,0.0,71.0,7.0,500.0
RolandM1,1419.0,45.0,51.0,4.0,100.0,46.37
TZahar,1059.0,46.0,48.0,6.0,100.0,45.13
ILLYA_Belov,2500.0,45.0,46.0,9.0,100.0,45.01
AnaDzuba,2152.0,57.0,32.0,10.0,100.0,45.76
armyan,1894.0,53.0,40.0,7.0,100.0,178.42
napirnet,1429.0,54.0,42.0,4.0,100.0,45.06
thejc50,2164.0,49.0,44.0,7.0,100.0,45.05
