user_op,op_win_rate,op_lose_rate,op_draw_rate,op_game_count,blitz_rating
lovasmarton,50.0,47.0,3.0,100.0,1757.0
mehditehrani7,56.0,44.0,0.0,100.0,1400.0
vivekpanwar14,45.0,53.0,2.0,100.0,1345.0
Omaya295010,52.0,45.0,3.0,100.0,1330.0
adroitman,44.0,43.0,13.0,100.0,1733.0
Patrm10,47.0,48.0,5.0,100.0,926.0
Loloslowchess,54.0,43.0,3.0,100.0,1315.0
Khobidi,49.0,49.0,2.0,100.0,1728.0
Tolkachev_Mikhail,48.0,49.0,3.0,100.0,1597.0
l524,33.0,55.0,11.0,27.0,1868.0
khaleelhussain,49.0,47.0,4.0,100.0,1989.0
sonsinan,52.0,47.0,1.0,100.0,1583.0
SpadarRaman,47.0,48.0,5.0,100.0,1435.0
ste10111,47.0,53.0,0.0,100.0,1081.0
Tueman2017_THNVX,0.0,100.0,0.0,3.0,959.0
KipMadras,52.0,48.0,0.0,100.0,1461.0
MiasnikovOleg,61.0,28.0,10.0,100.0,2239.0
NKLNATHAN62,41.0,50.0,9.0,100.0,1865.0
mountainman89,54.0,43.0,3.0,100.0,1659.0
SquareL,41.0,58.0,0.0,93.0,1592.0
Jogololo,60.0,40.0,0.0,75.0,1943.0
ulfosio,53.0,40.0,7.0,100.0,2023.0
stanevVentsislav,39.0,60.0,1.0,100.0,1783.0
Mitya2015,30.0,68.0,2.0,100.0,1620.0
jukakol,56.0,43.0,0.0,100.0,1132.0
nasakari140506,50.0,38.0,12.0,100.0,1902.0
Ne0217,46.0,49.0,5.0,100.0,1091.0
kostamoto,44.0,56.0,0.0,100.0,1573.0
DanMur,52.0,44.0,4.0,100.0,1780.0
Jay-Jay1,48.0,50.0,2.0,100.0,1914.0
Spitfire_hunter,54.0,45.0,1.0,100.0,1898.0
samer802,54.0,43.0,3.0,100.0,1740.0
Efemer88,48.0,47.0,5.0,100.0,2082.0
ifyoucouldreedmymind,49.0,43.0,8.0,100.0,2422.0
azzagang,52.0,46.0,2.0,100.0,1414.0
awey_MCS,57.0,37.0,5.0,100.0,2192.0
Elena_Sibr7,43.0,56.0,0.0,48.0,1439.0
Chris12349,47.0,48.0,5.0,100.0,1498.0
isurantham,40.0,56.0,4.0,100.0,1728.0
Nhlaka0785246040,56.0,38.0,5.0,100.0,1851.0
Beanmr,43.0,51.0,6.0,100.0,1436.0
WhyFN07,52.0,47.0,1.0,100.0,1561.0
KetyBB,81.0,9.0,10.0,100.0,2476.0
omaramghar,56.0,41.0,3.0,100.0,1166.0
mrhusanboy,47.0,44.0,9.0,100.0,1539.0
RusDud,48.0,48.0,4.0,100.0,1978.0
Alu2702,47.0,47.0,4.0,71.0,1220.0
Cvetochek22,43.0,56.0,1.0,100.0,1994.0
silanjo,40.0,57.0,2.0,100.0,1625.0
PeshkaRules,51.0,48.0,1.0,100.0,1221.0
kartike0007,27.0,63.0,9.0,33.0,1368.0
gvbinfo,42.0,56.0,2.0,100.0,862.0
Lituma_21,51.0,47.0,2.0,100.0,1871.0
DaftJM,0.0,100.0,0.0,3.0,2102.0
alternyo,0.0,100.0,0.0,3.0,1250.0
Keitele,43.0,49.0,8.0,100.0,1747.0
Jacky123,44.0,55.0,0.0,27.0,1821.0
schachammorgen3,54.0,43.0,3.0,100.0,1443.0
ZtHnamte,50.0,46.0,4.0,100.0,1876.0
ADN6666,72.0,26.0,2.0,100.0,2029.0
Fourthstring,50.0,49.0,1.0,100.0,1849.0
Fizuli55,46.0,43.0,11.0,100.0,1933.0
rAuIl,53.0,47.0,0.0,100.0,1664.0
Gewechs,51.0,46.0,3.0,100.0,1518.0
Agassi2,49.0,47.0,4.0,100.0,2133.0
Ulvehaug,48.0,50.0,2.0,100.0,1093.0
DylonJ1,0.0,100.0,0.0,3.0,1317.0
malwake,60.0,38.0,2.0,100.0,1515.0
Tumelo123,51.0,44.0,5.0,100.0,1806.0
MrBrave6000,50.0,50.0,0.0,30.0,1257.0
Wizard_Chess99,45.0,52.0,3.0,100.0,1033.0
arendsvleugel,51.0,45.0,4.0,100.0,925.0
zz01bk,41.0,58.0,0.0,87.0,2025.0
Vvh13,42.0,49.0,9.0,100.0,1403.0
IoPicco,52.0,41.0,7.0,100.0,1985.0
BussyBruiser,48.0,48.0,4.0,100.0,1693.0
Ragnarof,26.0,67.0,7.0,100.0,1731.0
mrbrandet,47.0,51.0,2.0,100.0,1032.0
alluchpe,59.0,33.0,8.0,100.0,1938.0
Wittke,47.0,50.0,3.0,100.0,2500.0
rperce,66.0,33.0,0.0,9.0,1327.0
joona66,45.0,52.0,3.0,100.0,1949.0
bayangan_tcc_star,36.0,56.0,7.0,100.0,1871.0
senuli1st,15.0,85.0,0.0,60.0,805.0
sebstar,63.0,33.0,4.0,100.0,1680.0
Chukalonjid,56.0,37.0,7.0,100.0,1578.0
quvin,49.0,43.0,8.0,100.0,1524.0
domdom123,45.0,54.0,0.0,72.0,1448.0
NeithGL,50.0,48.0,2.0,100.0,1260.0
Jinjouova_babina,60.0,38.0,2.0,100.0,1903.0
leogabriel29,64.0,30.0,6.0,100.0,1824.0
mainincatur,45.0,53.0,2.0,100.0,1567.0
DylFaulk,43.0,54.0,3.0,100.0,1098.0
blower,49.0,48.0,3.0,100.0,1972.0
BrindisySalud,47.0,51.0,2.0,100.0,1400.0
IVAN21-chess,43.0,55.0,2.0,100.0,1335.0
Nektarius,57.0,38.0,4.0,100.0,1452.0
Tulus_Hari,100.0,0.0,0.0,6.0,1485.0
megakitty,37.0,50.0,12.0,24.0,1600.0
caferberkayidu,47.0,45.0,8.0,100.0,1710.0
mostafa3001,45.0,54.0,0.0,33.0,2088.0
suavi06,44.0,50.0,6.0,100.0,1244.0
Nashnoush25,42.0,57.0,0.0,7.0,1851.0
lagavulin_16,38.0,54.0,8.0,100.0,2130.0
krds,49.0,48.0,3.0,100.0,1470.0
azimut1,36.0,56.0,8.0,100.0,2020.0
HellGuru,47.0,50.0,3.0,100.0,1600.0
danking,50.0,50.0,0.0,100.0,1268.0
dima51,43.0,51.0,6.0,100.0,2010.0
Sman817,44.0,56.0,0.0,100.0,1076.0
NikolayBojiy,49.0,48.0,3.0,100.0,1318.0
Niveshram,27.0,72.0,1.0,100.0,1167.0
SaSeg,46.0,41.0,13.0,100.0,2503.0
Doyoulikeourowl,45.0,49.0,6.0,100.0,1088.0
RYis-strong55,50.0,46.0,4.0,100.0,1959.0
Vladimir163,57.0,37.0,5.0,100.0,1872.0
Seano82,52.0,44.0,4.0,100.0,1400.0
Kipper583,44.0,50.0,6.0,100.0,1731.0
D090908,41.0,57.0,1.0,100.0,954.0
Iak_wi,53.0,46.0,1.0,100.0,1380.0
liuyichen1314,50.0,25.0,25.0,4.0,1443.0
BomTombadil95,56.0,39.0,5.0,100.0,1419.0
TB_Aktham,53.0,39.0,8.0,100.0,2202.0
benja22,49.0,47.0,4.0,100.0,1512.0
Vhannnskie,53.0,42.0,5.0,100.0,1271.0
AntoineUR,66.0,33.0,0.0,9.0,1442.0
o000wins,45.0,52.0,3.0,100.0,1646.0
MjLight,0.0,75.0,25.0,12.0,986.0
Lentilator,55.0,40.0,5.0,100.0,1828.0
Sasha07183,50.0,47.0,3.0,100.0,937.0
didierchavat,49.0,50.0,1.0,100.0,1894.0
Pepsi1977,50.0,25.0,25.0,12.0,1384.0
Rezakh1281,41.0,55.0,4.0,100.0,1753.0
erick-28,55.0,42.0,3.0,100.0,1523.0
DXDinhHoangLan,0.0,100.0,0.0,1.0,670.0
OllieParker,83.0,13.0,3.0,90.0,1264.0
Paul_j_p,100.0,0.0,0.0,3.0,1157.0
Arminsaei,50.0,47.0,3.0,100.0,1812.0
tgoldar,47.0,44.0,9.0,100.0,1334.0
Mikhailtaldonordeste,49.0,48.0,3.0,100.0,1886.0
SnikendeSilkehai,36.0,56.0,8.0,100.0,1672.0
devkumarsjktampang,50.0,50.0,0.0,12.0,1154.0
SKAYFACE22,34.0,62.0,4.0,100.0,855.0
atanatos70,43.0,56.0,1.0,100.0,1575.0
wgwmwn,25.0,75.0,0.0,4.0,1507.0
AValko,47.0,50.0,3.0,100.0,1940.0
dragontest,47.0,47.0,6.0,100.0,1726.0
jch-77,0.0,100.0,0.0,4.0,933.0
hotgrabber,50.0,48.0,2.0,100.0,1995.0
Max-Foreva45,46.0,54.0,0.0,100.0,1317.0
donlulas_23,56.0,39.0,5.0,100.0,2195.0
oivlisatacil,42.0,52.0,6.0,100.0,1593.0
OT_99,81.0,18.0,0.0,33.0,1362.0
Razendepion,46.0,45.0,9.0,100.0,2253.0
Shell444,46.0,49.0,5.0,100.0,1550.0
Jogy1981,49.0,45.0,6.0,100.0,1088.0
EduardBabayan,37.0,62.0,0.0,87.0,1863.0
sammyelliott,55.0,37.0,8.0,100.0,1469.0
HEXLET_2024,46.0,52.0,2.0,100.0,1792.0
yehiaib,39.0,56.0,4.0,100.0,917.0
rachid-btta,16.0,83.0,0.0,18.0,1222.0
Spaeter,55.0,38.0,7.0,100.0,1966.0
skiselimixli,54.0,45.0,1.0,100.0,1008.0
furia79,47.0,47.0,6.0,100.0,1340.0
mohammadrezanaghimar,53.0,43.0,4.0,100.0,1638.0
T3di,46.0,52.0,2.0,100.0,1308.0
Baruch_Valenzuela,30.0,70.0,0.0,30.0,1175.0
leopasache1,55.0,45.0,0.0,100.0,1983.0
GerryBriggs,53.0,38.0,9.0,100.0,2122.0
Kirill134,55.0,39.0,6.0,100.0,984.0
Batilmok,48.0,50.0,2.0,100.0,1718.0
Ziad8200,45.0,52.0,3.0,100.0,1632.0
Acexe,38.0,59.0,3.0,100.0,1343.0
Ssokolov79,41.0,59.0,0.0,100.0,1462.0
jairdomingues,49.0,49.0,2.0,100.0,2019.0
Sultik92,41.0,56.0,2.0,100.0,1551.0
Victorteador2,42.0,56.0,1.0,100.0,1734.0
mianazri,48.0,48.0,4.0,100.0,1664.0
aliisoma,49.0,45.0,6.0,100.0,1378.0
ROSMELTORRE,100.0,0.0,0.0,3.0,1850.0
Rico-Hirschmann,48.0,44.0,8.0,100.0,1073.0
Abutch3r,60.0,31.0,9.0,100.0,1099.0
olbapodeclas,53.0,41.0,6.0,100.0,2080.0
jigzsz,56.0,40.0,3.0,87.0,1908.0
RoadToGMI2666,53.0,43.0,4.0,100.0,2073.0
mohandesbarry,49.0,46.0,5.0,100.0,1811.0
betskiy,47.0,50.0,3.0,100.0,1607.0
JerrysonAgyapas,42.0,56.0,2.0,100.0,2004.0
mlfmagic,35.0,57.0,7.0,42.0,1498.0
Ritterkoko,0.0,100.0,0.0,3.0,1500.0
radekmuhlfeit,36.0,56.0,8.0,100.0,1928.0
teddilicious,45.0,54.0,1.0,100.0,1433.0
Nagaty_n,37.0,56.0,6.0,100.0,1883.0
JJMullis,39.0,56.0,5.0,100.0,1230.0
disto,50.0,50.0,0.0,12.0,2404.0
elingleb2021gmailc,50.0,33.0,16.0,18.0,1719.0
m2362,47.0,50.0,3.0,100.0,951.0
Bourne74,46.0,48.0,6.0,100.0,1803.0
bobby_capablanca,51.0,40.0,9.0,100.0,1930.0
Mikaelov,53.0,40.0,7.0,100.0,2095.0
lumpia2020,50.0,45.0,5.0,100.0,1979.0
Pavvlad,59.0,39.0,2.0,100.0,1805.0
Emanuel010993,39.0,55.0,6.0,100.0,839.0
Rezignationistheflag,44.0,54.0,2.0,100.0,1737.0
Killerkitten,0.0,100.0,0.0,3.0,1289.0
hyperion70,57.0,35.0,7.0,100.0,2045.0
texcido,52.0,43.0,5.0,100.0,2091.0
knc_ahmet,55.0,41.0,4.0,100.0,1723.0
magdy_abdelghany,51.0,43.0,6.0,100.0,2097.0
Ampalos,43.0,51.0,6.0,100.0,1646.0
petermcsh,45.0,54.0,1.0,100.0,1596.0
Chok0409,43.0,54.0,3.0,100.0,1733.0
tininho58,23.0,77.0,0.0,100.0,1708.0
moussa2019,44.0,52.0,4.0,100.0,1779.0
siyabongaa,45.0,51.0,4.0,100.0,1707.0
fireskill903,55.0,37.0,8.0,100.0,1605.0
rayboi99,53.0,44.0,3.0,100.0,1749.0
nerceiram,44.0,50.0,6.0,100.0,1779.0
Smartleft,51.0,48.0,1.0,100.0,1535.0
winter_coming,50.0,49.0,1.0,100.0,2350.0
se040184jaa,52.0,47.0,1.0,100.0,1599.0
SohamBanerjee,55.0,42.0,3.0,100.0,1199.0
ngrvk,45.0,53.0,2.0,100.0,1572.0
FazliDRB,40.0,56.0,3.0,100.0,1288.0
Broussailles,75.0,25.0,0.0,12.0,1699.0
ghrzg,25.0,50.0,25.0,12.0,1244.0
attacker4354,42.0,42.0,14.0,42.0,1772.0
Johajedrez,44.0,47.0,9.0,100.0,2298.0
HassanVaezi40,46.0,53.0,1.0,100.0,974.0
Adhya54286,49.0,48.0,3.0,100.0,1484.0
Zeyn_Aqil,46.0,50.0,4.0,100.0,1892.0
MADIANECHEVERRIA,46.0,46.0,6.0,96.0,1122.0
Rey_123,37.0,57.0,5.0,100.0,1316.0
zeyadmohammed,39.0,56.0,5.0,100.0,1543.0
Luckyfish888,42.0,57.0,0.0,100.0,1318.0
Chessstefann,56.0,41.0,3.0,100.0,1820.0
Kharibold,45.0,50.0,5.0,100.0,1544.0
Carcelario85,37.0,46.0,17.0,100.0,2412.0
ulucinar_2014,49.0,51.0,0.0,100.0,1616.0
zafrir_patt,43.0,51.0,6.0,100.0,2234.0
amid53,47.0,44.0,9.0,100.0,1944.0
mdbazlurrahman,46.0,50.0,4.0,100.0,1758.0
sirluk,50.0,47.0,3.0,100.0,1317.0
Frankchess1978,50.0,42.0,8.0,100.0,1358.0
Aiman40,56.0,43.0,1.0,100.0,1592.0
garrymagnusmx,52.0,43.0,5.0,100.0,2017.0
siyoha,56.0,42.0,2.0,100.0,1896.0
INTHENEXTMOVE,70.0,30.0,0.0,100.0,1415.0
Tacloban69,61.0,38.0,1.0,100.0,2287.0
modyaki,57.0,41.0,1.0,100.0,1720.0
Jeditheloser,34.0,37.0,28.0,35.0,760.0
shikpooshan560,46.0,54.0,0.0,100.0,1630.0
Axe_Oh_Lot_Tell,52.0,43.0,4.0,69.0,1678.0
wilko58,43.0,51.0,6.0,100.0,1216.0
SCHIU19,0.0,100.0,0.0,3.0,1126.0
NerveStrike24,62.0,36.0,2.0,100.0,1140.0
Liam_Hendo,52.0,45.0,3.0,100.0,1103.0
Fetou7aaa1999,54.0,44.0,2.0,100.0,1709.0
DARCUAMIM,36.0,60.0,4.0,100.0,2141.0
Ayura001,0.0,100.0,0.0,3.0,1034.0
Sportchessman,41.0,56.0,3.0,100.0,1534.0
emeraldpage,50.0,45.0,5.0,100.0,1332.0
mazimazi,41.0,48.0,11.0,100.0,1822.0
xqelpelucasape,53.0,44.0,3.0,100.0,2128.0
LuisGa1973,52.0,42.0,6.0,100.0,1258.0
NASCA2017,42.0,51.0,7.0,100.0,1383.0
kiyotakapon,34.0,65.0,0.0,23.0,1371.0
Ledor123,46.0,51.0,3.0,100.0,2133.0
Voronkov_Zhenya,59.0,38.0,3.0,100.0,1735.0
master_cile,49.0,49.0,2.0,100.0,1270.0
JoeMamaWalker,51.0,47.0,2.0,100.0,1337.0
topce,50.0,43.0,7.0,100.0,2462.0
josiepytom,49.0,49.0,2.0,100.0,1303.0
NTATEMOAHLODI,55.0,43.0,2.0,100.0,1741.0
bleebus_55,53.0,45.0,2.0,100.0,1563.0
CB_Jaswith,33.0,62.0,3.0,81.0,838.0
angeloparets,44.0,50.0,6.0,100.0,1106.0
Rodcourt,39.0,57.0,3.0,84.0,1491.0
superafm,52.0,42.0,6.0,100.0,2377.0
Gholamrezamotahari,72.0,23.0,5.0,100.0,1699.0
zejafo,48.0,45.0,7.0,100.0,1280.0
emisho,50.0,50.0,0.0,6.0,1445.0
YuriGamer3139,43.0,52.0,5.0,100.0,1365.0
JoseNahum000,43.0,50.0,7.0,100.0,2473.0
Square_Chess,21.0,68.0,10.0,57.0,1571.0
blehblehbleh09876545,49.0,47.0,4.0,100.0,1906.0
VennelaReddy,0.0,100.0,0.0,15.0,650.0
TheChessMate2018,56.0,37.0,6.0,48.0,2040.0
sirprawn,81.0,15.0,4.0,100.0,1546.0
arvaheshab,44.0,52.0,4.0,100.0,1361.0
CesarCalboni,46.0,50.0,4.0,100.0,1747.0
edzzzio,51.0,49.0,0.0,100.0,1274.0
Platon_Logvinov,25.0,50.0,25.0,4.0,1212.0
rudenvas,55.0,44.0,1.0,100.0,1840.0
Thewoolf,51.0,47.0,2.0,100.0,1422.0
alfiere1954,48.0,47.0,5.0,100.0,1375.0
tejbod,32.0,53.0,15.0,100.0,2155.0
neychev,38.0,61.0,1.0,100.0,1605.0
MAAS1973,50.0,44.0,6.0,100.0,1625.0
orvinn,41.0,57.0,1.0,100.0,1780.0
egorkorakin,60.0,40.0,0.0,15.0,831.0
fuzuli21,25.0,75.0,0.0,12.0,1869.0
SinanBilfen5,35.0,58.0,5.0,51.0,1228.0
vishalguna,40.0,56.0,3.0,100.0,1309.0
bdcht3,48.0,49.0,3.0,100.0,1509.0
AlexLebedev,50.0,34.0,16.0,100.0,2201.0
tahaabdelrahman,49.0,47.0,4.0,100.0,1433.0
Roman90,48.0,48.0,4.0,100.0,1499.0
Dr1971,41.0,47.0,12.0,100.0,2164.0
tranquipiola,48.0,47.0,5.0,100.0,2054.0
Daddy31peter,61.0,30.0,7.0,39.0,1423.0
Zuxx,43.0,50.0,7.0,100.0,1859.0
Sabka_baap,47.0,52.0,1.0,100.0,1444.0
JOHANNPROELS,43.0,55.0,2.0,100.0,1358.0
Auksinis_Kardas,38.0,50.0,11.0,54.0,1872.0
Buddy-Casino,48.0,51.0,1.0,100.0,1436.0
George_Parasol,38.0,58.0,3.0,93.0,1563.0
SudeepT9,46.0,43.0,11.0,100.0,1447.0
shizidage,41.0,59.0,0.0,100.0,907.0
Alekhines_Gunn,44.0,51.0,5.0,100.0,2238.0
As362883ishsuwjgsiqj,45.0,51.0,4.0,100.0,1447.0
C27679907,15.0,61.0,23.0,39.0,1570.0
Alexander_Barca,0.0,100.0,0.0,6.0,1897.0
chorizombi,42.0,46.0,12.0,100.0,968.0
vitalgb,50.0,50.0,0.0,6.0,1568.0
alexloooo,48.0,46.0,6.0,100.0,1875.0
Megalite_10,55.0,44.0,1.0,100.0,1116.0
chilufyaDm,60.0,40.0,0.0,30.0,2047.0
ZatkoPavol,46.0,51.0,3.0,100.0,1684.0
JesiP,0.0,100.0,0.0,6.0,1733.0
poljohns,35.0,60.0,5.0,100.0,1380.0
xlike,36.0,54.0,9.0,66.0,2084.0
misri_zaipan,45.0,51.0,4.0,100.0,1884.0
mokhtar67,49.0,49.0,2.0,100.0,1308.0
samango,55.0,44.0,1.0,100.0,1863.0
L1T0M3,52.0,42.0,6.0,100.0,1690.0
drhausner,50.0,44.0,6.0,100.0,1611.0
Misbakhul_Munir,53.0,44.0,3.0,100.0,1936.0
yJIbI6acmop,52.0,45.0,3.0,100.0,1371.0
Nekkenknakker,37.0,62.0,0.0,72.0,1706.0
M1KE_1,37.0,59.0,3.0,81.0,1789.0
Good_chessman,51.0,48.0,1.0,100.0,1833.0
AlbertFerre,61.0,38.0,0.0,63.0,1252.0
Negroapolo,39.0,57.0,3.0,100.0,1749.0
Zhuravlev_AV,57.0,40.0,2.0,100.0,1985.0
Jpage,42.0,54.0,4.0,100.0,1700.0
babaAngie,45.0,52.0,3.0,100.0,1162.0
crunchysprings,50.0,44.0,6.0,100.0,1407.0
Oscar1111,42.0,56.0,1.0,100.0,1324.0
Siulzurct,33.0,33.0,33.0,9.0,2320.0
cinzaall,55.0,41.0,4.0,100.0,1534.0
AH-ED1,47.0,40.0,13.0,100.0,2414.0
BlindJagulep,69.0,27.0,4.0,100.0,2317.0
Giloukebab,60.0,37.0,3.0,100.0,1785.0
AhmedShataa,53.0,46.0,1.0,100.0,1901.0
turdibay2023,56.0,42.0,2.0,100.0,1698.0
DanikKrg,49.0,47.0,4.0,100.0,1145.0
LukukM,47.0,46.0,7.0,100.0,1171.0
nnnnnmmmmm,46.0,53.0,1.0,100.0,1576.0
Arisim2k2,40.0,56.0,4.0,100.0,1708.0
Nitsuga91,50.0,49.0,1.0,100.0,1551.0
borpsofprey,53.0,37.0,9.0,32.0,1806.0
biga570,48.0,49.0,3.0,100.0,1845.0
Coco100,50.0,43.0,7.0,100.0,2109.0
Vatsal_Yadav,25.0,58.0,16.0,36.0,1030.0
BekarysChess,44.0,55.0,1.0,100.0,1776.0
Acer2020,46.0,50.0,4.0,100.0,1790.0
gyuhakim,45.0,53.0,2.0,100.0,2005.0
Bauerle,50.0,47.0,3.0,100.0,1542.0
riemannsum,44.0,50.0,6.0,100.0,1218.0
asmotalkev,48.0,50.0,2.0,100.0,1891.0
Abohassan1976,37.0,62.0,1.0,100.0,1266.0
RAGING_BLEZZZ,51.0,48.0,0.0,27.0,1224.0
monsef1998,56.0,40.0,3.0,100.0,1404.0
JazzyJanosch,53.0,46.0,0.0,39.0,1440.0
Amfy378,52.0,44.0,4.0,100.0,1036.0
Alexanderiiii,49.0,45.0,6.0,100.0,1472.0
bigsylv,50.0,49.0,1.0,100.0,1094.0
Dragon_CA,40.0,56.0,3.0,96.0,1760.0
MinaNathan0710,53.0,42.0,5.0,100.0,1444.0
Yara1205,51.0,48.0,1.0,100.0,1660.0
Sir-Icestorm,34.0,65.0,1.0,100.0,1051.0
Turmbrecher,62.0,36.0,2.0,100.0,1691.0
weezy1999,50.0,48.0,2.0,100.0,1435.0
sethun-5,14.0,85.0,0.0,21.0,1598.0
muslumkurt10,50.0,48.0,2.0,100.0,1079.0
yellowclock,47.0,50.0,3.0,100.0,1806.0
Schach112b,48.0,51.0,1.0,100.0,1578.0
JMB21,53.0,43.0,4.0,100.0,1983.0
coffeebeans,88.0,11.0,0.0,27.0,2599.0
martflachs,51.0,48.0,1.0,100.0,1530.0
hanifhossaini,0.0,100.0,0.0,3.0,796.0
theSuccessGuy,50.0,50.0,0.0,12.0,1408.0
Maria_SLK,46.0,47.0,7.0,100.0,1582.0
Jose_camilo-8270,40.0,60.0,0.0,15.0,1367.0
KareliaBear,50.0,49.0,1.0,100.0,2006.0
FedorZybin,49.0,49.0,2.0,100.0,1131.0
plzuze,46.0,53.0,0.0,45.0,2115.0
Lorenzomagpoc,52.0,43.0,5.0,100.0,1814.0
Abasrahbar,52.0,45.0,3.0,100.0,1481.0
gwyn6,37.0,62.0,0.0,27.0,1695.0
sarbaz_irani,44.0,56.0,0.0,100.0,1573.0
KostandinRchess,55.0,41.0,4.0,100.0,2179.0
AlephNought,50.0,49.0,1.0,100.0,2058.0
Linnegor,68.0,31.0,1.0,100.0,2000.0
thizanne,0.0,100.0,0.0,6.0,1500.0
marklaptenok,27.0,72.0,0.0,33.0,1431.0
Vegetabe_156,47.0,43.0,10.0,100.0,773.0
kmk4343,66.0,33.0,0.0,18.0,1573.0
rezashirkhani,46.0,50.0,4.0,100.0,1215.0
Raby2777,48.0,51.0,0.0,99.0,1686.0
SanMigueldePiura-UNP,69.0,30.0,0.0,23.0,2406.0
Nukhta_s2,64.0,35.0,1.0,100.0,1296.0
vicio,40.0,53.0,7.0,100.0,1785.0
akk_nov_1,52.0,42.0,6.0,100.0,2220.0
caliskeno,53.0,42.0,5.0,100.0,1267.0
Terente1,52.0,47.0,1.0,100.0,1569.0
TAFKABacchus,53.0,42.0,5.0,100.0,1629.0
leopaulgg,57.0,42.0,0.0,57.0,1641.0
Rocinha,59.0,37.0,4.0,100.0,1653.0
ChessWarrior9143,49.0,47.0,4.0,100.0,1551.0
davronbekds96,48.0,48.0,4.0,100.0,1392.0
jamen776,0.0,100.0,0.0,3.0,2190.0
samerpush,46.0,46.0,7.0,84.0,1718.0
Abigail_Lucas69,54.0,43.0,3.0,100.0,1754.0
nfrzain07,46.0,47.0,7.0,100.0,1048.0
Piochu56,52.0,47.0,1.0,100.0,1522.0
machfilip,45.0,52.0,1.0,61.0,1270.0
Wegion,60.0,39.0,1.0,100.0,920.0
sergioibarra123,50.0,49.0,1.0,100.0,1710.0
yabbadabadoo,46.0,53.0,0.0,45.0,1940.0
BeiYang,57.0,42.0,0.0,100.0,1592.0
Giulio19031975,36.0,61.0,3.0,100.0,1841.0
Sobuj_Ahmed_Sagor,66.0,30.0,4.0,100.0,1827.0
torre111,48.0,50.0,2.0,100.0,1558.0
kioppoo,51.0,49.0,0.0,100.0,1945.0
BijhanH,41.0,55.0,4.0,100.0,1051.0
CarlosGO98,40.0,56.0,3.0,100.0,1290.0
fleakillerh,41.0,54.0,5.0,100.0,2100.0
NabilTN2,44.0,54.0,2.0,100.0,1571.0
IlanaOstapenko,35.0,64.0,0.0,42.0,1224.0
vallepusa,45.0,53.0,2.0,100.0,1044.0
almaisky,54.0,44.0,2.0,100.0,1473.0
reza_alipour,43.0,47.0,10.0,100.0,1631.0
Leonpastaconchetos,0.0,66.0,33.0,3.0,1127.0
kabir111,51.0,43.0,6.0,100.0,2135.0
stark46,43.0,50.0,6.0,90.0,760.0
AgishevIdris,43.0,48.0,9.0,100.0,1259.0
fort_board,51.0,47.0,2.0,100.0,1820.0
Taurochess,37.0,56.0,6.0,100.0,1475.0
BlueGreensun,0.0,0.0,100.0,3.0,2770.0
phoenixDerek,43.0,52.0,5.0,100.0,1546.0
SIMWEENDENGWE,44.0,53.0,3.0,100.0,1891.0
philjolly,46.0,52.0,2.0,100.0,1348.0
yashvi23,55.0,43.0,2.0,100.0,1022.0
jorao,50.0,49.0,1.0,100.0,1476.0
salimshamas,57.0,42.0,0.0,21.0,2182.0
jwdominion,49.0,49.0,2.0,100.0,2098.0
noir1916,53.0,45.0,2.0,100.0,1618.0
Musemembe,50.0,43.0,7.0,100.0,1401.0
scolari,44.0,50.0,6.0,100.0,1800.0
curiousgeorge55,45.0,50.0,5.0,100.0,1557.0
smith0489,43.0,48.0,9.0,100.0,1739.0
meli26,46.0,50.0,3.0,96.0,1810.0
lyhau10,39.0,61.0,0.0,100.0,900.0
MikhailBryzgalov2015,59.0,28.0,12.0,100.0,976.0
Vikram2312,43.0,52.0,5.0,100.0,1235.0
NewGeneration_Chess,34.0,65.0,0.0,69.0,1449.0
Misha_Pravednikov,47.0,52.0,1.0,100.0,1368.0
Eagle_Warr1or,46.0,52.0,2.0,100.0,1918.0
E-Jaser,49.0,49.0,2.0,100.0,1809.0
Bismuth45,52.0,46.0,2.0,100.0,1252.0
Dreams6533,48.0,51.0,1.0,100.0,1889.0
teqmhank77,41.0,52.0,7.0,100.0,1588.0
SmurfRai,49.0,49.0,2.0,100.0,1705.0
Trentsims74,50.0,41.0,9.0,100.0,1464.0
VainDream2016,33.0,66.0,0.0,27.0,1697.0
Decrator,66.0,0.0,33.0,9.0,1801.0
Tomgan07,48.0,51.0,1.0,100.0,1465.0
hn1349,55.0,43.0,2.0,100.0,1591.0
justlikefun,67.0,30.0,3.0,100.0,1692.0
Acahdewa84,44.0,52.0,4.0,100.0,1657.0
herpo,53.0,43.0,4.0,100.0,1617.0
NikePhanthom_16,43.0,47.0,8.0,69.0,1233.0
chessct1,44.0,53.0,3.0,100.0,1883.0
chrisuefk,44.0,51.0,5.0,100.0,1459.0
tahamahan1388,35.0,56.0,7.0,53.0,799.0
Scrag,55.0,43.0,2.0,100.0,1480.0
KingQuinc,48.0,45.0,7.0,100.0,1459.0
Giuli7,0.0,100.0,0.0,3.0,876.0
Rifaz_SG,100.0,0.0,0.0,6.0,1744.0
pauloarede078,47.0,46.0,7.0,100.0,1561.0
Konstantin_Ageev,64.0,32.0,4.0,100.0,1981.0
IronSolo,46.0,51.0,3.0,100.0,1670.0
Luzzo,47.0,49.0,4.0,100.0,1351.0
Rajendra_123,67.0,31.0,2.0,100.0,2087.0
Rizz007,51.0,47.0,2.0,100.0,1437.0
