user_id,win_rate,lose_rate,draw_rate,game_count
engsultan00,46.0,46.0,8.0,50
Panfi,52.083333333333336,45.83333333333333,2.083333333333333,48
rsk86,55.55555555555556,38.88888888888889,5.555555555555555,54
mercanet,54.0,46.0,0.0,50
cool-chess-21,40.816326530612244,59.183673469387756,0.0,49
bhavyamarella,44.642857142857146,53.57142857142857,1.7857142857142856,56
cironine999,43.75,50.0,6.25,48
chessenthusiast2,47.91666666666667,50.0,2.083333333333333,48
derwolf21,48.0,46.0,6.0,50
mmchess2023,56.60377358490566,43.39622641509434,0.0,53
Oguzalp13,35.55555555555556,64.44444444444444,0.0,45
Evalena2024,44.89795918367347,51.02040816326531,4.081632653061225,49
s7alamen,50.0,46.0,4.0,50
Marifercristobal,38.775510204081634,53.06122448979592,8.16326530612245,49
maz350_k1,47.05882352941176,47.05882352941176,5.88235294117647,51
Beemsterboa,48.0,50.0,2.0,50
big-bad,45.09803921568628,49.01960784313725,5.88235294117647,51
Cyanideandhappiness,48.275862068965516,51.724137931034484,0.0,29
lvbnhbq1982,50.0,48.0,2.0,50
fortaken,45.28301886792453,52.83018867924528,1.8867924528301887,53
jonateng,68.0,28.000000000000004,4.0,50
schachsinnig,39.130434782608695,56.52173913043478,4.3478260869565215,46
BMBenito_2016_Tugue,48.97959183673469,48.97959183673469,2.0408163265306123,49
bobsonx10,45.83333333333333,54.166666666666664,0.0,48
VaChechnev,50.98039215686274,43.13725490196079,5.88235294117647,51
SirNefarious630,56.00000000000001,44.0,0.0,50
GramBoLubie66,42.22222222222222,53.333333333333336,4.444444444444445,45
tshifeler,42.0,52.0,6.0,50
foreverStuck,47.91666666666667,45.83333333333333,6.25,48
soloview,44.230769230769226,53.84615384615385,1.9230769230769231,52
Kawabanga222,56.00000000000001,40.0,4.0,50
NiemannFan,50.98039215686274,41.17647058823529,7.8431372549019605,51
P3rrys0n,52.0,48.0,0.0,50
Alexkonstbg,55.10204081632652,40.816326530612244,4.081632653061225,49
Sp1aw,25.0,68.75,6.25,16
OLEGPLAYER152,56.86274509803921,37.254901960784316,5.88235294117647,51
timlawson,46.0,46.0,8.0,50
AhmedHonda1986,46.93877551020408,48.97959183673469,4.081632653061225,49
gittilayke,54.0,40.0,6.0,50
ramac-bartol,45.83333333333333,50.0,4.166666666666666,48
bluecow1,58.82352941176471,41.17647058823529,0.0,51
AvBurakhan,58.333333333333336,33.33333333333333,8.333333333333332,48
dukicmond,42.857142857142854,53.06122448979592,4.081632653061225,49
northern_monkey,52.0,46.0,2.0,50
mmevlutbyr,56.00000000000001,42.0,2.0,50
zdarzbrum,54.0,44.0,2.0,50
deestar,36.734693877551024,53.06122448979592,10.204081632653061,49
bachmoch90,45.09803921568628,52.94117647058824,1.9607843137254901,51
mehmeto,52.94117647058824,47.05882352941176,0.0,51
dvsuhov,0.0,0.0,0.0,0
mrkingtony,42.857142857142854,48.97959183673469,8.16326530612245,49
bullseye9,47.05882352941176,50.98039215686274,1.9607843137254901,51
kezhik_0,53.06122448979592,44.89795918367347,2.0408163265306123,49
albassem4,44.0,52.0,4.0,50
Sky0010,40.0,60.0,0.0,50
bobby-vishy,51.85185185185185,42.592592592592595,5.555555555555555,54
PlayaONE,40.0,56.00000000000001,4.0,50
leongambit,56.00000000000001,44.0,0.0,50
loup76,60.78431372549019,37.254901960784316,1.9607843137254901,51
Saganash13,55.10204081632652,40.816326530612244,4.081632653061225,49
Yazish,64.70588235294117,35.294117647058826,0.0,51
Naddyuza,58.82352941176471,33.33333333333333,7.8431372549019605,51
IplayforDRAW,46.93877551020408,44.89795918367347,8.16326530612245,49
sandraekaputra,52.0,46.0,2.0,50
ImaRandomBot,38.297872340425535,59.57446808510638,2.127659574468085,47
killagame72,50.0,46.42857142857143,3.571428571428571,56
GROss044,44.0,56.00000000000001,0.0,50
RGratsch,58.333333333333336,41.66666666666667,0.0,48
bernao,48.97959183673469,51.02040816326531,0.0,49
