user_id,user_op,game_result
paulpavlus,mrots_tnelis,1
Hrishant2610,Morus_rubra,-1
Arnav1813,Dieter_Koehler,1
Josef_Otto,susytroll,-1
Josef_Otto,susytroll,-1
kzCTAH,lemalin17,1
RamChess1234,Kurban336,-1
jvt18,Samweiss99,1
namhoang33,JorgeLuis_81,-1
whoisvinoth,stelmashok,0
aSd12F13,olotu,1
k04uron,DanielPerotti,1
Cristian_Z,walter_43,1
Gorochu23,MISTERCHUK22A,1
mohamedalaa207,Maxuta2013,1
BryandDor,olwan12,-1
Ismaelfiol,alancomplet,1
elvergalarg,Railandersson,1
GozziFrank,findus_1,-1
Pag_Tokef,dimdumup321,-1
EmilEkholm02,,401
groovechesster,,401
SamihDiDi,Yassin_abdo,-1
ilcheetah,PAYDAR32,-1
MohamedBakr12,Adam_Ismail3,-1
Ankit_undefeated,babouski,0
Ostia1948,mmode,-1
TorontoBlueJays,MakeAWish55,-1
Kloudzz,Dimasik24,-1
Waterman1970,disara,1
mwilkes510,SACRECEUR,1
VovaZubairov,dgrechin,-1
Gazzaeva-Liyana_2,Chess_Go-Samara,1
Gorki69,mobin74,1
greshchess,TakezoKensei,-1
redexplosions,BBcherie,1
OISMJ-Harshali,Heisenberg6403,-1
Manasaap,abde_rmc,-1
Anrihard,psp2108,-1
MN_Galao,dGonzo,-1
YuryLobov36,cvomake,1
dptydog,EldoradoSun,-1
AlbertoX,matheusbnas,1
ChessWorldChampion_1,leviatanmagic,-1
karomur,Pacositeb,-1
NkChessTienNam,thki,-1
joelsterki,AlejandroDeArmas,1
tuhermana123,ntoc1999,0
Sultan_IDFC,Rus10,1
amihai,talhatartici,-1
Kramit54321,EnchantingMajor,-1
avemaria2025,old_grandfather,-1
AlexeyOrehov,greenmate,1
chchchchchchhc,xjoufix84,-1
solid-pawn13,ayax75,1
Dani2514,Bradyaga14,1
jairoperez30,alfons2018,-1
Dajea,Toponet9952,-1
Huckushi,jesskinny,-1
gondor110,ALEXANDR_M13,1
bl4ckeagle10,shurido,-1
manthanchachar,L4gfx,1
FrontalButt,CruzeiroTop,1
Kimaya2017,e4e5f4exf4nicht,-1
pk143221,javiito,-1
Hari_201128un,jcbose,1
Joko-edan_Ltc,noid87,-1
YaroslawItabaev,Tonysilverlight97,1
Africa_Aj,pathfinder01,1
baysed1400,Reykjavik2022,-1
Scheff_1,namanok,1
chessmedianeira,Faxriddin1,-1
Istoria_2016,LeonidJazz,1
NO_QUEEN_CLIMB,Dipaolad,1
Virat000,Ibrohim2014,-1
gahanp99,ferverc,-1
b237,Handyplayer,1
sJoyce-TR,elmar8,-1
shishi143,,401
Koboi_KTCT,,401
Rustem_Kurbansky,reshetnyckow,1
UweRademacher,dR_AcmE_IsmE,1
sinanarslan,BantBain,1
nurka1,Terribilcus33,-1
TimofeiSergeevi4,Gnitaheid,-1
dapacri,chorman,-1
vikraam,Quldzie,1
Novice_Noah,HouseOfLeaves19,1
GaneshKadu,jodef77,-1
safaie5523,Nikolai1959,-1
ChessCadet,calz100,-1
Alan_Shegenov,Gizikunki,1
caba1989,sxxiven,-1
MrSipes,olammy,-1
maro09,,401
FuddmerL,,401
Kiran0926,Gmelyani,1
Davi_Vascao_Reis,oleandrofreitas,1
A7968801,Asike,-1
Alfoli_mx,Lachessbleue,-1
Damir_Zakirov,Rasapodi,1
MuravskyjEvgen,Kjjack0829,1
Samira_1005,PKhajure,-1
Poet_Of_The_Fall,Jorgemario2015,1
