user_id,user_op,game_result
Gorn68,GAMBEU,1
avishkarKarande,ihabaliaa,-1
kwixote,,401
akourastos36,,401
Saveliy_Solovjov,krasavchikDanila186,-1
sbabitsky169,skorpion123,1
Shams777,Gorlikov,1
alexthegreatbraz,Julkchess,1
jayah73,Evgeny_Sitdikov,-1
ogbmt,joresem,-1
Karoo61,Sa-1353,1
Atomaniac,JumpingPawnstorm,-1
meowa92,Mohsenkamalinasab134,1
Nighthawking,Novato367,1
shacharsidi,Chessmaster832,-1
Noir619,flandeluxe,-1
Heesung937,chils,-1
malekaahmedd,labalsa-Chess,1
Deepbanik101,sandaljapit,1
Rejecs,MarcusLiciniusCrass,1
Aalifa17,danteek45,1
Sluchev,Josean8277,0
Diyashastry,Xecutioner09,-1
Trauma915,Timka666,1
m_t-N,Babahan1964,1
Carlosydiaz,Qf21_Glas,-1
dim_login,ochicha,1
thistlepruner,javy_alvarez,1
muhtar689,joachimgr,1
elpapacho123,Bow55,1
PaulSAV,SuboczEmma,-1
H434243,Tumokathok,1
ishaky,UpToy,1
JOHNNYCATSWILL,SuperSayian2,-1
PedroDz,Cheeku_Chills,-1
AxelRose,LolOlololololololooo,-1
HossamAdel2020,wheresfischer,-1
animuponi,panpan87,-1
JEOB71,moroz_original,1
ArteMironov23,Juelly,-1
Romario_1976,stepanshina,1
Totla,oday99adi,-1
Crazy4you,BOXPA,1
TomasSosa,kasparik_garik,1
KonnahBernard,owen77,0
princebenzema,juon10ene,1
mayeight,AydarShah,1
MaM232,mxg85,-1
OshodiOstrich,YassaveevMansour,0
flo-mate,Rameshwar22,1
Lala_a,omsol,-1
TotemJulien,Zhantore_KZ,-1
hhhhjjjjdkkk,Jigjee,1
DavisA24,emrah-ylz,1
DuraiNainar,AlasKaPedh,1
avyaanmodi25,Ayansh_2016,-1
bluedcheese,,401
Bliendcheckmate,,401
mixan_yy,naarrr,-1
MosDmitry,dieterbrain,1
thomet,DanGlz,-1
Ngotranbachthang,Trash_at_Chess_123,1
gmshantanutambe,tuhindeshmukh,-1
Renat116,hewei_champ,1
Derdiyok,jhooth,-1
randomshawn,ilfustigatore,-1
dcons28,phoenix_chess_2024,-1
BatuBaygin,dinoarmas,1
Paulz2110,J2001622642,-1
Lighting10,iz_yakutska,-1
AlanaSue0705,Herwig1,-1
jatop,Ale965XD,-1
kouroshkhan1,ZAza188,-1
eumensalamanca,CitizenC,-1
km_H_lthung_2017,AtharvaGangil1904,-1
AlexandrErdakov,LearningchessIguess,1
Sem_2012,Okba7777,0
koyika74,capybaric,-1
zverek,Mervado,-1
Brunaldo7,ismailkayir,1
Alexey1683,Maheswarareddy4321,-1
F94NKL1N,FSan217,1
Marat37,Milana-Yasn,1
the_prime_mover,,401
Aidyn9696,,401
krzysiekstasilas,makavachat,-1
ouietnon,pooria_h,1
Lara2602,tomssah11,1
Daniilb04,Queops,-1
rohit5087,Blackfish33,1
EgoRka_FlagOruB,GERAmini,-1
MicksonXelix,ssubram,-1
Niklaskowski,koko12062023,-1
daremo17,SUNS5,1
trustworthykebab,VERITASICH,-1
Macpillo,lalbihari,1
DobriDiv,eibfr,-1
shivamjnv4,NskRonin,1
vikalpshakya,wonkaa_a,-1
eugenevc,horni700,-1
Mateusz43,kumudkothari123,1
fedesbikes,SergeyKG,-1
MarkFedotov13,AlexandrGuriev,1
Erik-Ten-Hag,Schwachschacher,1
Spider-man-Miles,JaviFu57,0
EnemyEvil,bosstrey,1
danielandres0812701,Galvan_001,1
pouyaaa,wigand,-1
martino_tr,pierrot13,-1
KGjaba,khalioof,-1
soliyev_jahon_150120,ZhenyaSkirda,-1
mahdiar9264,,401
Dahttas,,401
Danya_Black777,bubba210,-1
seamate,,401
RavshanJoniboyev,,401
Excellent_Oatmeal,matd979,-1
Jonny2734,JEAN-CHRISOPHE,1
Anne_Isabella_Raj,joeri3,-1
Anonymous_hacker1,evgenalexmihail,-1
Unicornhanhan,JandeTimmerman,0
kanayua,Hugo_Zane,-1
YoungerTal,Wiktorinator,1
manas_chess_speaks,LeonardoAdrianXD,-1
XadrezMais,Victor524,0
sulamusic,Kirsan1980,-1
omarwael10,gunchess52,1
Fred_M3110,RYRD,-1
deepblue2xy,seger777,1
ahnfoxgm,alecs6596,1
klrmdsn,stbcc28,-1
markizio88,sale94,1
Trayko,jdumagay,1
atharvabliss,JOHANNPROELS,-1
Torfnase,Mondflug,1
adem67,RH1893,-1
Tnjztmhcs,Russell2203,1
CorleoneCorleone10,angryMax,-1
MARCELINGUI,xRupster,1
egeuzunn,E_Andrey71,1
PAXA9,Ninjamario07,1
R0TTEN_LUCK,Haggard,-1
ramsanthosh,Rewees3wni,-1
niketh1990,Chessmasterblr,0
Rodri1234567,DanniMayte,1
SABHmason,andriajinjolia,-1
Nanduhere,iv1980,-1
Paris070502,Behemoth21,1
asyuta-kam2318,rozis,1
mz0,Tahaned2015,-1
Mannsi13,yummyhat,0
DEFENDER500,KingChrisVII,1
radvinroshan96,G0dly-AurX,1
EmiA01,dannuta83,0
okashnik,klknv,-1
XMedAmine,noelebuk,-1
TrCagdas,AdArdyanAd,0
at-fil-gorilcik,jobuuu,-1
negan111,surfando,1
erendeniizer,jst-ply,-1
dreamz01,hiba000,-1
Prince742,,401
Mohtadi-zenaidi_2005,,401
bhadaderakesh,harlo,-1
Flaviojazz,CRBrahim,-1
ILMALONE,cs43,-1
RussianMaverik,kaye86,-1
katip7,KnightsRebellion,-1
Hidra777,Tasoul,-1
Stas_1991,mat1174,-1
JoseLuisponce,ORJB59,-1
Xuesha_Nighdelk,the_gingerbeard_man,-1
jdbusta94,Naser-7777,1
AlexeyLeo,VitNik8,-1
nisslium,Macarraconestilo,1
SamTaxir_59,edosmera58,-1
Bella125,FORTUNETLT,1
SicilianQueen1,Anur_Kayupov-558,-1
abul_Khaer234,OrlandoH1601,1
fiftyshadesofshivang,A_Breen9,1
SST_1978,heavyhansen,1
CapaMent,Kirsan1980,-1
DemoTeam_2022,RodrigoMPereira,1
up1rly,shiko2211,-1
ANATOL-56,mo_ghaly12,1
Pankajcss23,Sakinoza,1
Gargyl,LOUISSBRINI,-1
NAVEEN_NAAZ,Kandan11,-1
Borja10,maroblesi,-1
nooch0198,Quegon104,-1
Ivan_IKS,jmanette411,1
staryyknight,balutkardhruv,1
champion1972010,lasker4548,1
braxton,Andre_region27,-1
Tamim_Ayon,dajohnny007,-1
BananaSonic,Ufeuff,-1
Rahul1620,Daviborges8,-1
BLACK_PANTER21,Mikkel789,1
AliiAyman,Hansl123,1
ABN1362,jorgerfernandez28,1
Pur4b,fight_club80,-1
ArdaChess123,IvanPavlovichYu,-1
kinghulio,zrfrance,-1
Nyx_fr,ARK1984,-1
Schachtiger_OH,Sureshwaran,1
schachperu,Atacante83,1
TS2013,avijitmidhya,1
bouddha2018,fischerxD,1
Rei_junior,gyodakyan,1
Kartikay0806,Haremhab,1
Alepuller,bepm,0
