user_id,user_op,game_result,blitz_rating,user_rating_deviation,user_blitz_total_games,user_best_win_1,user_best_win_2,user_best_win_3,white_win_rate,white_lose_rate,white_draw_rate,white_game_count,black_win_rate,black_lose_rate,black_draw_rate,black_game_count,top_eco,second_eco,top_winrate_eco,second_winrate_eco,mate_winrate,resign_winrate,time_winrate,mate_lossrate,resign_lossrate,time_lossrate,average_game_len
a_chess99,RascarKappa49,-1,1511.0,62.52,4236.0,1592.0,1587.0,1582.0,47.059,50.98,1.961,51.0,41.892,54.054,4.054,74.0,B01,B21,A07,C40,0.364,0.418,0.218,0.167,0.788,0.045,179.0
hahuczkij,ApeTss,1,2277.0,51.55,1358.0,2605.0,2576.0,2511.0,55.556,38.095,6.349,63.0,43.548,50.0,6.452,62.0,B23,B24,D90,C05,0.258,0.516,0.226,0.255,0.455,0.291,320.0
Franicozzo,Antonio_Policarpo,1,1810.0,45.03,24314.0,2101.0,2082.0,2070.0,51.613,41.935,6.452,62.0,44.444,52.381,3.175,63.0,C54,D43,A16,C43,0.083,0.6,0.283,0.153,0.746,0.102,331.0
yayuuuhhhh,,401,1500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KINGPRIOM,,401,1500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
skatki,Noory87,-1,1972.0,45.09,11525.0,2231.0,2220.0,2212.0,47.619,47.619,4.762,63.0,61.29,37.097,1.613,62.0,D01,A40,A80,A00,0.191,0.691,0.103,0.094,0.717,0.151,336.0
Guhas1000,Achuthegreat,-1,1542.0,59.75,294.0,1803.0,1799.0,1735.0,52.459,42.623,4.918,61.0,54.688,43.75,1.562,64.0,C58,B27,B30,B21,0.463,0.388,0.104,0.611,0.13,0.204,502.0
Nachiket_Paturkar,mara_zul,-1,1776.0,49.63,117.0,1971.0,1938.0,1938.0,44.262,49.18,6.557,61.0,57.812,40.625,1.562,64.0,nonStandard,D02,D51,B40,0.156,0.562,0.25,0.089,0.875,0.0,297.0
LeliPol,Sven4657,0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SampuHyde,Q1000,-1,1651.0,,,,,,41.935,46.774,11.29,62.0,50.794,47.619,1.587,63.0,C42,A45,C24,D01,0.069,0.603,0.293,0.712,0.203,0.085,540.0
MANDOMan13,ahmad1359,-1,1610.0,45.07,636.0,2354.0,2151.0,2130.0,43.333,51.667,5.0,60.0,35.385,61.538,3.077,65.0,nonStandard,B27,B50,A02,0.245,0.429,0.265,0.296,0.493,0.127,306.0
Dannyxr1,skrchessdelhi,1,1672.0,45.91,2817.0,2211.0,2186.0,2140.0,53.226,41.935,4.839,62.0,39.683,42.857,17.46,63.0,A45,D00,C21,B00,0.19,0.621,0.172,0.792,0.0,0.208,416.0
eduzor,Pm1909,1,1652.0,98.08,914.0,2329.0,2216.0,2174.0,50.769,35.385,13.846,65.0,46.667,46.667,6.667,60.0,C42,C50,A07,D01,0.361,0.393,0.213,0.451,0.392,0.137,330.0
FGpaxpYxis,BelkaBelai,0,1192.0,107.13,126.0,1277.0,1259.0,1257.0,53.846,36.923,9.231,65.0,63.333,28.333,8.333,60.0,C50,C44,C72,C22,0.479,0.397,0.123,0.366,0.561,0.049,318.0
kob3,jmoo,-1,1640.0,45.0,13712.0,2099.0,2044.0,2025.0,44.068,49.153,6.78,59.0,45.455,50.0,4.545,66.0,C42,B23,A04,A56,0.232,0.518,0.214,0.371,0.548,0.065,315.0
leethielemier,baselkhalil,-1,1821.0,45.0,18568.0,2103.0,2101.0,2065.0,56.452,41.935,1.613,62.0,47.619,50.794,1.587,63.0,C46,B10,A02,C41,0.323,0.431,0.215,0.172,0.707,0.103,213.0
Bashevkin7,castleking82,1,1418.0,45.16,4759.0,1631.0,1625.0,1613.0,54.839,43.548,1.613,62.0,41.27,52.381,6.349,63.0,C40,C50,A09,A41,0.217,0.517,0.267,0.25,0.617,0.133,387.0
pandaha50,,401,1500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dinocup,,401,1500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calipso1962,Capellannn,-1,1572.0,45.26,228.0,1864.0,1863.0,1785.0,45.312,54.688,0.0,64.0,45.902,50.82,3.279,61.0,A40,B12,A49,D04,0.281,0.561,0.158,0.303,0.379,0.273,257.0
kitski69,Casablanca2112,1,2094.0,45.35,670.0,2193.0,2189.0,2186.0,57.971,33.333,8.696,69.0,44.643,50.0,5.357,56.0,A02,B00,A01,B06,0.2,0.554,0.231,0.333,0.373,0.294,346.0
Mark140812,Napugayka,-1,1249.0,45.09,1818.0,1419.0,1376.0,1370.0,55.738,44.262,0.0,61.0,45.312,53.125,1.562,64.0,C34,C30,D08,B06,0.413,0.302,0.27,0.262,0.213,0.525,269.0
eLalcaravAn,Erreburundi,-1,1659.0,45.47,6843.0,2206.0,2135.0,2111.0,55.556,44.444,0.0,63.0,41.935,58.065,0.0,62.0,A40,D00,A00,C00,0.361,0.443,0.131,0.078,0.203,0.719,388.0
RadojeKrgovic,ton1_mahoni,1,1815.0,45.05,23409.0,2016.0,1989.0,1979.0,55.556,34.921,9.524,63.0,41.935,56.452,1.613,62.0,B01,C00,B33,B10,0.295,0.41,0.295,0.439,0.298,0.263,251.0
arifhaiqalazman,thrissurthadiyan,-1,1184.0,45.1,942.0,1790.0,1689.0,1672.0,40.323,59.677,0.0,62.0,49.206,49.206,1.587,63.0,B01,C34,nonStandard,A40,0.375,0.393,0.196,0.191,0.338,0.456,270.0
En_anjala_macha_ave,alinazavr,0,1537.0,45.03,2380.0,2218.0,1918.0,1905.0,57.377,34.426,8.197,61.0,43.75,50.0,6.25,64.0,C00,C23,C03,C62,0.206,0.46,0.286,0.509,0.226,0.226,250.0
Zenbty,zefazry,1,1652.0,45.36,5048.0,1712.0,1706.0,1698.0,63.934,36.066,0.0,61.0,53.125,46.875,0.0,64.0,B01,D01,A07,A41,0.329,0.342,0.26,0.288,0.577,0.096,222.0
KNelli,Luis-Imperator,0,1103.0,46.79,4331.0,2174.0,2132.0,2019.0,43.939,53.03,3.03,66.0,32.203,67.797,0.0,59.0,B00,C20,B27,B02,0.292,0.354,0.25,0.653,0.0,0.267,455.0
PassedPun,jachess01,0,1649.0,45.41,25938.0,2285.0,2280.0,2246.0,45.161,45.161,9.677,62.0,47.619,46.032,6.349,63.0,C00,D00,nonStandard,D02,0.293,0.448,0.207,0.035,0.263,0.684,263.0
Moonster,huayra36,0,2242.0,45.07,52997.0,2583.0,2537.0,2535.0,46.667,48.333,5.0,60.0,33.846,56.923,9.231,65.0,B23,A41,A04,A01,0.08,0.54,0.36,0.333,0.576,0.076,252.0
abeersharma24,ManthanMistry,1,1500.0,500.0,10.0,0.0,0.0,0.0,60.0,40.0,0.0,5.0,0.0,100.0,0.0,5.0,C47,C00,B00,C47,0.667,0.0,0.333,0.857,0.143,0.0,368.0
Chessmaker_18102009,SemenPuzyrevsky,-1,2521.0,50.47,3678.0,2902.0,2868.0,2837.0,67.742,24.194,8.065,62.0,49.206,38.095,12.698,63.0,B13,A01,C05,B51,0.233,0.685,0.082,0.077,0.667,0.205,222.0
tamneck,Limock,-1,875.0,204.91,150.0,0.0,0.0,0.0,33.333,61.667,5.0,60.0,33.846,60.0,6.154,65.0,A00,C20,A10,B00,0.905,0.095,0.0,0.75,0.171,0.079,180.0
CH-189,sibiryakz,-1,1400.0,45.11,6612.0,1498.0,1489.0,1477.0,58.73,38.095,3.175,63.0,64.516,24.194,11.29,62.0,C41,B01,C68,C65,0.208,0.545,0.117,0.333,0.538,0.128,542.0
Machinetr,chess_e_pinkman,1,1702.0,45.34,1638.0,1913.0,1898.0,1894.0,54.098,40.984,4.918,61.0,40.625,57.812,1.562,64.0,D02,B00,E61,A45,0.119,0.627,0.237,0.419,0.484,0.065,537.0
