user_id,op_id,game_result,op_win_rate,op_lose_rate,op_draw_rate,op_game_count,op_blitz_rating,op_white_win_rate,op_white_lose_rate,op_white_draw_rate,op_white_game_count,op_black_win_rate,op_black_lose_rate,op_black_draw_rate,op_black_game_count,op_top_eco,op_second_eco,op_top_winrate_eco,op_second_winrate_eco,op_mate_winrate,op_resign_winrate,op_time_winrate,op_mate_lossrate,op_resign_lossrate,op_time_lossrate,op_average_game_len,op_user_rating_deviation,op_user_blitz_total_games,op_user_best_win_1,op_user_best_win_2,op_user_best_win_3
Mark_Levitin,evaristom,1,20.0,80.0,0.0,100.0,1314.0,54.098,39.344,6.557,61.0,54.688,40.625,4.688,64.0,C34,C30,C41,C55,0.574,0.221,0.176,0.28,0.14,0.56,305.0,49.53,880.0,2043.0,1913.0,1912.0
NafsSays,Yuehdddhjcjddp,-1,52.0,43.0,5.0,100.0,1615.0,53.333,43.333,3.333,60.0,47.692,49.231,3.077,65.0,B22,C41,B21,A01,0.206,0.651,0.111,0.172,0.466,0.362,231.0,45.11,341.0,1727.0,1689.0,1677.0
Reubenferns07,JeremTh,-1,41.0,56.0,2.0,100.0,1083.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,3.0,C42,A41,C42,A41,0.0,0.0,0.0,0.667,0.0,0.0,261.0,190.33,3.0,0.0,0.0,0.0
torrentgirl,White_lyt,-1,53.0,44.0,3.0,100.0,940.0,45.763,47.458,6.78,59.0,36.364,56.061,7.576,66.0,C40,A10,B18,A41,0.275,0.412,0.255,0.246,0.677,0.046,276.0,63.75,3127.0,1379.0,1366.0,1359.0
kingsgambit8,PlatonChess18,1,37.0,60.0,3.0,100.0,1761.0,59.091,36.364,4.545,22.0,55.0,40.0,5.0,20.0,D02,D05,D05,A25,0.417,0.458,0.125,0.0,0.75,0.25,144.0,131.36,47.0,2184.0,1978.0,1879.0
victormatrix1983,Genvisha,1,64.0,30.0,6.0,100.0,1484.0,50.0,48.485,1.515,66.0,44.068,55.932,0.0,59.0,B10,B01,B54,C56,0.254,0.492,0.237,0.231,0.431,0.277,357.0,57.91,16745.0,2051.0,1832.0,1829.0
AMRULLAH_CKT,,401,0.0,0.0,0.0,0.0,1500.0,59.322,27.119,13.559,59.0,63.636,28.788,7.576,66.0,B40,B12,C92,C64,0.078,0.675,0.234,0.114,0.514,0.371,349.0,116.42,249.0,2596.0,2511.0,2469.0
rigby002,,401,0.0,0.0,0.0,0.0,1500.0,45.0,51.667,3.333,60.0,44.615,55.385,0.0,65.0,A40,D00,B08,A45,0.393,0.304,0.232,0.164,0.612,0.194,313.0,75.53,188.0,1454.0,1446.0,1443.0
shivakshi31,Kevleen,1,52.0,36.0,10.0,57.0,1404.0,44.643,50.0,5.357,56.0,33.333,57.971,8.696,69.0,D00,D02,B06,B23,0.333,0.417,0.188,0.441,0.441,0.103,377.0,66.44,289.0,1722.0,1608.0,1585.0
ashhu59,sagarjaink,-1,54.0,45.0,1.0,100.0,1498.0,37.5,59.375,3.125,64.0,45.902,50.82,3.279,61.0,B00,A40,A43,B22,0.115,0.615,0.25,0.174,0.594,0.217,372.0,46.23,8812.0,1970.0,1942.0,1920.0
von-blutcher,Thalamas,-1,47.0,51.0,2.0,100.0,1121.0,0.0,100.0,0.0,2.0,0.0,100.0,0.0,4.0,B02,C30,B02,C30,0.0,0.0,0.0,0.5,0.5,0.0,265.0,230.81,6.0,0.0,0.0,0.0
shaltaiboltai1,Szafurski,1,47.0,51.0,2.0,100.0,991.0,57.895,39.474,2.632,38.0,43.59,56.41,0.0,39.0,B10,B12,B30,C26,0.333,0.564,0.077,0.216,0.73,0.0,393.0,65.87,77.0,1169.0,1124.0,1115.0
siwalej,JD2024,1,62.0,36.0,2.0,100.0,1275.0,45.902,49.18,4.918,61.0,37.5,57.812,4.688,64.0,B00,B01,A82,B21,0.308,0.481,0.192,0.194,0.09,0.701,312.0,45.12,7809.0,2310.0,2261.0,2239.0
ilicm,Burrisvyviibu,-1,49.0,49.0,2.0,100.0,1722.0,55.224,40.299,4.478,67.0,32.759,56.897,10.345,58.0,C41,C25,B32,D30,0.268,0.518,0.196,0.65,0.267,0.067,418.0,69.4,5295.0,1957.0,1933.0,1933.0
PinkPawn2013,CheckMete,-1,51.0,49.0,0.0,100.0,1349.0,33.333,66.667,0.0,3.0,25.0,25.0,50.0,4.0,D02,C29,C29,B01,0.5,0.0,0.5,1.0,0.0,0.0,566.0,136.09,7.0,0.0,0.0,0.0
DirecToramk,Nschuen,-1,49.0,49.0,2.0,100.0,1766.0,64.062,29.688,6.25,64.0,40.984,55.738,3.279,61.0,C50,B30,C44,B07,0.258,0.485,0.227,0.208,0.566,0.226,247.0,52.69,147.0,1866.0,1852.0,1819.0
nurdjani,Zancre5,1,41.0,52.0,7.0,100.0,1835.0,57.377,36.066,6.557,61.0,32.812,65.625,1.562,64.0,A40,D30,A43,B40,0.214,0.482,0.268,0.328,0.266,0.406,493.0,55.95,408.0,2143.0,2013.0,1974.0
Alberto_1234_Ugarte,mergaly,1,54.0,45.0,1.0,100.0,1047.0,56.452,43.548,0.0,62.0,46.032,53.968,0.0,63.0,D02,A40,C00,C34,0.359,0.516,0.094,0.148,0.279,0.525,341.0,56.53,1961.0,1393.0,1373.0,1366.0
Zeddex,RG1910,1,42.0,51.0,7.0,100.0,1523.0,59.322,35.593,5.085,59.0,46.97,51.515,1.515,66.0,B00,A04,A43,A03,0.242,0.515,0.182,0.382,0.545,0.073,379.0,78.56,227.0,1684.0,1679.0,1671.0
PHANTOM13,operatorerror,-1,47.0,51.0,2.0,100.0,1337.0,0.0,100.0,0.0,1.0,0.0,66.667,33.333,3.0,D20,C23,D20,C23,0.0,0.0,0.0,1.0,0.0,0.0,557.0,269.02,4.0,0.0,0.0,0.0
ps75757,Sunisi,1,41.0,46.0,13.0,100.0,1669.0,57.576,39.394,3.03,66.0,38.983,59.322,1.695,59.0,C00,C44,C40,B19,0.311,0.508,0.131,0.41,0.508,0.066,330.0,53.57,3894.0,1879.0,1877.0,1847.0
Mr_Not_So_Great,RichardMat,-1,53.0,44.0,3.0,100.0,1445.0,46.269,47.761,5.97,67.0,44.828,50.0,5.172,58.0,D00,D02,A43,A46,0.263,0.491,0.193,0.197,0.525,0.279,412.0,90.48,3398.0,1751.0,1735.0,1728.0
