user_id,win_rate,lose_rate,draw_rate,game_count,blitz_rating,rating_bin,white_win_rate,white_lose_rate,white_draw_rate,white_game_count,black_win_rate,black_lose_rate,black_draw_rate,black_game_count,top_eco,second_eco,top_winrate_eco,second_winrate_eco,mate_winrate,resign_winrate,time_winrate,mate_lossrate,resign_lossrate,time_lossrate,average_game_len
Ilichrich,52.0,47.0,1.0,100.0,1679.0,1660-1679,49.18,49.18,1.639,61.0,56.25,42.188,1.562,64.0,B00,A40,E60,A43,0.273,0.394,0.258,0.105,0.421,0.474,416.0
baguioasafriend,66.0,33.0,0.0,9.0,2142.0,2140-2159,43.75,45.312,10.938,64.0,29.508,62.295,8.197,61.0,A04,C10,A10,B08,0.217,0.457,0.283,0.09,0.836,0.075,357.0
svetly79,49.0,49.0,2.0,100.0,1593.0,1580-1599,50.0,43.548,6.452,62.0,57.143,38.095,4.762,63.0,A01,B00,B06,A04,0.224,0.537,0.239,0.627,0.235,0.098,221.0
TutankamonXXX,34.0,61.0,5.0,100.0,2256.0,2240-2259,42.857,53.968,3.175,63.0,37.097,61.29,1.613,62.0,B50,D02,A08,D64,0.14,0.66,0.18,0.042,0.472,0.486,281.0
OncleSi,100.0,0.0,0.0,3.0,1500.0,1480-1499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clark1994,47.0,49.0,4.0,100.0,1379.0,1360-1379,42.188,48.438,9.375,64.0,40.984,52.459,6.557,61.0,C00,C02,A00,D30,0.327,0.423,0.212,0.397,0.571,0.016,356.0
RealMaxie,41.0,59.0,0.0,100.0,1338.0,1320-1339,44.118,51.471,4.412,68.0,38.596,61.404,0.0,57.0,A04,C44,C41,A41,0.404,0.404,0.154,0.129,0.414,0.414,272.0
Nunofurbizniz,0.0,100.0,0.0,3.0,1143.0,1140-1159,0.0,100.0,0.0,1.0,0.0,100.0,0.0,2.0,D02,E60,D02,E60,0.0,0.0,0.0,0.0,0.0,1.0,678.0
KhabirKhan,52.0,42.0,6.0,100.0,1683.0,1680-1699,48.485,42.424,9.091,66.0,47.458,50.847,1.695,59.0,A04,D02,D01,B21,0.25,0.433,0.283,0.31,0.69,0.0,350.0
blackjakson,0.0,0.0,100.0,3.0,1147.0,1140-1159,0.0,0.0,100.0,1.0,0.0,100.0,0.0,1.0,C40,B00,C40,B00,0.0,0.0,0.0,1.0,0.0,0.0,339.0
zwizenzug69,46.0,48.0,6.0,100.0,1843.0,1840-1859,40.625,56.25,3.125,64.0,40.984,55.738,3.279,61.0,B13,D02,A15,E51,0.294,0.51,0.196,0.229,0.171,0.6,273.0
iamawk,50.0,47.0,3.0,100.0,1514.0,1500-1519,47.541,44.262,8.197,61.0,40.625,56.25,3.125,64.0,C44,C62,D00,A00,0.127,0.709,0.164,0.222,0.778,0.0,306.0
manish606,47.0,50.0,3.0,100.0,1009.0,1000-1019,44.231,53.846,1.923,52.0,50.0,48.0,2.0,50.0,D00,B06,C20,A48,0.333,0.333,0.25,0.135,0.115,0.712,604.0
palasara,100.0,0.0,0.0,3.0,1869.0,1860-1879,41.791,49.254,8.955,67.0,41.379,51.724,6.897,58.0,B01,C50,A60,A51,0.115,0.596,0.288,0.079,0.476,0.444,446.0
overhet00,0.0,100.0,0.0,3.0,989.0,980-999,0.0,100.0,0.0,7.0,33.333,66.667,0.0,3.0,A40,D02,A40,D02,0.0,0.0,1.0,0.333,0.556,0.0,388.0
