user_op,game_result,op_win_rate,op_lose_rate,op_draw_rate,op_game_count
Reinaldo_A,0,57.0,36.0,6.0,100.0
Dr_Mustafa2024,0,38.0,57.0,4.0,92.0
TRONz,-1,52.0,46.0,2.0,100.0
Dimasrestu,1,0.0,0.0,0.0,0.0
VoxBlunder,-1,53.0,47.0,0.0,100.0
chessinthailand,1,0.0,0.0,0.0,0.0
martttouille,1,0.0,0.0,0.0,0.0
powersas,-1,40.0,60.0,0.0,30.0
ilyasersoyy,1,33.0,66.0,0.0,18.0
roran211,1,46.0,51.0,3.0,100.0
Hlastooo27,1,52.0,43.0,5.0,100.0
tank209209,1,50.0,50.0,0.0,24.0
FeCampos,-1,49.0,48.0,3.0,100.0
,401,0.0,0.0,0.0,0.0
,401,0.0,0.0,0.0,0.0
Vassvik,1,72.0,16.0,11.0,54.0
zabiholahkeymasi,1,45.0,50.0,5.0,100.0
CristianReyes23,-1,53.0,43.0,4.0,100.0
WWJCD,-1,0.0,0.0,0.0,0.0
Valentin1567,1,0.0,0.0,0.0,0.0
cuidalareina,1,50.0,48.0,2.0,100.0
Just_me_and_my_cat,-1,50.0,40.0,9.0,66.0
Taylo2,1,45.0,51.0,4.0,100.0
cheetaz,1,47.0,46.0,7.0,100.0
ashassan99,1,36.0,59.0,5.0,100.0
amparito,-1,46.0,46.0,6.0,45.0
senanu,-1,0.0,0.0,0.0,0.0
charris36,1,50.0,48.0,2.0,100.0
bellywound,-1,0.0,0.0,0.0,0.0
simonfuria,-1,46.0,46.0,8.0,100.0
digicus,-1,0.0,0.0,0.0,0.0
bridgeybridge,1,34.0,63.0,3.0,100.0
MarkFedotov13,-1,40.0,47.0,13.0,100.0
lili1918,-1,20.0,80.0,0.0,15.0
Bulykina,-1,0.0,0.0,0.0,0.0
FoodTrucker,-1,100.0,0.0,0.0,6.0
acam2497,-1,75.0,25.0,0.0,12.0
RicardoChibia,-1,50.0,45.0,5.0,100.0
Liminali,0,26.0,70.0,3.0,90.0
arfaria,1,45.0,50.0,5.0,100.0
PS-sh,0,43.0,51.0,6.0,100.0
eindhoven111,1,54.0,39.0,7.0,100.0
magalesburg,-1,0.0,0.0,0.0,0.0
amr_atwan66,-1,48.0,48.0,4.0,100.0
lightsoutknightsout,-1,80.0,20.0,0.0,15.0
,401,0.0,0.0,0.0,0.0
,401,0.0,0.0,0.0,0.0
Voara21,-1,46.0,53.0,0.0,39.0
nachtfalke1,-1,56.0,39.0,5.0,100.0
Lundaa,1,0.0,0.0,0.0,0.0
Hamabavan,-1,42.0,53.0,5.0,100.0
BlunderThunder80,0,51.0,45.0,4.0,100.0
rujhgtt,-1,49.0,43.0,8.0,100.0
VerSalieri,1,50.0,45.0,5.0,100.0
nebidia,-1,44.0,48.0,8.0,100.0
Abu_fares1964,1,0.0,0.0,0.0,0.0
vahdatt10,0,0.0,0.0,0.0,0.0
AbhinavaP,1,61.0,31.0,8.0,100.0
OldPadawan,-1,0.0,0.0,0.0,0.0
GoingToTheBathroom,-1,51.0,44.0,5.0,100.0
lilikakas,1,0.0,100.0,0.0,3.0
husseinalhussein,1,51.0,44.0,5.0,100.0
BloodDeep,-1,48.0,48.0,4.0,100.0
Suisse_Cheese,-1,0.0,0.0,0.0,0.0
god20kermanshah19,-1,0.0,0.0,0.0,0.0
Leunarm,0,52.0,38.0,10.0,100.0
ShawnLince,1,55.0,44.0,1.0,100.0
Pickwick33,1,0.0,100.0,0.0,3.0
Deva61,-1,53.0,42.0,5.0,100.0
rafaeruxd,-1,46.0,50.0,4.0,100.0
milanoskunk,1,45.0,52.0,3.0,100.0
manuel_narvaez,-1,50.0,50.0,0.0,100.0
pomo007,1,44.0,52.0,4.0,100.0
,401,0.0,0.0,0.0,0.0
,401,0.0,0.0,0.0,0.0
Kulturbanause,1,43.0,54.0,3.0,100.0
Gromozekaaaaaa,-1,54.0,43.0,3.0,100.0
Shushu1014,-1,0.0,80.0,20.0,15.0
EdgarArruda,-1,46.0,54.0,0.0,100.0
Ripoff772,-1,0.0,0.0,0.0,0.0
Kayakoray,-1,54.0,42.0,4.0,100.0
cikaGoran,1,42.0,53.0,5.0,100.0
kolotun1,-1,48.0,51.0,1.0,100.0
dijanadjordjevic,1,0.0,0.0,0.0,0.0
Bhaaradwaaj,1,100.0,0.0,0.0,6.0
car1itooo,1,0.0,100.0,0.0,4.0
mogensolsen,-1,44.0,53.0,3.0,100.0
TomaszR,1,0.0,0.0,0.0,0.0
astairerogers,1,0.0,0.0,0.0,0.0
ElGatoMueveUnaPieza,-1,40.0,60.0,0.0,15.0
MIGUELITROS021809,-1,55.0,43.0,2.0,100.0
Shoyabkhan171,-1,42.0,57.0,0.0,35.0
David-Torres,0,46.0,40.0,14.0,100.0
ItDoesntMakeYouSmart,1,43.0,54.0,3.0,100.0
Monchi,1,59.0,40.0,1.0,100.0
electricmind,-1,100.0,0.0,0.0,6.0
SamBott67,-1,20.0,80.0,0.0,15.0
fatdiego,-1,34.0,60.0,6.0,100.0
nidhiratnakarpote,-1,69.0,26.0,5.0,100.0
Sergei_1976,-1,52.0,46.0,2.0,100.0
makalenko87,1,51.0,47.0,2.0,100.0
psadawartwale,-1,0.0,0.0,0.0,0.0
Jakgambit,1,0.0,0.0,0.0,0.0
Falah2030,-1,48.0,51.0,1.0,100.0
KerwinYeo,-1,0.0,0.0,0.0,0.0
RayKu2005,-1,45.0,48.0,7.0,100.0
Dman1974,1,47.0,52.0,1.0,100.0
AnatoliyRakitin,-1,0.0,0.0,0.0,0.0
mandrakke64,1,47.0,51.0,2.0,100.0
JamesTheChessHead,-1,53.0,41.0,6.0,100.0
marcopoly,-1,48.0,51.0,1.0,100.0
mbegazo,1,0.0,0.0,0.0,0.0
Chesvas,1,53.0,47.0,0.0,100.0
ChiefStyles,1,50.0,49.0,1.0,100.0
MarcinKempski,-1,45.0,55.0,0.0,100.0
Sidonio,1,0.0,0.0,0.0,0.0
Randeephudda,-1,63.0,35.0,2.0,100.0
alexics,-1,51.0,40.0,9.0,100.0
kingslayer9083,1,54.0,44.0,2.0,100.0
Manakgupta,1,46.0,49.0,5.0,100.0
taolang32123,1,14.0,85.0,0.0,7.0
Caseifer,-1,49.0,49.0,2.0,100.0
Ghost_Gopal_Varma,-1,50.0,33.0,16.0,18.0
paul_kersey_013,-1,0.0,0.0,0.0,0.0
dzen_keeper,-1,33.0,66.0,0.0,9.0
rdiatale,-1,50.0,42.0,8.0,100.0
unisjam,-1,46.0,52.0,2.0,100.0
KonShoh,1,0.0,0.0,0.0,0.0
Lucifer-7,-1,63.0,23.0,14.0,100.0
VaSab,-1,38.0,60.0,2.0,100.0
Agent968,1,47.0,46.0,7.0,100.0
Ewueiy,0,48.0,47.0,5.0,100.0
IvanLuminaria,-1,60.0,37.0,3.0,100.0
AlexDC,-1,74.0,23.0,3.0,100.0
TheAnalog,-1,45.0,41.0,12.0,93.0
Alex4345345,1,43.0,50.0,7.0,100.0
KyrgyzPrince,-1,50.0,50.0,0.0,42.0
dhrit1569,1,48.0,49.0,3.0,100.0
Sarcophilus,-1,33.0,67.0,0.0,100.0
Tonifox,-1,60.0,35.0,5.0,100.0
Dexter_Morgan01,1,48.0,50.0,2.0,100.0
MrMgrn,-1,50.0,47.0,3.0,100.0
JaydenY,-1,50.0,46.0,4.0,100.0
Gucio1954,-1,0.0,0.0,0.0,0.0
klogomega,-1,45.0,43.0,12.0,100.0
Merutay,-1,53.0,47.0,0.0,100.0
Hechicer0,-1,0.0,0.0,0.0,0.0
Kourou1000,1,48.0,49.0,3.0,100.0
emirerhan,1,49.0,49.0,2.0,100.0
vinchnz,-1,47.0,44.0,9.0,100.0
Uynaj,1,15.0,83.0,2.0,100.0
L1309,-1,0.0,0.0,0.0,0.0
tonyjjose,1,0.0,0.0,0.0,0.0
SirCumvent,-1,48.0,50.0,2.0,100.0
MarioCandado,-1,38.0,54.0,8.0,100.0
fjaka02,1,45.0,47.0,8.0,100.0
Kingmaster79,1,41.0,56.0,3.0,100.0
KaraLenko,1,47.0,49.0,4.0,100.0
AmorDeSiMismo,1,0.0,0.0,0.0,0.0
condestavel123,-1,41.0,56.0,3.0,100.0
Marchenko_T,0,39.0,42.0,19.0,100.0
Hugoreymisterio,1,36.0,59.0,5.0,100.0
sangzuala-solo,1,56.0,44.0,0.0,100.0
phumitoks,1,0.0,0.0,0.0,0.0
Gleb-63,1,60.0,40.0,0.0,15.0
bhbhbhbhbh,-1,0.0,0.0,0.0,0.0
adamooooo,-1,44.0,52.0,4.0,100.0
Ahmed_1983,-1,49.0,46.0,5.0,100.0
Oleg-derkach-67,0,0.0,0.0,0.0,0.0
gerapi,-1,50.0,46.0,4.0,100.0
anperovi,-1,49.0,45.0,6.0,100.0
iett,-1,56.0,40.0,4.0,100.0
,401,0.0,0.0,0.0,0.0
,401,0.0,0.0,0.0,0.0
Panchito0O,1,45.0,49.0,6.0,100.0
dr_Mohamed_youssef,1,8.0,66.0,25.0,36.0
Medinavibess,1,48.0,51.0,1.0,100.0
Eifelspieler,-1,82.0,14.0,4.0,100.0
puestoma,-1,0.0,0.0,0.0,0.0
vekku,1,33.0,65.0,2.0,100.0
ICH59,-1,46.0,51.0,3.0,100.0
agus123alien,-1,39.0,57.0,3.0,100.0
Gioias,1,46.0,50.0,4.0,100.0
Bdanova_Gulbanu,1,66.0,33.0,0.0,9.0
kapvarovsky_2197,-1,58.0,34.0,6.0,87.0
Kartsen,1,48.0,49.0,3.0,100.0
arouraa,-1,0.0,0.0,0.0,0.0
mahirtiryaki,-1,0.0,0.0,0.0,0.0
Kareem_scaccus,1,50.0,47.0,3.0,100.0
ahad489,-1,48.0,46.0,6.0,100.0
LordBrettSinclair,-1,42.0,50.0,7.0,42.0
Blundermaster34,-1,0.0,0.0,0.0,0.0
choochi,-1,0.0,0.0,0.0,0.0
CitizenShane23,1,51.0,48.0,1.0,100.0
kostya38ru,-1,51.0,47.0,2.0,100.0
Sergei_ZSV,-1,54.0,46.0,0.0,100.0
Kamal766542,-1,50.0,46.0,4.0,100.0
Gracitano01,1,47.0,49.0,4.0,100.0
Feofanov_Vladimir,1,22.0,70.0,7.0,81.0
Janbijo,1,0.0,0.0,0.0,0.0
sram347,1,0.0,100.0,0.0,3.0
YoungBoyJB,-1,46.0,52.0,2.0,100.0
Nawras-93,1,30.0,68.0,2.0,100.0
matio777,1,56.0,41.0,3.0,100.0
DamdinD,-1,32.0,59.0,9.0,100.0
isnailsahin,-1,55.0,43.0,2.0,100.0
jesuisqueasy,-1,47.0,49.0,4.0,100.0
SirElvince,1,44.0,50.0,6.0,100.0
jerryp2010,1,45.0,52.0,3.0,100.0
RomanB_astard,-1,32.0,67.0,0.0,84.0
lepionfou77,-1,0.0,0.0,0.0,0.0
hillway,-1,0.0,0.0,0.0,0.0
jedechec,1,0.0,0.0,0.0,0.0
VladimirRei,-1,45.0,55.0,0.0,100.0
ShamsZ,1,48.0,51.0,1.0,100.0
Jwjesq,-1,54.0,42.0,4.0,100.0
meow-thew,0,30.0,60.0,10.0,30.0
christopherus1,-1,49.0,45.0,6.0,100.0
juandelavilla50,-1,37.0,62.0,1.0,100.0
cheszmikez,1,47.0,53.0,0.0,100.0
Rem11,1,51.0,43.0,6.0,100.0
rolfus4711,1,0.0,0.0,0.0,0.0
Botinoc,1,49.0,49.0,2.0,100.0
ebi1553,1,34.0,60.0,6.0,100.0
spiritualwarrior,1,51.0,43.0,6.0,100.0
os_ma_ja_vi,1,70.0,25.0,4.0,48.0
mchokozi,-1,0.0,0.0,0.0,0.0
ShadownBR,-1,0.0,0.0,0.0,0.0
TunisierZoldat,-1,42.0,57.0,0.0,21.0
Whois27,1,43.0,56.0,0.0,44.0
BeratYellow,1,0.0,0.0,0.0,0.0
hanzz441123,1,46.0,38.0,15.0,13.0
The_Black_Dow,-1,62.0,37.0,0.0,81.0
luckmore,-1,44.0,48.0,8.0,100.0
Bonkitmob,1,66.0,33.0,0.0,99.0
KCAS1000W,1,27.0,71.0,2.0,100.0
eng_issa_alhomran,1,42.0,56.0,2.0,100.0
Oh_Hopla,-1,46.0,52.0,2.0,100.0
ramieng,-1,48.0,50.0,2.0,100.0
Mahmoud_Abdulrahman,1,51.0,43.0,6.0,100.0
Beoing737,-1,100.0,0.0,0.0,3.0
UncongenialAlpaca,-1,0.0,0.0,0.0,0.0
ilhanbasaydin,-1,43.0,49.0,8.0,100.0
jojolas,-1,44.0,50.0,6.0,100.0
Mario-Odyssey,-1,0.0,0.0,0.0,0.0
Barrerass,-1,65.0,31.0,4.0,100.0
teardrop_eng,-1,35.0,61.0,4.0,100.0
roooooooooot,-1,40.0,60.0,0.0,60.0
LionelCarter,-1,45.0,55.0,0.0,100.0
milenko011,-1,49.0,49.0,2.0,100.0
FRAMARO,-1,50.0,48.0,2.0,100.0
AquirezaFistro,1,0.0,0.0,0.0,0.0
KleoKrings,0,0.0,0.0,0.0,0.0
G4lvezLuciano,0,57.0,40.0,2.0,100.0
lichtdesdunkeln,-1,56.0,39.0,5.0,100.0
keezy13,1,45.0,50.0,5.0,100.0
Shadhus,-1,0.0,0.0,0.0,0.0
othm,-1,24.0,72.0,4.0,100.0
KingBongs,-1,37.0,62.0,0.0,24.0
peaozinho,-1,50.0,25.0,25.0,12.0
AruniThanuja,-1,50.0,50.0,0.0,16.0
vasanthkpm,-1,0.0,0.0,0.0,0.0
TeamChess2024,-1,56.0,38.0,5.0,100.0
almoqbali00,-1,53.0,41.0,6.0,100.0
boyblunder,-1,44.0,53.0,3.0,100.0
FJavier58,1,0.0,0.0,0.0,0.0
Tukran,-1,40.0,45.0,15.0,100.0
Superciuk99,1,41.0,58.0,0.0,36.0
brito105,0,48.0,47.0,5.0,100.0
Dmitry_Shubin,-1,0.0,0.0,0.0,0.0
M_ohamed03,1,0.0,0.0,0.0,0.0
LicaonesS,1,0.0,0.0,0.0,0.0
Chessbiel1512,-1,45.0,54.0,1.0,100.0
holgado66,1,0.0,0.0,0.0,0.0
vasya196218,-1,50.0,50.0,0.0,100.0
Crusheroni_Squad,-1,60.0,40.0,0.0,15.0
Cesar-Moreno,1,0.0,0.0,0.0,0.0
rm-22,1,64.0,28.0,8.0,100.0
bencerino,-1,47.0,50.0,3.0,100.0
felipelourencojr,1,49.0,47.0,4.0,100.0
PeacefulOlivia,1,27.0,70.0,2.0,70.0
indumdereye,0,30.0,60.0,10.0,100.0
IBRAHIM830,-1,47.0,48.0,5.0,100.0
