user_op,op_win_streak_current,op_win_streak_max,op_loss_streak_current,op_loss_streak_max
Gajendraverma11,0.0,7.0,1.0,8.0
XADREZINHO-62,0.0,10.0,2.0,11.0
ays012,0.0,4.0,2.0,6.0
stane60,0.0,12.0,3.0,39.0
ajedreado,0.0,15.0,2.0,10.0
wow_itsreal_nazz,0.0,17.0,2.0,11.0
,0.0,0.0,0.0,0.0
max_zorn,2.0,18.0,0.0,9.0
rockerthanu,0.0,4.0,2.0,11.0
submaps,4.0,9.0,0.0,9.0
CampeonMundial,0.0,12.0,1.0,14.0
PanPeterman,2.0,10.0,0.0,10.0
SubsequentDamage,0.0,5.0,0.0,6.0
kolbox68YT,0.0,9.0,1.0,12.0
Walent2005,1.0,9.0,0.0,11.0
ayuob48,3.0,11.0,0.0,7.0
DEULINXII,0.0,11.0,1.0,10.0
Deltha_Meister,0.0,11.0,2.0,9.0
classicocg,1.0,10.0,0.0,14.0
Lambis_Kaltsarov,2.0,11.0,0.0,7.0
i_am_not_d_devil,0.0,13.0,6.0,14.0
CRYIVME,1.0,9.0,0.0,7.0
David_P0,1.0,10.0,0.0,12.0
PharaohBob,0.0,2.0,1.0,2.0
LocoPineapple,0.0,4.0,2.0,6.0
OgSnkrbbb,0.0,9.0,2.0,12.0
hrtr87,3.0,11.0,0.0,12.0
Tima1988,1.0,13.0,0.0,15.0
Marcotel,0.0,10.0,0.0,10.0
Suresh_NLR,1.0,9.0,0.0,8.0
papito0423,0.0,14.0,1.0,23.0
Enzo9,0.0,12.0,3.0,22.0
waits05,0.0,14.0,2.0,13.0
kser107,1.0,5.0,0.0,4.0
Enderkira73,2.0,9.0,0.0,10.0
tablasnomasbusco,1.0,11.0,0.0,12.0
ZB-UmutTasan,0.0,15.0,1.0,9.0
Mucil78,1.0,12.0,0.0,10.0
BigClav,0.0,11.0,1.0,26.0
ANASBARAKA1,0.0,8.0,3.0,13.0
Black-Taxon,1.0,9.0,0.0,8.0
Niquencio,2.0,10.0,0.0,11.0
flipboywonder,1.0,8.0,0.0,8.0
SpoxySweedy,2.0,5.0,0.0,5.0
RIDHO88-MCS,0.0,8.0,4.0,16.0
Washamama23,0.0,7.0,3.0,9.0
MrFurkan7,3.0,12.0,0.0,10.0
bharath_71,0.0,2.0,3.0,3.0
Adrianov89,0.0,8.0,3.0,11.0
Pere_Fouettard,1.0,21.0,0.0,8.0
Amiroya,0.0,12.0,1.0,11.0
ABC99999999,1.0,12.0,0.0,4.0
Botchokoyy,1.0,9.0,0.0,8.0
Timur_Teregulov_988,0.0,11.0,3.0,11.0
Raehgalchess,1.0,6.0,0.0,4.0
efdetonator,0.0,10.0,8.0,9.0
chessfire2020,0.0,12.0,2.0,12.0
javi28,0.0,11.0,1.0,11.0
Palych,4.0,11.0,0.0,11.0
Mr_3Rai3,0.0,10.0,1.0,9.0
rodf,0.0,12.0,2.0,13.0
gogoLR,1.0,15.0,0.0,13.0
Gabriel_JSSz,0.0,6.0,1.0,6.0
kenfromconnecticut,2.0,2.0,0.0,6.0
Qadizano,,,,
josorianosos,0.0,7.0,1.0,6.0
lasantacruz,2.0,9.0,0.0,4.0
Diaco80,3.0,12.0,0.0,8.0
AI_developer,1.0,14.0,0.0,18.0
YASER97,0.0,10.0,1.0,10.0
AE60,0.0,12.0,1.0,15.0
NateBrady23,3.0,11.0,0.0,9.0
aiftw,0.0,11.0,3.0,11.0
kian_atlasbaf,0.0,4.0,2.0,2.0
Tereza9393,0.0,17.0,1.0,12.0
depp24,7.0,7.0,0.0,6.0
Misterflow,0.0,14.0,3.0,14.0
Harut69,2.0,14.0,0.0,20.0
vittomatin,0.0,4.0,1.0,5.0
sharkattack77,0.0,10.0,2.0,8.0
,0.0,0.0,0.0,0.0
z2daj,0.0,8.0,3.0,9.0
sureaca,2.0,12.0,0.0,14.0
Gibi2000,0.0,9.0,3.0,12.0
Mchessboy,0.0,8.0,3.0,8.0
ECHOS99,1.0,11.0,0.0,17.0
suspens2,0.0,16.0,4.0,13.0
my_slogan,1.0,5.0,0.0,7.0
AntonHolodoff,0.0,12.0,2.0,10.0
Peter30102014,2.0,6.0,0.0,14.0
Sisimo,3.0,11.0,0.0,13.0
ImaRandomBot,1.0,6.0,0.0,10.0
ElPepon,0.0,16.0,1.0,9.0
nelsonleonardoflores,4.0,10.0,0.0,14.0
Zvonimir_Prvi,0.0,9.0,4.0,11.0
hwz0102,0.0,11.0,0.0,12.0
tordo29,1.0,7.0,0.0,5.0
Reda-ivanshik,0.0,14.0,1.0,13.0
Kasmbenice,0.0,8.0,4.0,7.0
tilin-insano,10.0,10.0,0.0,1.0
skandinav,1.0,13.0,0.0,13.0
king_Richie,2.0,13.0,0.0,13.0
Edilberto123,0.0,5.0,1.0,7.0
GilSouza75,0.0,7.0,0.0,7.0
Bryand_Rouille,2.0,9.0,0.0,11.0
nikkramnik_1943,0.0,11.0,4.0,10.0
EXB8612,0.0,6.0,3.0,8.0
kazerelvis,1.0,13.0,0.0,12.0
aban777,0.0,12.0,1.0,24.0
GlobalChessArena,0.0,10.0,1.0,11.0
whinz01,4.0,4.0,0.0,6.0
Labibe,1.0,10.0,0.0,11.0
AlexandrG_1977,2.0,8.0,0.0,18.0
mytsvK,1.0,4.0,0.0,3.0
ibrahm1907,1.0,11.0,0.0,10.0
theglob,0.0,7.0,1.0,7.0
Kadirkuscul,0.0,6.0,1.0,9.0
KanishkSablania,1.0,10.0,0.0,9.0
adpinto93,3.0,8.0,0.0,9.0
alok_sharma,0.0,15.0,1.0,9.0
alimersyside,0.0,9.0,2.0,11.0
NeunZehnHundert,1.0,12.0,0.0,16.0
dennisTheM3nace,0.0,13.0,0.0,15.0
black_caruana,0.0,9.0,1.0,8.0
kopol7,1.0,12.0,0.0,11.0
CD38,0.0,14.0,3.0,15.0
cizinec88,3.0,9.0,0.0,9.0
VeSS78,0.0,6.0,3.0,10.0
pollovsky,0.0,27.0,0.0,14.0
ipung_017,0.0,8.0,1.0,9.0
Shclangeschwarz,2.0,16.0,0.0,10.0
yener999,0.0,12.0,2.0,10.0
Duchmuch,1.0,7.0,0.0,9.0
Joluneg,0.0,12.0,1.0,11.0
masri52,1.0,13.0,0.0,19.0
Stevehola,2.0,13.0,0.0,15.0
HincyRP,1.0,5.0,0.0,8.0
Feli_Jan,1.0,12.0,0.0,14.0
ArnarDark,0.0,4.0,1.0,9.0
SplitCop007,0.0,15.0,3.0,11.0
cassiuscain,0.0,7.0,2.0,12.0
Sakripanzer,3.0,8.0,0.0,8.0
tilin-insano,10.0,10.0,0.0,1.0
Manuelgilr,1.0,9.0,0.0,7.0
tlegrand,0.0,9.0,1.0,8.0
Luxanark,0.0,14.0,3.0,18.0
manron77,0.0,11.0,1.0,15.0
deurnerik,0.0,13.0,2.0,13.0
josedanielfalcon,0.0,13.0,1.0,11.0
Hammouda1972,0.0,12.0,1.0,17.0
kambleamit,1.0,12.0,0.0,10.0
big_willy_bensdad,1.0,9.0,0.0,9.0
PEDROSHO,2.0,14.0,0.0,11.0
tottof22,0.0,8.0,1.0,15.0
karim2002benzi,3.0,15.0,0.0,18.0
raquelina,0.0,11.0,0.0,10.0
Sasssha00,5.0,11.0,0.0,14.0
Shin-777,0.0,16.0,4.0,14.0
antonio_3200,2.0,12.0,0.0,5.0
spiderman55,0.0,10.0,1.0,10.0
jtanozawa,1.0,11.0,0.0,7.0
krokozhyk,4.0,12.0,0.0,11.0
lvbnhbq1982,1.0,12.0,0.0,11.0
FurkanKHAS26,0.0,14.0,2.0,7.0
