user_id,win_streak_current,win_streak_max,loss_streak_current,loss_streak_max
pooyapli1,1.0,15.0,0.0,11.0
DGBerana,2.0,3.0,0.0,2.0
Gatto03,3.0,10.0,0.0,13.0
foolsandhorses,1.0,13.0,0.0,14.0
BillOudi,1.0,10.0,0.0,10.0
tm2383,0.0,3.0,4.0,7.0
Vadim1107,0.0,0.0,2.0,2.0
BismarckWP,4.0,12.0,0.0,12.0
Maks633010,3.0,10.0,0.0,15.0
David_P0,1.0,10.0,0.0,12.0
r_117,1.0,2.0,0.0,12.0
Checho19,0.0,10.0,3.0,19.0
Brass67,1.0,10.0,0.0,8.0
Vaibhav_Dang,1.0,10.0,0.0,11.0
Eden-Hasard,0.0,9.0,1.0,11.0
bmbarto,0.0,8.0,4.0,8.0
MrChuckL,1.0,9.0,0.0,6.0
burnedlight,1.0,13.0,0.0,8.0
potrerillos94,2.0,11.0,0.0,5.0
AMRJ9,0.0,8.0,8.0,8.0
blueskychess22,,,,
hosseinhatami7595,0.0,7.0,3.0,8.0
misos_35,2.0,9.0,0.0,8.0
abasad1,0.0,15.0,2.0,12.0
buttbreff,0.0,7.0,1.0,6.0
OgSnkrbbb,0.0,9.0,2.0,12.0
smailllll,3.0,7.0,0.0,9.0
fesed18,4.0,12.0,0.0,15.0
respublicano,0.0,11.0,3.0,12.0
phuocvip1412,0.0,11.0,2.0,7.0
phebololuna,0.0,7.0,3.0,6.0
estebanovitch,0.0,8.0,1.0,7.0
DJ4Y,1.0,10.0,0.0,10.0
mirza_amaan,1.0,13.0,0.0,10.0
estrellita05,2.0,2.0,0.0,2.0
woody86,2.0,17.0,0.0,15.0
klauspn,0.0,13.0,2.0,11.0
MISTY_96,1.0,10.0,0.0,10.0
suchetkodate,1.0,9.0,0.0,11.0
DKS256,4.0,7.0,0.0,8.0
Anirudh99545,0.0,6.0,0.0,7.0
DmitriyKol,4.0,11.0,0.0,8.0
amirvalizade1963,0.0,13.0,4.0,11.0
George_mav6704,1.0,1.0,0.0,3.0
Sangon,2.0,12.0,0.0,11.0
dnlgrassi,0.0,8.0,1.0,12.0
abdelmoezbasha,2.0,9.0,0.0,13.0
santhoshn,0.0,6.0,3.0,11.0
hitam99,0.0,11.0,4.0,17.0
Solar-Wind86,2.0,13.0,0.0,8.0
cherguimd,0.0,12.0,2.0,7.0
RagnarokLothbrok,0.0,0.0,0.0,0.0
Johnston3,0.0,11.0,1.0,14.0
Natwyk,1.0,11.0,0.0,9.0
GOATxOVERPOWERYT9577,1.0,1.0,0.0,1.0
chemsedinebouakazi,1.0,8.0,0.0,10.0
Vladimir123kr,0.0,7.0,1.0,12.0
Freshzombee,3.0,10.0,0.0,7.0
Blazkowi23,3.0,12.0,0.0,12.0
Zerspragler91,0.0,7.0,1.0,9.0
DCristiD,0.0,10.0,3.0,9.0
risali_123,0.0,11.0,1.0,6.0
javadmj21,3.0,10.0,0.0,9.0
rdursun,3.0,10.0,0.0,22.0
Dilip_noob,0.0,11.0,3.0,11.0
CosimoZeno,0.0,14.0,2.0,12.0
chessbyine,0.0,11.0,2.0,11.0
fugga,0.0,9.0,1.0,7.0
urizarulises1,0.0,1.0,2.0,2.0
MihoSevastopol,1.0,12.0,0.0,12.0
rumpeldipumpi,1.0,8.0,0.0,13.0
ahaiazor4,0.0,0.0,0.0,0.0
ASsmaditya,0.0,2.0,2.0,2.0
Andry174,1.0,9.0,0.0,10.0
avetgrigor,4.0,12.0,0.0,15.0
AngeZ021,1.0,7.0,0.0,12.0
Boccherss,0.0,0.0,0.0,0.0
perry444,6.0,10.0,0.0,13.0
hanzohattoriii,2.0,6.0,0.0,9.0
euroval,1.0,11.0,0.0,11.0
hm468070,2.0,9.0,0.0,12.0
yabbaman7493,0.0,0.0,2.0,2.0
csprejer,0.0,13.0,1.0,11.0
Chess-In-Motion,0.0,10.0,2.0,13.0
pilavustuet,1.0,8.0,0.0,9.0
r-v5g,0.0,8.0,1.0,8.0
makyxaaa,2.0,9.0,0.0,20.0
Vadilka,0.0,12.0,1.0,13.0
nileshmithiya,0.0,7.0,5.0,7.0
waits05,0.0,14.0,3.0,13.0
FKom58,5.0,10.0,0.0,9.0
Akam_1235,0.0,8.0,1.0,9.0
cardere,1.0,12.0,0.0,13.0
maujoma,1.0,7.0,0.0,8.0
timorlov,2.0,11.0,0.0,11.0
Mhlobo,1.0,14.0,0.0,12.0
pavel77m,0.0,12.0,0.0,13.0
mertmex,1.0,9.0,0.0,7.0
SaptakPanda,1.0,4.0,0.0,4.0
bhawthor,0.0,9.0,2.0,12.0
suesswarenlieferant,0.0,7.0,2.0,10.0
BotayRinat,0.0,10.0,2.0,12.0
arnoldAK,1.0,9.0,0.0,7.0
Fayis1982,0.0,12.0,3.0,13.0
Bellator_truimph,1.0,2.0,0.0,3.0
Ecuador_Carloz,0.0,13.0,1.0,15.0
BauruMarcelo,0.0,3.0,1.0,7.0
Narengi14,3.0,9.0,0.0,7.0
ka9807,0.0,18.0,1.0,11.0
Dunkin_Kwim,0.0,25.0,4.0,18.0
Cali-Dragon,0.0,13.0,2.0,11.0
Dabro4ess,,,,
magal100,3.0,9.0,0.0,17.0
filip_j,0.0,9.0,2.0,8.0
filkinagramota,1.0,13.0,0.0,18.0
I_adore_Anna_Korsun,0.0,2.0,4.0,4.0
Zeno1993,2.0,13.0,0.0,12.0
saifanov20,0.0,5.0,1.0,10.0
Toni_Mackaroni,1.0,7.0,0.0,6.0
sreedhar747,0.0,4.0,1.0,5.0
nutsu7m,0.0,10.0,1.0,7.0
SlimyTaco,3.0,6.0,0.0,7.0
CampPe,1.0,10.0,0.0,13.0
AndrSid,0.0,12.0,2.0,10.0
engelmar,0.0,9.0,2.0,11.0
pmv_70,0.0,10.0,1.0,15.0
DumbArmin,4.0,5.0,0.0,6.0
Hardy09,0.0,8.0,2.0,11.0
lacroqueta_peligrosa,1.0,6.0,0.0,8.0
handada,0.0,6.0,1.0,4.0
JasonMR_10,2.0,7.0,0.0,9.0
Maharahdja,1.0,12.0,0.0,17.0
miykl58,2.0,11.0,0.0,15.0
haleo,1.0,10.0,0.0,64.0
nezevrov11,0.0,15.0,1.0,16.0
ms_crc,0.0,10.0,2.0,13.0
legeniechampion,2.0,7.0,0.0,5.0
just4fun_xxx,0.0,10.0,1.0,11.0
Albert_Zabudov,2.0,2.0,0.0,1.0
Mekambe2137,4.0,8.0,0.0,6.0
Marat333,0.0,1.0,1.0,1.0
otis32,0.0,10.0,0.0,6.0
canelita_2024,0.0,0.0,0.0,0.0
Bonsai_007,1.0,12.0,0.0,11.0
EnGassant,0.0,4.0,1.0,6.0
mrmangotango,0.0,11.0,1.0,10.0
metallicr,0.0,12.0,1.0,10.0
