user_id,blitz_rating,win_rate,lose_rate,draw_rate,game_count
engsultan00,1768.0,50.0,49.0,1.0,100.0
Panfi,1351.0,46.0,49.0,5.0,100.0
rsk86,1460.0,50.0,43.0,7.0,100.0
mercanet,1743.0,48.0,50.0,2.0,100.0
cool-chess-21,1690.0,33.0,66.0,0.0,9.0
bhavyamarella,1016.0,25.0,75.0,0.0,12.0
amirdna2000,1654.0,0.0,0.0,0.0,0.0
FrankJNG,1768.0,0.0,0.0,0.0,0.0
HosSseiN1,1227.0,0.0,0.0,0.0,0.0
cironine999,1785.0,41.0,52.0,7.0,100.0
chessenthusiast2,1439.0,53.0,46.0,1.0,100.0
derwolf21,1705.0,42.0,54.0,4.0,100.0
mmchess2023,1308.0,36.0,63.0,0.0,57.0
Oguzalp13,1228.0,42.0,57.0,0.0,78.0
Evalena2024,1739.0,46.0,50.0,4.0,100.0
DanHarner,1712.0,0.0,0.0,0.0,0.0
mm576,1590.0,0.0,0.0,0.0,0.0
Krabulut,1100.0,0.0,0.0,0.0,0.0
the_think_machine,1249.0,0.0,0.0,0.0,0.0
lionsden19,1701.0,0.0,0.0,0.0,0.0
s7alamen,1801.0,46.0,49.0,5.0,100.0
Marifercristobal,1189.0,43.0,53.0,4.0,100.0
maz350_k1,1805.0,52.0,46.0,2.0,100.0
Beemsterboa,1838.0,55.0,43.0,2.0,100.0
big-bad,908.0,60.0,40.0,0.0,15.0
Cyanideandhappiness,1465.0,33.0,66.0,0.0,9.0
lvbnhbq1982,1338.0,48.0,47.0,5.0,100.0
Bobbynae,1771.0,0.0,0.0,0.0,0.0
fortaken,1496.0,26.0,69.0,3.0,78.0
jonateng,1432.0,53.0,44.0,3.0,100.0
schachsinnig,1635.0,22.0,66.0,11.0,27.0
BMBenito_2016_Tugue,1359.0,53.0,43.0,4.0,100.0
bobsonx10,1493.0,52.0,48.0,0.0,100.0
vahid1402,1228.0,0.0,0.0,0.0,0.0
harrisonpeen65,1687.0,0.0,0.0,0.0,0.0
BenWeb1664,1238.0,0.0,0.0,0.0,0.0
VaChechnev,1768.0,49.0,44.0,7.0,100.0
SirNefarious630,1816.0,45.0,52.0,3.0,100.0
GramBoLubie66,1745.0,38.0,52.0,10.0,100.0
tshifeler,1466.0,38.0,56.0,5.0,100.0
foreverStuck,1773.0,50.0,33.0,16.0,18.0
soloview,1386.0,40.0,57.0,2.0,100.0
Kawabanga222,1734.0,48.0,49.0,3.0,100.0
NiemannFan,1381.0,50.0,41.0,9.0,100.0
Rawoul,1399.0,0.0,0.0,0.0,0.0
tolezet,1827.0,0.0,0.0,0.0,0.0
mangosta_1962,1499.0,0.0,0.0,0.0,0.0
wdfub1,1232.0,0.0,0.0,0.0,0.0
P3rrys0n,1438.0,50.0,48.0,2.0,100.0
Alexkonstbg,1886.0,52.0,45.0,3.0,100.0
Sp1aw,1170.0,34.0,62.0,3.0,29.0
OLEGPLAYER152,1471.0,52.0,46.0,2.0,100.0
Endgamelost,1588.0,0.0,0.0,0.0,0.0
timlawson,1872.0,50.0,43.0,7.0,100.0
AhmedHonda1986,1860.0,44.0,52.0,4.0,100.0
gittilayke,1465.0,56.0,42.0,1.0,100.0
ramac-bartol,1839.0,51.0,44.0,5.0,100.0
bluecow1,1818.0,51.0,47.0,2.0,100.0
AvBurakhan,1526.0,100.0,0.0,0.0,3.0
dukicmond,1730.0,47.0,48.0,5.0,100.0
northern_monkey,1761.0,54.0,42.0,4.0,100.0
mmevlutbyr,1462.0,52.0,45.0,3.0,100.0
D4boss,1581.0,0.0,0.0,0.0,0.0
cursedfg,1378.0,0.0,0.0,0.0,0.0
zdarzbrum,1521.0,45.0,51.0,4.0,100.0
deestar,1709.0,40.0,54.0,6.0,100.0
bachmoch90,1426.0,51.0,47.0,2.0,100.0
mehmeto,1466.0,44.0,56.0,0.0,100.0
dvsuhov,1500.0,83.0,17.0,0.0,100.0
RoseWhite,1038.0,0.0,0.0,0.0,0.0
potamianov,1841.0,0.0,0.0,0.0,0.0
mrkingtony,1419.0,43.0,53.0,4.0,100.0
bullseye9,1510.0,44.0,49.0,7.0,100.0
kezhik_0,1514.0,51.0,42.0,7.0,100.0
albassem4,1412.0,47.0,52.0,1.0,100.0
Sky0010,1808.0,47.0,51.0,1.0,98.0
bobby-vishy,1769.0,60.0,34.0,6.0,100.0
PlayaONE,1721.0,41.0,56.0,3.0,100.0
leongambit,1667.0,51.0,48.0,1.0,100.0
loup76,1342.0,49.0,47.0,4.0,100.0
jonny0507,1730.0,0.0,0.0,0.0,0.0
Frantz27,1682.0,0.0,0.0,0.0,0.0
Saganash13,1804.0,54.0,44.0,2.0,100.0
Oida1,1142.0,0.0,0.0,0.0,0.0
Yazish,1537.0,70.0,30.0,0.0,100.0
Naddyuza,1404.0,47.0,50.0,3.0,100.0
IplayforDRAW,1686.0,48.0,48.0,3.0,87.0
sandraekaputra,1719.0,51.0,46.0,3.0,100.0
ImaRandomBot,1350.0,39.0,57.0,3.0,100.0
PorroRey,1511.0,0.0,0.0,0.0,0.0
killagame72,1194.0,50.0,47.0,3.0,100.0
GROss044,1165.0,39.0,61.0,0.0,100.0
RGratsch,1771.0,51.0,49.0,0.0,100.0
irswamy,1572.0,0.0,0.0,0.0,0.0
bernao,1856.0,53.0,46.0,1.0,100.0
Piter-RR,1418.0,0.0,0.0,0.0,0.0
ssekoss,1445.0,55.0,44.0,1.0,100.0
CARMONAA,1271.0,41.0,53.0,6.0,100.0
usta9010,1542.0,0.0,0.0,0.0,0.0
Muhammadqodir2,1500.0,0.0,0.0,0.0,0.0
davidisraelhay,1512.0,47.0,49.0,4.0,100.0
werdnaz,1701.0,50.0,50.0,0.0,54.0
yar13,1369.0,0.0,0.0,0.0,0.0
Mahanand,1868.0,50.0,46.0,4.0,100.0
furi_za,1231.0,78.0,21.0,0.0,69.0
Litelants,1840.0,46.0,49.0,5.0,100.0
Menierva916,1922.0,0.0,0.0,0.0,0.0
mimar_harsen,1284.0,0.0,0.0,0.0,0.0
Mohammad_m3d,1479.0,50.0,47.0,3.0,100.0
seyed1349zia,1434.0,54.0,41.0,5.0,100.0
Shikabella,1395.0,44.0,50.0,6.0,100.0
bukidron,1533.0,60.0,40.0,0.0,15.0
Tymanov_V,1771.0,45.0,45.0,9.0,66.0
warsawplayer,1536.0,66.0,31.0,3.0,100.0
insane_ke,1559.0,0.0,0.0,0.0,0.0
Strength5gorsk,1382.0,0.0,0.0,0.0,0.0
Walkere,1631.0,48.0,44.0,8.0,100.0
Devdutt_three,1803.0,0.0,0.0,0.0,0.0
CruaWarrior,1470.0,0.0,0.0,0.0,0.0
fezfez_05,1265.0,53.0,42.0,3.0,84.0
