user_id,blitz_rating,win_rate,lose_rate,draw_rate,game_count
Maxp1974,1676.0,0.0,0.0,0.0,0.0
Maxim_lu,1226.0,0.0,0.0,0.0,0.0
bermudaox,1235.0,0.0,0.0,0.0,0.0
Aleksandr_1957,1757.0,0.0,0.0,0.0,0.0
OriaMike,1456.0,0.0,0.0,0.0,0.0
Abchife,1193.0,0.0,0.0,0.0,0.0
vietan0,1210.0,0.0,0.0,0.0,0.0
radu25,1315.0,0.0,0.0,0.0,0.0
Impu1se1,1104.0,0.0,0.0,0.0,0.0
othmanaloide2,1500.0,0.0,0.0,0.0,0.0
Franek369,1349.0,0.0,0.0,0.0,0.0
DarkPatate,1304.0,0.0,0.0,0.0,0.0
IgorRogozin,1785.0,0.0,0.0,0.0,0.0
Wonderboof,1219.0,0.0,0.0,0.0,0.0
tchegalo,1674.0,0.0,0.0,0.0,0.0
ryzman17,1251.0,0.0,0.0,0.0,0.0
isac_J,1076.0,0.0,0.0,0.0,0.0
StefanoApi,1500.0,0.0,0.0,0.0,0.0
DaviOliv3ra,1487.0,0.0,0.0,0.0,0.0
Gabrielorjikalu,1626.0,0.0,0.0,0.0,0.0
Fedwhisk,1825.0,0.0,0.0,0.0,0.0
Darmol_XXX,1500.0,0.0,0.0,0.0,0.0
HydroOwl,946.0,0.0,0.0,0.0,0.0
DonquixoteRobin,1204.0,0.0,0.0,0.0,0.0
ChessGuess,1448.0,0.0,0.0,0.0,0.0
Ajith330,1116.0,0.0,0.0,0.0,0.0
PNBRQKA,1500.0,0.0,0.0,0.0,0.0
Freezenwill,2041.0,0.0,0.0,0.0,0.0
cat_luna,1396.0,0.0,0.0,0.0,0.0
Omarkobe,1452.0,0.0,0.0,0.0,0.0
Syadin,1508.0,0.0,0.0,0.0,0.0
Ving2009,1771.0,0.0,0.0,0.0,0.0
onkamatkar,1678.0,0.0,0.0,0.0,0.0
WannaCry2017,1829.0,0.0,0.0,0.0,0.0
MartiN_phl,1334.0,0.0,0.0,0.0,0.0
Slob112,1400.0,0.0,0.0,0.0,0.0
ALebedevGuitar,1353.0,0.0,0.0,0.0,0.0
il_76-il,1213.0,0.0,0.0,0.0,0.0
ramin_cihangir,1315.0,0.0,0.0,0.0,0.0
vistanutzer,1500.0,0.0,0.0,0.0,0.0
ethanlebg,1393.0,0.0,0.0,0.0,0.0
amrghobara,1128.0,0.0,0.0,0.0,0.0
odunkutk1,1233.0,0.0,0.0,0.0,0.0
SteamPwrdAereoPawns,1749.0,0.0,0.0,0.0,0.0
MIKAELW,997.0,0.0,0.0,0.0,0.0
Caro-KannMindControl,1472.0,0.0,0.0,0.0,0.0
RRLLMM,1456.0,0.0,0.0,0.0,0.0
Bruncvik,1859.0,0.0,0.0,0.0,0.0
Soham_Kulthe,1382.0,0.0,0.0,0.0,0.0
PatushanXD,939.0,0.0,0.0,0.0,0.0
Blabub,1610.0,0.0,0.0,0.0,0.0
Aisyahku,2333.0,0.0,0.0,0.0,0.0
HaRrisoN_WellS_0,2267.0,0.0,0.0,0.0,0.0
soner_iu,2554.0,0.0,0.0,0.0,0.0
Karavaev74,1552.0,0.0,0.0,0.0,0.0
NAEEM600,1550.0,0.0,0.0,0.0,0.0
kabulos,1283.0,0.0,0.0,0.0,0.0
Aristotele73,790.0,0.0,0.0,0.0,0.0
levchikbullet,1500.0,0.0,0.0,0.0,0.0
Bala79,1500.0,0.0,0.0,0.0,0.0
explosionbrainchess,2754.0,0.0,0.0,0.0,0.0
bad-brains,1800.0,0.0,0.0,0.0,0.0
bob_tables,1092.0,0.0,0.0,0.0,0.0
cybermanic,1309.0,0.0,0.0,0.0,0.0
zeta2k,1431.0,0.0,0.0,0.0,0.0
lucasmaximus2,1808.0,0.0,0.0,0.0,0.0
Ebi2000,1887.0,0.0,0.0,0.0,0.0
damuero,1251.0,0.0,0.0,0.0,0.0
DrFlagstein,2865.0,0.0,0.0,0.0,0.0
AladarProGT,2391.0,0.0,0.0,0.0,0.0
Zeneval,1702.0,0.0,0.0,0.0,0.0
Yadu868,1583.0,0.0,0.0,0.0,0.0
Ford_Crown_Vic,1154.0,0.0,0.0,0.0,0.0
vaishu3303,1029.0,0.0,0.0,0.0,0.0
Swissknight17,2172.0,0.0,0.0,0.0,0.0
dmitrijiiiGM,2856.0,0.0,0.0,0.0,0.0
AnatraCubista,1506.0,0.0,0.0,0.0,0.0
Xplo1983,1097.0,0.0,0.0,0.0,0.0
KeonSK,1500.0,0.0,0.0,0.0,0.0
Anton87582,1034.0,0.0,0.0,0.0,0.0
beatermachine,1841.0,0.0,0.0,0.0,0.0
turbado2023,952.0,0.0,0.0,0.0,0.0
Hristo1956,949.0,0.0,0.0,0.0,0.0
joniking1999,1293.0,0.0,0.0,0.0,0.0
mahendra72,1532.0,0.0,0.0,0.0,0.0
N_Drake,1358.0,0.0,0.0,0.0,0.0
TheEagle_64_19,2208.0,0.0,0.0,0.0,0.0
OmkarReddy,1335.0,0.0,0.0,0.0,0.0
dr_xStranger,2749.0,0.0,0.0,0.0,0.0
Tablebender,978.0,0.0,0.0,0.0,0.0
hassan1367,1292.0,0.0,0.0,0.0,0.0
Daniel123345,2186.0,0.0,0.0,0.0,0.0
HogRider1919,1147.0,0.0,0.0,0.0,0.0
fromsakh,1334.0,0.0,0.0,0.0,0.0
den4ik222,871.0,0.0,0.0,0.0,0.0
EdgarCid,938.0,0.0,0.0,0.0,0.0
Anatolyx,1123.0,0.0,0.0,0.0,0.0
abshakeyourworld,1068.0,0.0,0.0,0.0,0.0
vansh0215,955.0,0.0,0.0,0.0,0.0
Derahdoc,1911.0,0.0,0.0,0.0,0.0
NotSkate0815,1500.0,0.0,0.0,0.0,0.0
missanth,1761.0,0.0,0.0,0.0,0.0
Layfi,1500.0,0.0,0.0,0.0,0.0
varunvar,2707.0,0.0,0.0,0.0,0.0
Dragontiger83,2157.0,0.0,0.0,0.0,0.0
ArturoV2024,2109.0,0.0,0.0,0.0,0.0
osama230,1105.0,0.0,0.0,0.0,0.0
nas66,1208.0,0.0,0.0,0.0,0.0
LucaGek,1571.0,0.0,0.0,0.0,0.0
MaxiGalaxi,894.0,0.0,0.0,0.0,0.0
Sulacy,1500.0,0.0,0.0,0.0,0.0
m123p123,1861.0,0.0,0.0,0.0,0.0
shadow_strike,1303.0,0.0,0.0,0.0,0.0
rsumitrout3,1351.0,0.0,0.0,0.0,0.0
TheRegista,1345.0,0.0,0.0,0.0,0.0
resiliente99,2801.0,0.0,0.0,0.0,0.0
SavvaVetokhin2009,2582.0,0.0,0.0,0.0,0.0
danielithium,1500.0,0.0,0.0,0.0,0.0
Gabix94,2546.0,0.0,0.0,0.0,0.0
DjMaestro1983,660.0,0.0,0.0,0.0,0.0
Miss_Lizzy,1218.0,0.0,0.0,0.0,0.0
FelixHu,944.0,0.0,0.0,0.0,0.0
Phuong14,2033.0,0.0,0.0,0.0,0.0
Aatu65536,2301.0,0.0,0.0,0.0,0.0
Killumi95,1021.0,0.0,0.0,0.0,0.0
Ilias999,1369.0,0.0,0.0,0.0,0.0
