user_id,win_rate,lose_rate,draw_rate,game_count
Teko59,0.0,0.0,0.0,0.0
ismailltahaa,0.0,0.0,0.0,0.0
Bier-trinken,51.0,43.0,6.0,100.0
EL_TEMPANO,48.0,50.0,2.0,100.0
yntenot21,25.0,50.0,25.0,4.0
V4lium,0.0,100.0,0.0,9.0
jabid1907,0.0,0.0,0.0,0.0
dosmenosuno,51.0,44.0,5.0,100.0
nnaassaa,0.0,0.0,0.0,0.0
Lulor,54.0,42.0,4.0,100.0
MatLan_Sopan,55.0,43.0,2.0,100.0
sheinemann,0.0,0.0,0.0,0.0
Mehmet_7,47.0,47.0,6.0,100.0
Stevenbaker91,45.0,52.0,3.0,100.0
Paul-tasiaux,0.0,0.0,0.0,0.0
Mr-KARTAL,46.0,51.0,3.0,100.0
Chen7151980,45.0,51.0,4.0,100.0
drinkestain,33.0,50.0,16.0,18.0
Irbis_zp,16.0,80.0,4.0,75.0
viktor1576,0.0,0.0,0.0,0.0
kingZkaspa,57.0,40.0,2.0,100.0
akbasol,0.0,0.0,0.0,0.0
zulkarnianil,55.0,43.0,2.0,100.0
rosealec,53.0,45.0,2.0,100.0
daskaa1618,0.0,0.0,0.0,0.0
Nas115,49.0,47.0,4.0,100.0
lostmyqueen,48.0,50.0,2.0,100.0
IzbasarovTimur1707,54.0,42.0,4.0,100.0
JOMERA,48.0,46.0,6.0,100.0
EggBag,43.0,55.0,2.0,100.0
F7-F8,15.0,76.0,7.0,39.0
ar2rb,38.0,57.0,4.0,100.0
sharpbladez,0.0,0.0,0.0,0.0
kingwolf1234,72.0,27.0,0.0,54.0
MagzyBogues06,0.0,0.0,0.0,0.0
RuslanFromUfa,61.0,22.0,16.0,54.0
waiwaiwaip,46.0,51.0,3.0,100.0
MkhlMarvel,0.0,0.0,0.0,0.0
LEKOFCHESS,0.0,100.0,0.0,15.0
adv3,66.0,33.0,0.0,9.0
dovot,0.0,0.0,0.0,0.0
lengvar,45.0,48.0,7.0,100.0
Sbrao89,37.0,55.0,8.0,100.0
teoberliches83,54.0,44.0,2.0,100.0
Chessiscool1972,33.0,66.0,0.0,9.0
Dimonzza,56.0,44.0,0.0,100.0
Mauro-39,43.0,51.0,6.0,100.0
weetzzy,0.0,0.0,0.0,0.0
IceDweller,44.0,48.0,6.0,87.0
helvetia,51.0,47.0,2.0,100.0
bor933,47.0,47.0,4.0,69.0
VOLOV1005,0.0,0.0,0.0,0.0
slavadeq,31.0,52.0,15.0,57.0
axolm,49.0,48.0,3.0,100.0
ICXM,0.0,0.0,0.0,0.0
TaxNat,0.0,0.0,0.0,0.0
Paidjo69,42.0,53.0,5.0,100.0
mogwai23,53.0,42.0,5.0,100.0
epersh1975,0.0,0.0,0.0,0.0
chesstime,56.0,33.0,10.0,100.0
neslisah118815,0.0,0.0,100.0,3.0
Dirki04,56.0,44.0,0.0,100.0
VK_ole,43.0,54.0,3.0,100.0
Maciej_zz,10.0,88.0,2.0,100.0
Hemmuhil15,38.0,56.0,6.0,100.0
dr_acikel,0.0,0.0,0.0,0.0
virtuoso77,0.0,0.0,0.0,0.0
BOBOCZEK,0.0,0.0,0.0,0.0
pkruser1,56.0,36.0,6.0,90.0
GrandFast3R,0.0,0.0,0.0,0.0
nikleshchess,56.0,36.0,7.0,100.0
algrearat,68.0,32.0,0.0,75.0
PinkieTwinkie,40.0,52.0,8.0,100.0
Yeraboina,46.0,45.0,9.0,100.0
roka-schirg,52.0,44.0,4.0,100.0
no-name_2734,75.0,25.0,0.0,24.0
kiepa,42.0,55.0,3.0,100.0
Amirreza220,47.0,50.0,3.0,100.0
mr_iuz,0.0,100.0,0.0,3.0
Jungle_Jaguar,0.0,0.0,0.0,0.0
Sanuchess1729,0.0,100.0,0.0,9.0
WildKnight77,47.0,50.0,3.0,100.0
qvc_malding,48.0,48.0,4.0,100.0
IiroRantal,47.0,41.0,12.0,100.0
Unknownplayer101010,56.0,40.0,4.0,75.0
Focalius,43.0,54.0,3.0,100.0
bala1955,41.0,58.0,0.0,36.0
sgsgzh,54.0,42.0,4.0,100.0
martinsm,0.0,0.0,0.0,0.0
Recolecto-Minas,59.0,37.0,4.0,100.0
Littoral,60.0,38.0,2.0,100.0
AlstonSabastian,76.0,15.0,7.0,39.0
vlada631271,48.0,49.0,3.0,100.0
mad_lord_punt,35.0,64.0,1.0,100.0
Jovin8D,48.0,48.0,4.0,100.0
Maus7,71.0,18.0,11.0,100.0
Ovunccetin,0.0,0.0,0.0,0.0
sigb98,41.0,50.0,9.0,100.0
G16N23,51.0,44.0,4.0,49.0
clement80470,20.0,80.0,0.0,5.0
Yuhanes,0.0,0.0,0.0,0.0
tyskie13,55.0,39.0,6.0,100.0
jobi_san2s,54.0,45.0,1.0,100.0
Malnoad,53.0,46.0,1.0,100.0
