user_op,op_win_rate,op_lose_rate,op_draw_rate,op_game_count,op_blitz_rating,op_white_win_rate,op_white_lose_rate,op_white_draw_rate,op_white_game_count,op_black_win_rate,op_black_lose_rate,op_black_draw_rate,op_black_game_count,op_top_eco,op_second_eco,op_top_winrate_eco,op_second_winrate_eco,op_mate_winrate,op_resign_winrate,op_time_winrate,op_mate_lossrate,op_resign_lossrate,op_time_lossrate,op_average_game_len,op_user_rating_deviation,op_blitz_total_games,op_best_win_1,op_best_win_2,op_best_win_3
TIMFAKS,54.0,39.0,7.0,100.0,1119.0,45.161,48.387,6.452,62.0,47.619,47.619,4.762,63.0,C42,C50,D20,C55,0.379,0.414,0.172,0.433,0.167,0.4,272.0,45.28,1984.0,1412.0,1410.0,1390.0
Amisree,48.0,49.0,3.0,100.0,1354.0,56.452,38.71,4.839,62.0,42.857,57.143,0.0,63.0,C41,C23,C20,C01,0.161,0.516,0.242,0.633,0.0,0.35,381.0,78.88,208.0,1460.0,1445.0,1440.0
Rufusikik9999,57.0,36.0,6.0,100.0,1603.0,48.438,45.312,6.25,64.0,50.82,42.623,6.557,61.0,C44,C50,B32,C72,0.355,0.435,0.21,0.327,0.491,0.145,410.0,46.78,1023.0,1624.0,1618.0,1616.0
NikolaDubovik,51.0,37.0,12.0,100.0,2088.0,50.82,37.705,11.475,61.0,42.188,48.438,9.375,64.0,B00,A02,A00,C31,0.345,0.31,0.293,0.444,0.444,0.111,253.0,47.09,16413.0,2710.0,2700.0,2697.0
Bauti_Bomben,45.0,48.0,7.0,100.0,1063.0,57.143,38.095,4.762,63.0,43.548,50.0,6.452,62.0,C20,C41,C70,B50,0.349,0.302,0.333,0.345,0.418,0.236,358.0,45.23,2899.0,1823.0,1503.0,1456.0
LomakinaGV,56.0,39.0,4.0,100.0,2125.0,60.317,36.508,3.175,63.0,48.387,43.548,8.065,62.0,A05,A04,A00,A45,0.088,0.618,0.279,0.12,0.54,0.34,413.0,45.06,9781.0,2313.0,2309.0,2296.0
Remigio2023,44.0,52.0,4.0,100.0,1905.0,54.098,36.066,9.836,61.0,48.438,46.875,4.688,64.0,A06,A04,C42,D02,0.266,0.328,0.391,0.077,0.558,0.327,282.0,45.03,10470.0,2524.0,2418.0,2393.0
ufyljybot,48.0,43.0,9.0,100.0,1366.0,40.678,49.153,10.169,59.0,48.485,43.939,7.576,66.0,D02,C00,A13,C41,0.214,0.518,0.196,0.103,0.397,0.466,495.0,45.08,17543.0,1955.0,1941.0,1929.0
Se1co,42.0,55.0,3.0,100.0,679.0,46.875,50.0,3.125,64.0,32.787,60.656,6.557,61.0,D00,C44,C47,A02,0.32,0.5,0.14,0.58,0.406,0.014,490.0,59.36,215.0,870.0,863.0,835.0
vladimir_novosibirsk,48.0,51.0,1.0,100.0,1420.0,51.562,46.875,1.562,64.0,55.738,39.344,4.918,61.0,B01,C22,B02,A10,0.328,0.448,0.179,0.296,0.519,0.185,395.0,45.11,35793.0,1645.0,1643.0,1633.0
rostov555,45.0,52.0,3.0,100.0,1644.0,48.387,46.774,4.839,62.0,46.032,50.794,3.175,63.0,A00,B06,B00,A01,0.169,0.424,0.322,0.59,0.246,0.115,389.0,54.59,1664.0,1804.0,1796.0,1776.0
Amitajoshi,60.0,27.0,12.0,99.0,2123.0,67.692,27.692,4.615,65.0,60.0,30.0,10.0,60.0,B00,C25,C26,nonStandard,0.325,0.525,0.138,0.278,0.361,0.361,302.0,51.81,1222.0,2258.0,2220.0,2215.0
SpeedyGonzales978,50.0,50.0,0.0,6.0,1225.0,50.0,50.0,0.0,2.0,0.0,100.0,0.0,2.0,B01,C68,B01,C68,0.0,1.0,0.0,0.0,0.333,0.667,245.0,280.86,4.0,0.0,0.0,0.0
cadencedepleutre,42.0,56.0,2.0,100.0,1860.0,46.774,50.0,3.226,62.0,47.619,52.381,0.0,63.0,B01,C44,B45,B34,0.288,0.441,0.254,0.125,0.828,0.047,216.0,45.12,4918.0,2215.0,2202.0,2188.0
Glenallen,0.0,100.0,0.0,3.0,785.0,27.273,72.727,0.0,11.0,8.333,91.667,0.0,12.0,C20,B00,C36,C42,0.0,0.75,0.25,0.0,0.263,0.684,235.0,211.81,17.0,0.0,0.0,0.0
Guillermodc,44.0,51.0,5.0,100.0,1220.0,50.794,42.857,6.349,63.0,38.71,54.839,6.452,62.0,C20,B20,C40,C54,0.286,0.482,0.179,0.541,0.164,0.295,413.0,45.02,7199.0,1481.0,1481.0,1481.0
DAS_2013,44.0,45.0,11.0,100.0,2291.0,48.438,37.5,14.062,64.0,54.098,40.984,4.918,61.0,B13,C02,B70,E60,0.172,0.672,0.156,0.551,0.224,0.224,386.0,46.91,1138.0,2458.0,2416.0,2407.0
duanra92,43.0,51.0,6.0,100.0,1452.0,50.0,43.75,6.25,64.0,50.82,44.262,4.918,61.0,C44,D00,C41,B06,0.159,0.587,0.206,0.182,0.745,0.073,216.0,45.14,12807.0,1613.0,1608.0,1601.0
diaasc,49.0,51.0,0.0,100.0,1298.0,54.098,42.623,3.279,61.0,56.25,42.188,1.562,64.0,B10,C50,B50,A04,0.275,0.551,0.145,0.132,0.472,0.396,490.0,116.75,1010.0,1347.0,1335.0,1328.0
mrmicheas,35.0,61.0,3.0,93.0,1853.0,38.333,61.667,0.0,60.0,46.154,52.308,1.538,65.0,B01,C44,D00,A57,0.453,0.302,0.245,0.028,0.31,0.648,234.0,45.76,18117.0,2562.0,2511.0,2507.0
d0216ka,44.0,55.0,1.0,100.0,1393.0,55.738,40.984,3.279,61.0,40.625,59.375,0.0,64.0,B01,C44,B10,B50,0.433,0.35,0.183,0.19,0.683,0.127,236.0,45.14,4205.0,2355.0,2178.0,2073.0
Cristianlagos,49.0,50.0,1.0,100.0,1191.0,45.455,54.545,0.0,66.0,55.932,42.373,1.695,59.0,B01,B20,A10,D02,0.476,0.159,0.254,0.508,0.18,0.295,378.0,45.05,1035.0,1582.0,1578.0,1576.0
NATA15SR,48.0,32.0,20.0,100.0,1389.0,40.678,44.068,15.254,59.0,50.0,39.394,10.606,66.0,C00,B00,B40,D31,0.211,0.649,0.07,0.481,0.212,0.25,355.0,47.67,482.0,1809.0,1518.0,1469.0
Demoleitor64,42.0,42.0,14.0,21.0,2163.0,55.224,37.313,7.463,67.0,41.379,53.448,5.172,58.0,B21,C00,B02,B09,0.197,0.672,0.131,0.161,0.554,0.286,394.0,45.0,15042.0,2465.0,2426.0,2413.0
NDOLAONE,51.0,36.0,13.0,100.0,2416.0,47.541,36.066,16.393,61.0,51.562,40.625,7.812,64.0,C42,A45,C43,C10,0.081,0.645,0.258,0.583,0.146,0.25,287.0,45.06,5088.0,2607.0,2607.0,2606.0
Santiagochacra,50.0,50.0,0.0,6.0,1401.0,100.0,0.0,0.0,1.0,0.0,100.0,0.0,1.0,C40,A00,A00,C40,1.0,0.0,0.0,0.0,1.0,0.0,183.0,267.53,2.0,0.0,0.0,0.0
MOHAMEDDEGHIDY,49.0,46.0,5.0,100.0,1475.0,59.677,35.484,4.839,62.0,38.095,55.556,6.349,63.0,A01,C42,C00,C50,0.246,0.541,0.213,0.579,0.158,0.246,572.0,45.14,5124.0,2000.0,1956.0,1876.0
pabloyanez,54.0,41.0,5.0,100.0,1387.0,53.125,45.312,1.562,64.0,44.262,49.18,6.557,61.0,C25,C40,D20,C68,0.492,0.393,0.082,0.22,0.559,0.203,401.0,45.03,5574.0,1890.0,1879.0,1865.0
Maitre_Dechazel,40.0,0.0,60.0,15.0,1953.0,59.016,34.426,6.557,61.0,46.875,40.625,12.5,64.0,nonStandard,C02,D30,A77,0.697,0.136,0.167,0.128,0.702,0.17,178.0,74.87,392.0,2132.0,2131.0,2113.0
sisyphe1957,41.0,56.0,3.0,100.0,1390.0,36.066,60.656,3.279,61.0,43.75,53.125,3.125,64.0,B00,A00,C41,C23,0.28,0.6,0.08,0.042,0.803,0.155,548.0,46.94,4536.0,1697.0,1677.0,1669.0
Argysh,56.0,40.0,4.0,100.0,2520.0,61.905,36.508,1.587,63.0,45.161,46.774,8.065,62.0,A15,A13,D01,E22,0.194,0.597,0.164,0.058,0.308,0.635,277.0,45.09,11276.0,2753.0,2751.0,2741.0
El3men2GMObregon,46.0,47.0,7.0,100.0,1385.0,42.857,47.619,9.524,63.0,43.548,51.613,4.839,62.0,C41,D20,C55,E71,0.426,0.389,0.093,0.161,0.484,0.242,372.0,45.29,267.0,1745.0,1510.0,1506.0
A_Gindinson,42.0,50.0,8.0,100.0,2044.0,48.333,41.667,10.0,60.0,44.615,53.846,1.538,65.0,C11,A57,A70,D53,0.224,0.5,0.207,0.117,0.6,0.283,487.0,45.08,12841.0,2416.0,2389.0,2369.0
TheGuyver,50.0,43.0,7.0,100.0,1875.0,49.206,46.032,4.762,63.0,43.548,53.226,3.226,62.0,A10,A15,C43,D37,0.224,0.362,0.397,0.581,0.339,0.081,243.0,45.3,5480.0,2042.0,1992.0,1987.0
pojminka,50.0,46.0,4.0,100.0,1183.0,47.619,46.032,6.349,63.0,46.774,51.613,1.613,62.0,D00,A40,A04,D15,0.288,0.576,0.102,0.82,0.0,0.18,587.0,45.77,2653.0,1391.0,1375.0,1356.0
Dejan_Sevilla,47.0,47.0,6.0,100.0,2060.0,43.548,51.613,4.839,62.0,52.381,42.857,4.762,63.0,D35,C02,D06,A31,0.2,0.683,0.1,0.017,0.373,0.61,326.0,45.03,8902.0,2374.0,2336.0,2326.0
floatingonclouds,36.0,60.0,4.0,75.0,1640.0,35.938,59.375,4.688,64.0,44.262,50.82,4.918,61.0,C41,A40,D35,A41,0.12,0.4,0.46,0.522,0.333,0.145,251.0,48.71,279.0,1917.0,1907.0,1899.0
areleaf102,47.0,52.0,1.0,100.0,1011.0,55.0,45.0,0.0,60.0,44.615,53.846,1.538,65.0,A00,B06,A00,A40,0.194,0.403,0.355,0.113,0.629,0.097,201.0,45.21,3737.0,1203.0,1182.0,1177.0
naamiswaan,51.0,46.0,3.0,100.0,1088.0,57.576,40.909,1.515,66.0,59.322,35.593,5.085,59.0,B20,B01,B21,B80,0.342,0.507,0.11,0.25,0.75,0.0,295.0,45.2,1353.0,1597.0,1570.0,1356.0
Vasily08,0.0,100.0,0.0,6.0,1565.0,46.774,43.548,9.677,62.0,41.27,52.381,6.349,63.0,B10,D10,A00,D35,0.218,0.491,0.291,0.2,0.6,0.2,424.0,84.77,12709.0,1971.0,1964.0,1943.0
Truckdriver_89,44.0,52.0,4.0,100.0,1389.0,43.333,55.0,1.667,60.0,35.385,60.0,4.615,65.0,B10,C25,C20,A00,0.347,0.449,0.163,0.153,0.819,0.028,230.0,45.41,10218.0,2167.0,2134.0,2123.0
houcemlaw,49.0,50.0,1.0,100.0,800.0,50.769,49.231,0.0,65.0,45.0,51.667,3.333,60.0,B00,B10,A04,D53,0.433,0.317,0.167,0.095,0.095,0.81,262.0,47.23,184.0,1084.0,958.0,953.0
Jim774,47.0,47.0,4.0,69.0,1677.0,48.387,50.0,1.613,62.0,39.683,57.143,3.175,63.0,C00,B23,B06,C54,0.145,0.418,0.436,0.09,0.463,0.403,280.0,53.96,735.0,2082.0,2052.0,2029.0
RohitGuruKhel,44.0,50.0,6.0,100.0,1698.0,52.381,44.444,3.175,63.0,50.0,48.387,1.613,62.0,C50,C44,C23,C30,0.172,0.531,0.297,0.259,0.724,0.017,353.0,45.76,3307.0,1881.0,1857.0,1828.0
diman_ufa,60.0,35.0,3.0,84.0,2048.0,65.574,31.148,3.279,61.0,62.5,35.938,1.562,64.0,A40,C50,D32,A11,0.25,0.55,0.163,0.119,0.786,0.071,336.0,46.31,9137.0,2564.0,2553.0,2545.0
amatotoca,45.0,54.0,1.0,100.0,1249.0,55.556,44.444,0.0,63.0,41.935,54.839,3.226,62.0,A40,B01,D01,A06,0.18,0.426,0.328,0.419,0.097,0.484,275.0,45.05,44801.0,1530.0,1527.0,1516.0
Ants_Paradise,67.0,25.0,8.0,100.0,2405.0,67.857,25.0,7.143,28.0,67.857,25.0,7.143,28.0,C42,B12,D55,B12,0.211,0.474,0.316,0.429,0.357,0.214,292.0,51.67,56.0,2479.0,2459.0,2452.0
cmc8d3,38.0,53.0,9.0,100.0,2332.0,41.935,46.774,11.29,62.0,34.921,58.73,6.349,63.0,A00,B01,D04,A11,0.167,0.667,0.167,0.227,0.606,0.152,266.0,47.33,349.0,2585.0,2527.0,2502.0
medgarci,33.0,59.0,7.0,81.0,1017.0,38.889,55.556,5.556,18.0,25.0,70.833,4.167,24.0,B01,C41,C44,C41,0.077,0.462,0.231,0.222,0.222,0.444,296.0,64.75,42.0,1195.0,1184.0,1139.0
branka_m,44.0,50.0,6.0,100.0,1678.0,46.032,50.794,3.175,63.0,45.161,46.774,8.065,62.0,C00,C50,D37,B33,0.193,0.561,0.228,0.262,0.574,0.164,388.0,45.1,7040.0,1883.0,1882.0,1877.0
joaquinlespins,44.0,51.0,5.0,100.0,1885.0,47.619,46.032,6.349,63.0,51.613,48.387,0.0,62.0,C40,B23,A06,C12,0.161,0.516,0.29,0.136,0.729,0.085,234.0,45.03,14517.0,2357.0,2350.0,2291.0
jaimem1967,49.0,48.0,3.0,100.0,1631.0,43.548,53.226,3.226,62.0,55.556,42.857,1.587,63.0,B01,B00,C31,B27,0.306,0.468,0.226,0.25,0.333,0.4,275.0,45.11,18743.0,2318.0,2310.0,2304.0
vonguyenanh,20.0,80.0,0.0,5.0,1406.0,33.333,66.667,0.0,3.0,0.0,100.0,0.0,2.0,A40,C44,C48,A40,0.0,0.0,0.0,0.75,0.0,0.25,391.0,208.31,5.0,0.0,0.0,0.0
sonthoha0112,46.0,51.0,3.0,100.0,1629.0,50.0,50.0,0.0,62.0,41.27,52.381,6.349,63.0,D00,A45,B06,B23,0.053,0.579,0.333,0.219,0.75,0.031,291.0,45.48,579.0,1823.0,1819.0,1815.0
MasterGadol,53.0,37.0,10.0,100.0,1338.0,54.098,40.984,4.918,61.0,53.125,40.625,6.25,64.0,B00,C21,C00,B21,0.254,0.552,0.194,0.333,0.569,0.098,219.0,46.33,528.0,1446.0,1441.0,1403.0
Nikolaibis,43.0,53.0,4.0,100.0,1520.0,59.375,39.062,1.562,64.0,39.344,50.82,9.836,61.0,C21,B50,C20,C30,0.306,0.581,0.113,0.125,0.375,0.5,408.0,45.7,380.0,1694.0,1661.0,1655.0
MechantChien,75.0,25.0,0.0,12.0,1677.0,38.71,58.065,3.226,62.0,47.619,49.206,3.175,63.0,C00,B01,B10,C53,0.148,0.5,0.333,0.075,0.776,0.149,234.0,58.11,2901.0,2116.0,2095.0,2090.0
ythk,71.0,28.0,0.0,42.0,1295.0,63.636,27.273,9.091,11.0,45.455,54.545,0.0,11.0,B06,C57,B12,B21,0.5,0.25,0.25,0.333,0.111,0.333,379.0,110.03,22.0,1281.0,1261.0,1244.0
Cubuklu11,55.0,41.0,4.0,100.0,1739.0,45.763,50.847,3.39,59.0,53.03,43.939,3.03,66.0,A40,C40,B02,C47,0.258,0.339,0.306,0.288,0.271,0.288,213.0,52.91,4981.0,1916.0,1899.0,1878.0
iAmRe7,48.0,50.0,2.0,100.0,1259.0,53.226,46.774,0.0,62.0,42.857,55.556,1.587,63.0,C50,B01,C53,D07,0.3,0.5,0.183,0.219,0.547,0.141,277.0,48.49,235.0,1849.0,1694.0,1614.0
nmithun2013,64.0,35.0,0.0,42.0,1090.0,55.714,41.429,2.857,70.0,43.636,49.091,7.273,55.0,C48,C44,B10,C57,0.333,0.54,0.079,0.357,0.464,0.161,376.0,51.46,590.0,1184.0,1156.0,1152.0
Andrei1966,47.0,49.0,4.0,100.0,2101.0,45.161,50.0,4.839,62.0,46.032,50.794,3.175,63.0,B21,B10,D00,A02,0.246,0.439,0.298,0.19,0.444,0.365,290.0,45.0,62201.0,2540.0,2539.0,2535.0
remcobrobbel,43.0,56.0,1.0,100.0,1936.0,49.153,45.763,5.085,59.0,46.97,50.0,3.03,66.0,B40,D06,C24,A03,0.35,0.35,0.283,0.1,0.533,0.333,363.0,50.49,13235.0,2171.0,2156.0,2154.0
iam_not_real,66.0,28.0,4.0,63.0,2348.0,75.0,25.0,0.0,12.0,68.75,25.0,6.25,16.0,A01,B06,C34,C00,0.15,0.7,0.15,0.571,0.429,0.0,245.0,70.62,28.0,2443.0,2361.0,2331.0
quickbugs,0.0,100.0,0.0,9.0,1379.0,38.095,58.73,3.175,63.0,38.71,59.677,1.613,62.0,C00,C50,A45,C10,0.521,0.292,0.167,0.176,0.216,0.568,414.0,52.45,2491.0,2079.0,2026.0,1966.0
espadadura,46.0,51.0,3.0,100.0,1382.0,62.121,31.818,6.061,66.0,30.508,66.102,3.39,59.0,B06,A40,A53,B51,0.22,0.627,0.136,0.467,0.483,0.0,314.0,45.28,4510.0,1698.0,1584.0,1584.0
Rusiru12,0.0,100.0,0.0,3.0,1518.0,33.333,66.667,0.0,6.0,66.667,33.333,0.0,6.0,C46,B50,E30,A40,0.333,0.5,0.167,0.667,0.167,0.0,306.0,145.35,12.0,1633.0,1536.0,1513.0
Russo15,49.0,48.0,3.0,100.0,1152.0,45.312,54.688,0.0,64.0,52.459,44.262,3.279,61.0,C23,C40,D20,A21,0.262,0.344,0.377,0.403,0.129,0.468,270.0,45.02,842.0,1561.0,1540.0,1475.0
moha_abdiche,57.0,42.0,0.0,42.0,1030.0,23.529,76.471,0.0,17.0,48.0,48.0,4.0,25.0,B00,B20,B30,B12,0.375,0.5,0.125,0.32,0.4,0.2,347.0,75.27,42.0,1353.0,1152.0,1130.0
soumer22,43.0,54.0,3.0,100.0,1755.0,42.188,53.125,4.688,64.0,50.82,45.902,3.279,61.0,B21,B30,A36,C52,0.259,0.414,0.293,0.435,0.129,0.403,647.0,45.94,3290.0,2023.0,2015.0,2015.0
A_Menshikov,50.0,45.0,5.0,100.0,2309.0,56.452,38.71,4.839,62.0,44.444,47.619,7.937,63.0,B22,D07,B00,A16,0.095,0.683,0.206,0.056,0.815,0.111,366.0,47.16,1707.0,2534.0,2508.0,2490.0
jes-sus,48.0,50.0,2.0,100.0,784.0,41.27,55.556,3.175,63.0,48.387,48.387,3.226,62.0,C20,C41,A06,A21,0.518,0.25,0.196,0.277,0.431,0.292,415.0,45.19,379.0,1072.0,1047.0,933.0
anti0,65.0,31.0,4.0,100.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0
Tartaros_X,47.0,49.0,4.0,100.0,1092.0,53.125,46.875,0.0,64.0,40.984,55.738,3.279,61.0,A40,D00,C46,A01,0.407,0.339,0.22,0.141,0.719,0.062,295.0,45.13,2127.0,1255.0,1253.0,1252.0
GodBlessUsAll,45.0,54.0,1.0,100.0,1601.0,48.333,48.333,3.333,60.0,44.615,55.385,0.0,65.0,A00,A06,nonStandard,A15,0.241,0.414,0.31,0.462,0.4,0.092,259.0,45.0,3236.0,2012.0,1988.0,1973.0
rgreenofevanston,44.0,46.0,10.0,100.0,1689.0,43.75,46.875,9.375,64.0,40.984,49.18,9.836,61.0,C00,A40,A00,B06,0.038,0.755,0.189,0.133,0.7,0.167,373.0,45.05,5731.0,1990.0,1972.0,1969.0
AmrFahmy1976,56.0,43.0,1.0,100.0,1574.0,64.516,33.871,1.613,62.0,50.794,49.206,0.0,63.0,C22,C50,C55,B01,0.194,0.611,0.139,0.212,0.692,0.096,514.0,46.14,234.0,1738.0,1738.0,1715.0
Kursi_Berjalan,62.0,24.0,14.0,100.0,2082.0,62.903,30.645,6.452,62.0,52.381,39.683,7.937,63.0,C00,A40,B70,B46,0.319,0.292,0.389,0.568,0.295,0.136,286.0,60.14,302.0,2341.0,2295.0,2274.0
VL4DGR0M0V,45.0,41.0,12.0,72.0,1717.0,41.27,47.619,11.111,63.0,43.548,54.839,1.613,62.0,C44,C50,A06,C30,0.358,0.472,0.17,0.328,0.297,0.328,391.0,48.59,1770.0,1945.0,1931.0,1899.0
sami198511,34.0,56.0,9.0,100.0,1443.0,37.097,56.452,6.452,62.0,41.27,55.556,3.175,63.0,A01,B06,B30,C57,0.224,0.408,0.306,0.157,0.643,0.143,411.0,93.13,242.0,2148.0,2140.0,2138.0
YusufShoyimov,48.0,51.0,1.0,100.0,1611.0,54.098,44.262,1.639,61.0,40.625,57.812,1.562,64.0,C41,A40,C36,B12,0.441,0.356,0.169,0.125,0.5,0.359,250.0,45.21,4844.0,2484.0,2105.0,2077.0
TJmore,53.0,46.0,1.0,100.0,1276.0,58.73,41.27,0.0,63.0,40.323,58.065,1.613,62.0,B30,B20,B00,C47,0.306,0.532,0.161,0.242,0.661,0.032,281.0,45.03,5522.0,1625.0,1564.0,1542.0
Carl_Tap,47.0,52.0,1.0,100.0,1041.0,60.938,39.062,0.0,64.0,40.984,55.738,3.279,61.0,B10,A40,E00,B00,0.266,0.422,0.266,0.254,0.22,0.525,398.0,45.2,974.0,1601.0,1375.0,1197.0
advmo,42.0,51.0,7.0,100.0,1447.0,46.875,51.562,1.562,64.0,54.098,40.984,4.918,61.0,A40,D01,A45,E70,0.286,0.365,0.317,0.172,0.5,0.328,232.0,,,,,
drakula79,37.0,60.0,3.0,100.0,1598.0,34.848,59.091,6.061,66.0,42.373,52.542,5.085,59.0,D02,C00,A80,C10,0.229,0.312,0.375,0.171,0.671,0.157,269.0,,,,,
leanbow,62.0,37.0,0.0,24.0,1562.0,49.206,46.032,4.762,63.0,54.839,43.548,1.613,62.0,C50,D06,C54,B06,0.231,0.569,0.154,0.196,0.714,0.036,312.0,56.71,3531.0,1753.0,1636.0,1636.0
topulko2301,36.0,60.0,4.0,100.0,1739.0,38.462,58.462,3.077,65.0,31.667,65.0,3.333,60.0,C20,C40,C21,B21,0.25,0.341,0.364,0.325,0.351,0.325,284.0,45.1,42738.0,2495.0,2452.0,2449.0
Ofekmeister,46.0,53.0,1.0,100.0,1865.0,48.387,51.613,0.0,62.0,44.444,52.381,3.175,63.0,A00,B00,C50,C21,0.19,0.621,0.19,0.138,0.815,0.046,514.0,45.08,5957.0,2156.0,2154.0,2139.0
YaBdElGh,50.0,47.0,3.0,100.0,1764.0,42.188,48.438,9.375,64.0,42.623,54.098,3.279,61.0,C00,C21,C20,C41,0.208,0.491,0.264,0.344,0.5,0.125,397.0,45.04,7657.0,1883.0,1862.0,1845.0
Capral-ru,55.0,40.0,5.0,100.0,1493.0,52.459,40.984,6.557,61.0,29.688,62.5,7.812,64.0,C50,C44,A43,A42,0.294,0.451,0.216,0.246,0.569,0.185,356.0,45.09,5852.0,2071.0,1971.0,1948.0
Rafa3436,44.0,51.0,5.0,100.0,1731.0,46.032,53.968,0.0,63.0,53.226,45.161,1.613,62.0,A40,C41,B06,C00,0.258,0.5,0.226,0.258,0.581,0.113,242.0,45.02,34853.0,2225.0,2139.0,2134.0
myskontroll,56.0,42.0,2.0,100.0,1488.0,50.794,47.619,1.587,63.0,51.613,45.161,3.226,62.0,C23,A40,A02,C64,0.281,0.375,0.344,0.241,0.69,0.069,218.0,54.81,6721.0,1737.0,1677.0,1617.0
A_KaK_uHa4E,66.0,33.0,0.0,63.0,1848.0,52.459,42.623,4.918,61.0,54.688,43.75,1.562,64.0,D02,A40,A10,A11,0.343,0.358,0.284,0.148,0.519,0.333,289.0,45.08,6842.0,2374.0,2374.0,2328.0
ClearTheMind,40.0,60.0,0.0,100.0,1704.0,59.016,39.344,1.639,61.0,48.438,51.562,0.0,64.0,C00,A00,A08,A01,0.328,0.463,0.194,0.281,0.386,0.333,288.0,46.94,3091.0,2218.0,2042.0,2038.0
Semizers,52.0,40.0,8.0,100.0,1203.0,56.25,39.062,4.688,64.0,45.902,45.902,8.197,61.0,C20,C40,A20,A01,0.391,0.312,0.281,0.774,0.019,0.189,260.0,48.52,3750.0,1877.0,1821.0,1805.0
Breeze007,52.0,46.0,2.0,100.0,1559.0,42.188,54.688,3.125,64.0,57.377,40.984,1.639,61.0,B01,D00,D01,A01,0.274,0.387,0.306,0.4,0.55,0.017,214.0,45.05,6903.0,1822.0,1802.0,1789.0
AEPH_123,44.0,53.0,3.0,100.0,1202.0,71.429,26.984,1.587,63.0,70.968,29.032,0.0,62.0,B06,A00,A04,C22,0.73,0.135,0.124,0.6,0.029,0.143,285.0,170.24,172.0,1405.0,1332.0,1281.0
nima_btc,44.0,54.0,2.0,100.0,2158.0,58.462,41.538,0.0,65.0,46.667,50.0,3.333,60.0,A05,A04,B52,D01,0.288,0.606,0.091,0.14,0.667,0.035,301.0,45.18,331.0,2484.0,2433.0,2398.0
Nathanb0707,44.0,52.0,4.0,100.0,1379.0,50.794,44.444,4.762,63.0,50.0,43.548,6.452,62.0,C40,D00,C24,D10,0.381,0.333,0.254,0.527,0.345,0.109,378.0,45.1,12304.0,1587.0,1568.0,1563.0
INTPmbti,32.0,60.0,7.0,28.0,1505.0,53.846,38.462,7.692,13.0,16.667,77.778,5.556,18.0,A40,C00,A40,D21,0.3,0.6,0.1,0.158,0.684,0.053,287.0,67.87,31.0,1769.0,1691.0,1625.0
hadrbarshli,63.0,37.0,0.0,100.0,1176.0,55.102,44.898,0.0,49.0,52.941,47.059,0.0,51.0,C20,A00,C34,A02,0.481,0.444,0.037,0.196,0.174,0.63,356.0,45.11,101.0,1250.0,1206.0,1194.0
Mohamedm92,62.0,37.0,0.0,24.0,1464.0,65.574,29.508,4.918,61.0,54.688,40.625,4.688,64.0,C50,C47,C23,A05,0.373,0.48,0.147,0.25,0.545,0.205,511.0,60.4,159.0,1531.0,1481.0,1478.0
Myrlaca_Krakva,0.0,100.0,0.0,3.0,1500.0,0.0,100.0,0.0,2.0,0.0,0.0,0.0,0.0,C44,D02,C44,D02,0.0,0.0,0.0,1.0,0.0,0.0,316.0,500.0,2.0,0.0,0.0,0.0
Anilkumarkalarikkal,43.0,55.0,2.0,100.0,956.0,49.18,50.82,0.0,61.0,43.75,53.125,3.125,64.0,B00,A00,A06,B20,0.569,0.293,0.121,0.477,0.2,0.277,342.0,45.39,1065.0,1191.0,1189.0,1182.0
CaptureMyKing,49.0,50.0,1.0,100.0,1567.0,48.387,51.613,0.0,62.0,47.619,47.619,4.762,63.0,B01,C23,A21,C25,0.333,0.433,0.233,0.452,0.516,0.032,214.0,45.85,932.0,1662.0,1655.0,1649.0
koart72,43.0,53.0,4.0,100.0,1796.0,53.226,45.161,1.613,62.0,42.857,50.794,6.349,63.0,A02,C00,nonStandard,A06,0.15,0.617,0.217,0.283,0.583,0.133,376.0,45.38,1529.0,2347.0,2184.0,2155.0
mollusque1830,48.0,48.0,4.0,100.0,2361.0,53.226,38.71,8.065,62.0,42.857,53.968,3.175,63.0,B90,B30,B24,B46,0.1,0.583,0.317,0.241,0.69,0.069,260.0,45.1,4101.0,2650.0,2648.0,2639.0
sashakam38,41.0,56.0,3.0,100.0,1465.0,36.842,59.649,3.509,57.0,38.235,61.765,0.0,68.0,A00,B00,A01,E20,0.17,0.511,0.298,0.197,0.566,0.197,216.0,45.27,9914.0,1728.0,1720.0,1708.0
penjani,50.0,47.0,3.0,100.0,1971.0,52.459,47.541,0.0,61.0,34.375,60.938,4.688,64.0,C41,D00,B13,A03,0.185,0.611,0.204,0.074,0.706,0.206,393.0,45.33,11275.0,2234.0,2230.0,2220.0
d000t-1337,30.0,50.0,20.0,30.0,1836.0,50.0,43.75,6.25,64.0,52.459,44.262,3.279,61.0,C00,B30,B49,A50,0.25,0.453,0.281,0.418,0.255,0.327,290.0,45.01,311.0,1962.0,1959.0,1937.0
Nasri_Mustapha,49.0,50.0,1.0,100.0,1376.0,38.71,59.677,1.613,62.0,50.794,44.444,4.762,63.0,C50,C42,A30,C65,0.25,0.464,0.25,0.215,0.554,0.185,543.0,45.03,2148.0,1631.0,1551.0,1548.0
