user_op,op_win_rate,op_lose_rate,op_draw_rate,op_game_count,op_blitz_rating,op_white_win_rate,op_white_lose_rate,op_white_draw_rate,op_white_game_count,op_black_win_rate,op_black_lose_rate,op_black_draw_rate,op_black_game_count,op_top_eco,op_second_eco,op_top_winrate_eco,op_second_winrate_eco,op_mate_winrate,op_resign_winrate,op_time_winrate,op_mate_lossrate,op_resign_lossrate,op_time_lossrate,op_average_game_len,op_user_rating_deviation,op_blitz_total_games,op_best_win_1,op_best_win_2,op_best_win_3
KlimRem,49.0,45.0,6.0,100.0,2239.0,46.875,46.875,6.25,64.0,49.18,42.623,8.197,61.0,E70,B12,A82,A02,0.1,0.75,0.15,0.107,0.768,0.107,374.0,45.29,1468.0,2480.0,2461.0,2458.0
Demagischestaf,45.0,51.0,4.0,100.0,1536.0,45.902,50.82,3.279,61.0,42.188,53.125,4.688,64.0,D00,B10,D06,B50,0.218,0.455,0.291,0.508,0.262,0.2,239.0,45.22,965.0,2136.0,1952.0,1949.0
anirudhprakash,46.0,42.0,12.0,100.0,1263.0,50.794,44.444,4.762,63.0,43.548,50.0,6.452,62.0,C25,B01,A01,B30,0.322,0.458,0.203,0.441,0.508,0.034,217.0,45.18,3815.0,1353.0,1346.0,1342.0
meduza12,47.0,47.0,6.0,100.0,1715.0,50.794,44.444,4.762,63.0,41.935,53.226,4.839,62.0,A40,B20,D31,A51,0.414,0.345,0.241,0.262,0.311,0.41,281.0,45.09,3077.0,1932.0,1895.0,1862.0
Tenga232,47.0,47.0,6.0,100.0,2066.0,54.839,37.097,8.065,62.0,44.444,52.381,3.175,63.0,C00,C50,C14,C43,0.226,0.5,0.258,0.196,0.714,0.089,240.0,46.0,1929.0,2246.0,2242.0,2233.0
King_Ali_19,53.0,47.0,0.0,100.0,1759.0,46.667,53.333,0.0,60.0,49.231,43.077,7.692,65.0,C50,C37,D03,C55,0.233,0.617,0.117,0.167,0.283,0.533,391.0,46.03,3407.0,2023.0,1963.0,1951.0
BenPhlegm,49.0,47.0,4.0,100.0,1644.0,46.774,45.161,8.065,62.0,41.27,55.556,3.175,63.0,C44,D20,D85,D30,0.327,0.455,0.2,0.873,0.111,0.016,234.0,46.29,6000.0,1787.0,1785.0,1783.0
pardeepsinghnegi,72.0,24.0,3.0,87.0,2107.0,73.77,22.951,3.279,61.0,54.688,37.5,7.812,64.0,D00,B00,B32,C68,0.237,0.5,0.225,0.237,0.263,0.5,315.0,45.0,15103.0,2669.0,2620.0,2583.0
Miladys,49.0,50.0,1.0,100.0,1287.0,29.032,66.129,4.839,62.0,25.397,69.841,4.762,63.0,B01,C20,C40,C25,0.235,0.176,0.588,0.271,0.247,0.388,285.0,45.02,60306.0,2351.0,2330.0,2323.0
Rocketman1966,46.0,49.0,5.0,100.0,835.0,43.548,50.0,6.452,62.0,42.857,52.381,4.762,63.0,C50,C44,C60,A10,0.333,0.37,0.259,0.422,0.328,0.234,385.0,93.62,948.0,1024.0,1021.0,1018.0
johnnysmash,59.0,40.0,0.0,66.0,1583.0,37.5,60.938,1.562,64.0,57.377,42.623,0.0,61.0,B01,A40,A46,A06,0.271,0.441,0.254,0.185,0.815,0.0,307.0,57.0,14476.0,2121.0,2037.0,2031.0
AAAAlcantar,100.0,0.0,0.0,3.0,909.0,33.333,66.667,0.0,3.0,40.0,60.0,0.0,5.0,C20,A40,A40,C20,0.333,0.333,0.333,0.0,0.8,0.0,263.0,135.66,8.0,0.0,0.0,0.0
Ronniemiz1,47.0,48.0,5.0,100.0,1372.0,52.459,42.623,4.918,61.0,51.562,45.312,3.125,64.0,A01,B06,A00,A01,0.2,0.554,0.231,0.236,0.691,0.073,215.0,45.02,11581.0,1584.0,1574.0,1573.0
damonhp,54.0,45.0,1.0,100.0,1455.0,54.839,41.935,3.226,62.0,49.206,47.619,3.175,63.0,D01,B10,A43,A11,0.215,0.585,0.2,0.143,0.75,0.107,360.0,45.03,5610.0,1554.0,1543.0,1535.0
Dracodrex,10.0,85.0,5.0,20.0,719.0,0.0,90.0,10.0,10.0,20.0,80.0,0.0,10.0,B00,A40,B00,A06,0.0,0.0,1.0,0.824,0.0,0.176,265.0,98.7,20.0,0.0,0.0,0.0
mandarin-3,24.0,74.0,2.0,100.0,1703.0,37.5,59.375,3.125,64.0,24.59,72.131,3.279,61.0,A40,D02,D00,C10,0.462,0.256,0.256,0.317,0.512,0.11,232.0,45.8,572.0,2348.0,2250.0,2228.0
tykva777,48.0,52.0,0.0,100.0,1946.0,47.761,52.239,0.0,67.0,41.379,55.172,3.448,58.0,A01,C00,C14,A43,0.464,0.339,0.196,0.179,0.672,0.149,205.0,46.69,789.0,2524.0,2462.0,2448.0
Besp,35.0,60.0,3.0,84.0,1186.0,53.03,42.424,4.545,66.0,40.678,57.627,1.695,59.0,C00,C34,C39,C31,0.542,0.237,0.186,0.194,0.177,0.613,293.0,54.88,2803.0,1795.0,1719.0,1715.0
Raajkopantovic56,49.0,42.0,9.0,100.0,1875.0,49.18,47.541,3.279,61.0,45.312,43.75,10.938,64.0,C21,B00,A06,C43,0.237,0.508,0.237,0.053,0.825,0.123,378.0,45.06,693.0,2041.0,2001.0,1985.0
Alexandre_Leao,41.0,53.0,6.0,100.0,1493.0,45.161,48.387,6.452,62.0,49.206,46.032,4.762,63.0,D00,B10,A43,C20,0.169,0.559,0.22,0.119,0.746,0.119,351.0,45.02,11740.0,1677.0,1676.0,1672.0
Bikshu,49.0,51.0,0.0,100.0,1438.0,55.385,43.077,1.538,65.0,50.0,46.667,3.333,60.0,D00,A40,A45,B01,0.439,0.303,0.212,0.25,0.446,0.232,243.0,45.09,15272.0,2230.0,2010.0,2000.0
PADI_REBORN2021,40.0,59.0,1.0,100.0,1844.0,49.18,50.82,0.0,61.0,25.0,65.625,9.375,64.0,B01,A40,A41,A45,0.239,0.348,0.391,0.589,0.055,0.342,281.0,45.02,10906.0,2535.0,2408.0,2341.0
deperdioalrio,46.0,51.0,3.0,100.0,2041.0,57.143,42.857,0.0,63.0,38.71,54.839,6.452,62.0,B30,A43,A04,A50,0.133,0.6,0.25,0.279,0.721,0.0,337.0,45.03,18139.0,2475.0,2424.0,2339.0
enigmaff0,0.0,100.0,0.0,1.0,1500.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,C20,,C20,,0.0,0.0,0.0,0.0,0.0,1.0,31.0,500.0,1.0,0.0,0.0,0.0
Jandrade72,41.0,55.0,4.0,100.0,1947.0,40.625,56.25,3.125,64.0,39.344,57.377,3.279,61.0,B00,B22,E60,C41,0.2,0.56,0.24,0.099,0.859,0.042,332.0,46.22,9761.0,2309.0,2263.0,2249.0
mrdevinney,41.0,54.0,5.0,100.0,1330.0,42.857,50.794,6.349,63.0,43.548,51.613,4.839,62.0,C25,C50,C62,C30,0.204,0.481,0.315,0.5,0.234,0.266,259.0,45.02,16625.0,1572.0,1547.0,1545.0
Reginaldopadua,49.0,46.0,5.0,100.0,751.0,43.284,52.239,4.478,67.0,43.103,51.724,5.172,58.0,A40,D00,A05,E90,0.315,0.296,0.37,0.138,0.4,0.446,260.0,62.8,216.0,1068.0,1052.0,966.0
general_VVS,51.0,45.0,4.0,100.0,1760.0,45.902,45.902,8.197,61.0,59.375,39.062,1.562,64.0,C41,C45,D20,D01,0.288,0.53,0.167,0.189,0.509,0.283,406.0,45.1,3339.0,1899.0,1874.0,1813.0
sviky,51.0,45.0,4.0,100.0,1813.0,53.226,41.935,4.839,62.0,44.444,52.381,3.175,63.0,C50,C55,B57,B32,0.213,0.59,0.148,0.322,0.542,0.136,340.0,45.12,19929.0,2314.0,2176.0,2163.0
luanvrella,45.0,46.0,9.0,100.0,1968.0,39.683,47.619,12.698,63.0,46.774,41.935,11.29,62.0,B90,A45,E69,B54,0.148,0.5,0.352,0.143,0.25,0.589,445.0,45.03,32991.0,2395.0,2319.0,2315.0
Alexander_Yanev,40.0,60.0,0.0,30.0,1745.0,34.426,60.656,4.918,61.0,25.0,70.312,4.688,64.0,B00,C44,D30,C50,0.297,0.541,0.135,0.244,0.634,0.037,202.0,46.23,512.0,2334.0,2331.0,2282.0
Avneesh2010,50.0,48.0,2.0,100.0,1800.0,60.317,36.508,3.175,63.0,46.774,53.226,0.0,62.0,A40,B12,A20,B50,0.284,0.567,0.149,0.036,0.696,0.268,219.0,70.95,12956.0,2211.0,2207.0,2151.0
Evgeni1969,41.0,57.0,1.0,100.0,1562.0,41.538,58.462,0.0,65.0,43.333,53.333,3.333,60.0,C40,B01,C25,B04,0.302,0.528,0.151,0.043,0.914,0.0,162.0,45.19,20912.0,1915.0,1912.0,1911.0
pierre255,50.0,50.0,0.0,6.0,821.0,44.928,49.275,5.797,69.0,51.786,41.071,7.143,56.0,C20,D00,B03,C28,0.35,0.317,0.267,0.456,0.263,0.175,337.0,93.51,160.0,942.0,893.0,885.0
Maugli1971,56.0,44.0,0.0,100.0,1562.0,33.846,63.077,3.077,65.0,46.667,50.0,3.333,60.0,nonStandard,D00,C53,C28,0.4,0.38,0.2,0.099,0.493,0.366,316.0,86.38,508.0,2101.0,2073.0,2021.0
surm00,43.0,55.0,2.0,100.0,1318.0,54.098,42.623,3.279,61.0,50.0,46.875,3.125,64.0,D00,B20,B56,A00,0.2,0.646,0.154,0.107,0.875,0.018,268.0,45.06,2401.0,1553.0,1552.0,1500.0
vau-ka,54.0,43.0,3.0,100.0,1577.0,55.556,41.27,3.175,63.0,54.839,41.935,3.226,62.0,C30,C50,B06,C62,0.406,0.551,0.043,0.058,0.865,0.077,295.0,45.09,2684.0,1686.0,1644.0,1643.0
Aslanmaster,35.0,63.0,2.0,100.0,1744.0,30.645,66.129,3.226,62.0,25.397,74.603,0.0,63.0,A40,D00,A01,B10,0.514,0.257,0.171,0.159,0.489,0.318,162.0,45.09,5975.0,2449.0,2399.0,2398.0
FeroceGame,60.0,40.0,0.0,30.0,2547.0,88.525,11.475,0.0,61.0,82.812,12.5,4.688,64.0,B21,A40,A01,C89,0.206,0.626,0.168,0.0,0.733,0.267,227.0,122.75,2486.0,2466.0,2441.0,2381.0
zagorbonelli,63.0,32.0,5.0,100.0,1455.0,60.938,34.375,4.688,64.0,72.131,26.23,1.639,61.0,C00,C02,C40,C10,0.289,0.518,0.193,0.053,0.895,0.053,321.0,52.12,163.0,1509.0,1478.0,1476.0
D-Artist,59.0,39.0,2.0,100.0,1904.0,69.492,27.119,3.39,59.0,54.545,43.939,1.515,66.0,B20,B21,C45,B94,0.312,0.286,0.338,0.156,0.356,0.467,339.0,45.5,3935.0,2338.0,2325.0,2305.0
Wael2000,52.0,44.0,4.0,100.0,1478.0,50.0,43.548,6.452,62.0,50.794,49.206,0.0,63.0,D00,C20,C65,C50,0.333,0.444,0.127,0.121,0.483,0.362,377.0,45.61,1004.0,1598.0,1577.0,1572.0
Bahtiyar34,43.0,49.0,8.0,100.0,1475.0,44.262,44.262,11.475,61.0,46.875,45.312,7.812,64.0,C41,C50,B44,B50,0.246,0.526,0.193,0.411,0.554,0.018,319.0,45.18,3399.0,1575.0,1554.0,1551.0
Vladimir110215,49.0,48.0,3.0,100.0,1288.0,45.588,52.941,1.471,68.0,47.368,47.368,5.263,57.0,D20,C50,D31,D38,0.517,0.328,0.069,0.286,0.492,0.206,354.0,47.46,708.0,1816.0,1662.0,1645.0
DBHFB,42.0,42.0,14.0,21.0,1338.0,46.154,43.077,10.769,65.0,36.667,60.0,3.333,60.0,C44,B01,C54,B28,0.481,0.404,0.096,0.141,0.578,0.281,255.0,48.0,4050.0,1766.0,1721.0,1707.0
vasac4369,42.0,51.0,7.0,100.0,1214.0,48.333,46.667,5.0,60.0,49.231,41.538,9.231,65.0,D00,C20,C22,A04,0.508,0.279,0.197,0.218,0.509,0.273,246.0,45.98,670.0,1333.0,1322.0,1309.0
papuzno,50.0,48.0,2.0,100.0,1774.0,53.968,42.857,3.175,63.0,38.71,59.677,1.613,62.0,D00,A40,A43,B13,0.121,0.431,0.397,0.062,0.891,0.031,199.0,45.04,5017.0,2159.0,2137.0,2108.0
kalenica3,51.0,42.0,7.0,100.0,1571.0,47.619,44.444,7.937,63.0,37.097,53.226,9.677,62.0,A00,C41,B40,A05,0.132,0.509,0.34,0.967,0.0,0.033,232.0,45.01,4456.0,1701.0,1692.0,1682.0
Hector_14,55.0,37.0,8.0,100.0,1670.0,58.73,34.921,6.349,63.0,45.161,48.387,6.452,62.0,D02,A40,A45,C58,0.262,0.569,0.138,0.192,0.404,0.288,382.0,45.06,9291.0,1898.0,1858.0,1855.0
ggmyboy07,49.0,48.0,3.0,100.0,1939.0,50.0,46.774,3.226,62.0,55.556,41.27,3.175,63.0,C00,C10,A05,C40,0.212,0.545,0.227,0.145,0.527,0.327,276.0,45.08,1463.0,2573.0,2263.0,2251.0
reversetops,42.0,57.0,0.0,84.0,1031.0,46.667,50.0,3.333,60.0,46.154,47.692,6.154,65.0,C42,C44,B10,D02,0.276,0.5,0.207,0.049,0.738,0.197,313.0,63.01,2002.0,1366.0,1365.0,1359.0
castigodivino,47.0,51.0,2.0,100.0,1423.0,60.938,37.5,1.562,64.0,47.541,50.82,1.639,61.0,A00,A40,D04,B33,0.471,0.353,0.162,0.345,0.345,0.273,336.0,45.07,5174.0,1857.0,1737.0,1710.0
BasamRov,44.0,51.0,5.0,100.0,1638.0,50.794,46.032,3.175,63.0,38.71,51.613,9.677,62.0,A00,B06,C44,A10,0.321,0.411,0.25,0.328,0.41,0.18,210.0,45.0,619.0,1899.0,1882.0,1829.0
ugomiller,61.0,36.0,3.0,100.0,1404.0,67.188,31.25,1.562,64.0,55.738,39.344,4.918,61.0,D00,B01,D01,A00,0.221,0.26,0.481,0.409,0.364,0.227,266.0,108.77,9924.0,1477.0,1429.0,1416.0
AGonzalez-SDMS,0.0,100.0,0.0,3.0,477.0,0.0,100.0,0.0,2.0,0.0,100.0,0.0,1.0,A43,A02,A43,A02,0.0,0.0,0.0,0.667,0.333,0.0,222.0,220.17,3.0,0.0,0.0,0.0
nAv23,43.0,48.0,9.0,100.0,1133.0,53.968,39.683,6.349,63.0,43.548,48.387,8.065,62.0,B01,A00,C49,A04,0.443,0.508,0.033,0.109,0.873,0.018,321.0,159.5,2266.0,0.0,0.0,0.0
ArtemyKostenko,45.0,52.0,3.0,100.0,1369.0,50.0,48.387,1.613,62.0,46.032,50.794,3.175,63.0,B40,B20,C01,C58,0.483,0.433,0.067,0.21,0.71,0.032,362.0,45.88,3308.0,1911.0,1689.0,1584.0
swapnilb20,47.0,52.0,1.0,100.0,1329.0,53.226,46.774,0.0,62.0,30.159,66.667,3.175,63.0,A01,B06,C00,A01,0.288,0.558,0.077,0.07,0.873,0.056,261.0,45.25,1153.0,1668.0,1641.0,1630.0
Chris41371,39.0,59.0,2.0,100.0,1843.0,53.125,43.75,3.125,64.0,49.18,49.18,1.639,61.0,A00,D30,E91,D00,0.188,0.344,0.438,0.31,0.448,0.241,299.0,52.01,950.0,1926.0,1909.0,1908.0
email2alexpandian,42.0,56.0,2.0,100.0,1545.0,63.492,33.333,3.175,63.0,48.387,50.0,1.613,62.0,C20,C50,B06,C26,0.4,0.286,0.3,0.423,0.269,0.288,254.0,45.08,24895.0,1791.0,1782.0,1773.0
CHINESE10,55.0,43.0,2.0,100.0,1508.0,45.312,54.688,0.0,64.0,44.262,54.098,1.639,61.0,B01,D00,D02,A45,0.089,0.768,0.107,0.074,0.838,0.029,323.0,45.02,34036.0,1953.0,1914.0,1906.0
choussy,41.0,49.0,10.0,100.0,1523.0,36.508,57.143,6.349,63.0,43.548,50.0,6.452,62.0,C44,C60,C45,B02,0.26,0.52,0.18,0.299,0.672,0.03,360.0,45.45,8051.0,1701.0,1690.0,1687.0
