user_id,win_rate,lose_rate,draw_rate,game_count,blitz_rating
mbagwat37,45.0,53.0,2.0,100.0,1329.0
AntonioGallagher,35.0,63.0,2.0,100.0,1593.0
pabbl0,41.0,55.0,2.0,43.0,1187.0
K12ks,53.0,42.0,5.0,100.0,1108.0
ChessBoard_sue,42.0,57.0,0.0,7.0,988.0
rascolnikow,52.0,48.0,0.0,100.0,1895.0
m_kaizer,54.0,39.0,7.0,100.0,1924.0
yumolisashi,51.0,37.0,12.0,100.0,1790.0
Yvanne,52.0,48.0,0.0,100.0,1196.0
GoldRules,57.0,38.0,4.0,100.0,2165.0
Wowa35,46.0,51.0,3.0,100.0,1452.0
Kostya_95,46.0,51.0,3.0,100.0,1541.0
abosami93,53.0,41.0,6.0,100.0,1358.0
MAhmed2014,48.0,51.0,1.0,100.0,2006.0
Alirezagorgi,51.0,45.0,4.0,100.0,1512.0
eugene06,52.0,38.0,9.0,63.0,1697.0
Yassvi16,42.0,47.0,10.0,57.0,2007.0
TheBishopR,100.0,0.0,0.0,3.0,1544.0
Nafez70,44.0,52.0,4.0,100.0,1811.0
I0OZ,43.0,53.0,4.0,100.0,1539.0
baalth,54.0,45.0,1.0,100.0,1823.0
Akshay-kumar,100.0,0.0,0.0,3.0,1484.0
HuanCarlos,37.0,55.0,8.0,100.0,1993.0
MangoPeel1,42.0,56.0,2.0,100.0,1268.0
cta94,57.0,42.0,0.0,21.0,1431.0
LuisWang7,34.0,65.0,0.0,69.0,1611.0
ChadAashu0,47.0,51.0,2.0,100.0,1673.0
RajjSinghh,53.0,44.0,3.0,100.0,1949.0
s7alamen,43.0,50.0,7.0,100.0,1794.0
tsyrenerdyneev19,48.0,50.0,2.0,100.0,1744.0
Lukas_Karlik,47.0,48.0,5.0,100.0,2254.0
birkern,28.0,66.0,6.0,100.0,2085.0
szepy,55.0,41.0,4.0,100.0,2138.0
Vitte83,46.0,48.0,6.0,100.0,1761.0
jasapin,49.0,48.0,3.0,100.0,1871.0
art06,54.0,41.0,5.0,100.0,1705.0
poojapooja22H,50.0,50.0,0.0,12.0,964.0
HenningJungblut,48.0,50.0,2.0,100.0,1458.0
sergio101,40.0,53.0,6.0,45.0,1825.0
Tatlin,50.0,48.0,2.0,100.0,1822.0
mouradattaque,49.0,44.0,7.0,100.0,1860.0
uers,42.0,50.0,8.0,100.0,1277.0
GhMaster,50.0,50.0,0.0,100.0,2263.0
JustMe2001,49.0,47.0,4.0,100.0,1793.0
Run_the_jewelz,75.0,25.0,0.0,12.0,2013.0
arifemre06,44.0,55.0,1.0,100.0,1471.0
slurtybartfast,43.0,56.0,1.0,100.0,872.0
EbikeChess,42.0,56.0,1.0,100.0,1695.0
Izuael,47.0,49.0,4.0,100.0,1272.0
IRON-MAIDEM,47.0,49.0,4.0,100.0,1785.0
Suspil,53.0,41.0,6.0,100.0,2039.0
Stalker2000-3000,40.0,56.0,4.0,100.0,1879.0
roryd97,46.0,50.0,3.0,78.0,1824.0
Masum_Billah251166,57.0,41.0,1.0,100.0,1953.0
mooorkus,54.0,43.0,3.0,100.0,1577.0
Erich_Eliskases,38.0,61.0,0.0,63.0,2386.0
rhaiyer,55.0,43.0,2.0,100.0,1839.0
krishna2241,59.0,39.0,2.0,100.0,1879.0
irremissible,47.0,43.0,10.0,100.0,2174.0
Knight_Rider_B2,47.0,47.0,5.0,51.0,850.0
The_Riddlerrrr,45.0,51.0,4.0,100.0,1850.0
Anatol_yr,50.0,50.0,0.0,18.0,1729.0
javiermarinnanez,33.0,63.0,3.0,99.0,1243.0
painKillerL,18.0,81.0,0.0,33.0,1645.0
mimi1122,47.0,50.0,3.0,100.0,1863.0
axldown,45.0,49.0,6.0,100.0,1457.0
MICHAELIS2,56.0,31.0,13.0,100.0,2328.0
Arvindsinh,49.0,45.0,6.0,100.0,1835.0
cibh,42.0,54.0,4.0,100.0,1861.0
ahmadjubeh,38.0,55.0,7.0,100.0,1372.0
Alakxyadas,69.0,30.0,0.0,69.0,1910.0
Voara21,25.0,75.0,0.0,24.0,1947.0
Atsch52222,53.0,43.0,4.0,100.0,1580.0
Dehghani12345,50.0,48.0,2.0,100.0,1694.0
zGnarF,55.0,44.0,1.0,100.0,1690.0
jugaduboi,37.0,55.0,8.0,100.0,1251.0
Surendra0506,0.0,100.0,0.0,3.0,1742.0
capkrnch,47.0,30.0,23.0,100.0,2372.0
ceresith,33.0,66.0,0.0,9.0,1917.0
