user_id,win_rate,lose_rate,draw_rate,game_count,blitz_rating
ecakmak83,46.0,52.0,2.0,100.0,1414.0
valenca07,51.0,46.0,3.0,100.0,1503.0
Guideon_Schalt,75.0,25.0,0.0,12.0,1903.0
unic0de,47.0,52.0,1.0,100.0,1343.0
seaf88,7.0,88.0,5.0,100.0,1500.0
USER-165,38.0,61.0,0.0,93.0,1440.0
egeerlof,100.0,0.0,0.0,3.0,1707.0
Indigo_chess,47.0,47.0,6.0,100.0,1991.0
Wertwe,47.0,51.0,2.0,100.0,1517.0
lacoberta,42.0,53.0,5.0,100.0,1759.0
Butarantino300000,43.0,54.0,3.0,100.0,1523.0
itfavor,57.0,42.0,0.0,100.0,1936.0
ebsta1982,51.0,48.0,1.0,100.0,1898.0
WXW888,55.0,33.0,11.0,27.0,1644.0
liranfa,46.0,49.0,5.0,100.0,1637.0
sachinreemz,56.0,39.0,5.0,100.0,1334.0
Juggrnaut,50.0,45.0,5.0,100.0,1957.0
Rashoon,60.0,36.0,4.0,100.0,1712.0
shahdhai,42.0,42.0,14.0,21.0,1144.0
VARANNIK,56.0,43.0,1.0,100.0,1717.0
HERIS_BKD,42.0,53.0,5.0,100.0,1933.0
boucha1234567,45.0,50.0,5.0,100.0,784.0
Gostislav24,63.0,35.0,2.0,100.0,1738.0
DrGersch,50.0,25.0,25.0,12.0,1656.0
swiss62,40.0,56.0,3.0,100.0,2008.0
candiiiiiiii,56.0,42.0,1.0,100.0,1306.0
rrpeter,50.0,48.0,2.0,100.0,1127.0
EgorKurulev,25.0,75.0,0.0,12.0,2071.0
ilyaBeast007,36.0,55.0,9.0,100.0,2100.0
e4_destroyer,63.0,34.0,3.0,100.0,2307.0
Chessmaniopathic,49.0,42.0,9.0,100.0,2019.0
Piecuch,67.0,31.0,2.0,100.0,1780.0
AmmonD,52.0,40.0,8.0,100.0,1277.0
Laima1975,46.0,49.0,5.0,100.0,1667.0
mbtopstar,66.0,33.0,0.0,9.0,1133.0
Stiven2011,53.0,44.0,3.0,100.0,1923.0
kost76,56.0,33.0,10.0,100.0,2328.0
Winawer86,50.0,40.0,10.0,30.0,2309.0
Bergschneck,47.0,50.0,3.0,100.0,1911.0
danialanil,48.0,51.0,1.0,100.0,1937.0
Abdallah_1000,61.0,38.0,0.0,93.0,1721.0
Mohammed_daozawy,48.0,44.0,8.0,100.0,1814.0
Michael_198844444444,60.0,40.0,0.0,15.0,1701.0
scottyfaulks,49.0,51.0,0.0,100.0,1344.0
Orion43,54.0,35.0,11.0,100.0,2598.0
kasparov26301384,45.0,50.0,5.0,100.0,1976.0
AlaaSharman,33.0,60.0,7.0,100.0,2167.0
P-Fermat,40.0,53.0,7.0,100.0,2153.0
LONDONTIRAMO,83.0,16.0,0.0,18.0,2022.0
itschess01banyediaq,60.0,40.0,0.0,90.0,1772.0
Ray_Cobos,49.0,50.0,1.0,100.0,1455.0
mrcube7alt,40.0,56.0,4.0,100.0,947.0
ivanyjoha,39.0,52.0,9.0,100.0,1065.0
Pticornichon,25.0,75.0,0.0,24.0,1403.0
goodplayer1000,56.0,43.0,0.0,100.0,1617.0
Grumpy_1,66.0,25.0,7.0,81.0,2029.0
lovelyo,22.0,77.0,0.0,66.0,1078.0
JuPi24,43.0,46.0,11.0,100.0,1891.0
L0RD_PANTHEON,44.0,55.0,1.0,100.0,1912.0
Lagoa-de-obidos,52.0,44.0,4.0,100.0,1920.0
Kenorb666,0.0,100.0,0.0,3.0,1666.0
RusSwed,36.0,61.0,3.0,100.0,1776.0
Nizarmustafa,60.0,38.0,2.0,100.0,1900.0
IHope0,46.0,44.0,10.0,100.0,2119.0
Pavelrousseau,51.0,44.0,5.0,100.0,1811.0
frednthechess11,50.0,48.0,2.0,100.0,1735.0
sewin-16,53.0,46.0,0.0,45.0,2468.0
lilyum,34.0,60.0,6.0,100.0,1522.0
Sergio_63,44.0,52.0,4.0,100.0,1559.0
Sherihan_Azzam2,34.0,62.0,4.0,100.0,1728.0
Gabriel1005,40.0,50.0,10.0,30.0,1847.0
