user_id,user_resign_winrate,user_time_winrate,user_average_game_len,user_rating_deviation,op_id,op_resign_winrate,op_time_winrate,op_average_game_len,op_rating_deviation,game_result,op_average_best_win,user_average_best_win,best_win_diff,user_white_performance,user_black_performance,op_white_performance,op_black_performance,combined_draw4,user_time_performance,op_time_performance,user_performace,op_performance,rating_diff,user_resign_perf,op_resign_perf,game_count_ratio
Jalej0,0.367,0.217,231.0,45.48,YahyaAlakbarov,0.559,0.102,231.0,58.69,-1.0,1928.6666666666667,2016.0,-197.0,3172.774174,1497.3636459999998,3010.4343750000003,1702.393392,4.40725,0.040362,0.016728,2115.0,2300.0,-38.0,0.186436,0.25658100000000006,1.0
vjaymore,0.554,0.077,318.0,45.18,GoodSpoort,0.512,0.14,346.0,77.18,-1.0,1733.6666666666667,1876.3333333333333,-61.0,2661.3,2832.7305859999997,1923.0933149999998,1987.084,3.2615,0.005698,0.0217,2916.0,1845.0,-62.0,0.3080240000000001,0.317952,1.0
e4e5onlytsjq99qg2hq,0.483,0.05,235.0,45.81,Vladimir_Galochkin,0.472,0.113,270.0,45.1,-1.0,1279.3333333333333,1230.6666666666667,57.0,2616.63848,2602.549262,2132.2689450000003,2207.778355,2.024,0.0037,0.0018080000000000001,2116.0,2597.0,-52.0,0.19899599999999998,0.44981599999999994,1.0
youcef_blh08,0.393,0.295,227.0,45.15,DuaaShad,0.25,0.383,260.0,45.02,-1.0,1211.3333333333333,1354.3333333333333,-137.0,2265.058935,2488.891111,2083.35,2485.208284,3.237,0.07729,0.17886100000000002,2208.0,2254.0,24.0,0.135192,0.0125,1.0
DanangDwi_270,0.296,0.259,326.0,68.15,Rodrivivo,0.444,0.19,256.0,45.49,-1.0,1854.6666666666667,2109.3333333333335,-454.0,2474.9044949999998,1736.13125,3204.340625,2247.523374,1.59425,0.148666,0.15371,2000.0,2800.0,33.0,0.0,0.012876,1.0
JoseRaulAliojin,0.5,0.056,212.0,45.16,Erdyneev,0.443,0.344,228.0,45.59,-1.0,1441.6666666666667,1863.0,-480.0,1900.15872,2016.6587040000002,2404.331512,2661.3,5.1985,0.0019600000000000004,0.1376,2200.0,2444.0,63.0,0.2105,0.18384499999999998,1.0
kjartanmi2,0.475,0.295,202.0,45.01,redjeb,0.492,0.115,221.0,45.04,-1.0,1915.3333333333333,1963.6666666666667,-36.0,1961.4676900000002,2660.6405139999997,1899.74064,2731.542924,3.9939999999999998,0.06991499999999999,0.0058649999999999996,2116.0,2597.0,-26.0,0.24937499999999999,0.40048799999999996,1.0
shakrovsky,0.489,0.021,475.0,66.56,Boldness2,0.68,0.06,596.0,45.08,1.0,1489.0,1383.0,288.0,2248.2353630000002,1663.286996,2653.751764,2094.7389799999996,5.628,0.0019320000000000001,0.007319999999999999,1012.0,3572.0,47.0,0.0,0.34952000000000005,0.63
frmio94p3,0.59,0.218,257.0,178.77,Humaxity,0.667,0.267,227.0,167.55,1.0,2521.0,2312.0,125.0,1902.170726,882.0625,2593.231502,1813.675592,6.79225,0.016132,0.10546500000000002,1587.0,1562.0,-224.0,0.48084999999999994,0.386193,1.0
gilbert1989,0.519,0.333,274.0,45.0,jamesblunder,0.437,0.338,249.0,45.0,-1.0,2298.6666666666665,2364.0,-64.0,1664.1066050000002,1633.394854,2995.397235,2867.411828,4.8069999999999995,0.0,0.083148,1520.0,2754.0,33.0,0.378351,0.242098,1.0
bahl1,0.707,0.172,576.0,45.21,mousai1337,0.618,0.235,566.0,45.12,-1.0,1943.0,2015.0,-162.0,1786.6213400000001,2148.1753439999998,2460.3,3121.584516,2.8114999999999997,0.006535999999999999,0.07708,2484.0,2112.0,-58.0,0.45389399999999996,0.279954,1.0
jaynosch,0.549,0.255,237.0,45.12,APOVIS,0.406,0.219,231.0,46.0,1.0,1568.3333333333333,1730.3333333333333,-166.0,1810.62154,1768.70839,3174.636508,2622.2734649999998,3.61625,0.06018,0.033945,2256.0,2303.0,116.0,0.24979500000000002,0.12586,1.0
Shingouz,0.571,0.214,467.0,45.72,Parelina1,0.702,0.158,485.0,45.52,-1.0,1497.3333333333333,1880.3333333333333,-340.0,2494.597742,2307.6780219999996,2195.32569,2408.6238710000002,2.7720000000000002,0.031886,0.0,2585.0,2160.0,57.0,0.43453099999999995,0.557388,1.0
dimaA312,0.167,0.333,339.0,72.76,ird4me,0.262,0.18,394.0,45.01,-1.0,1106.0,807.6666666666666,402.0,1966.1972349999999,730.1600000000001,4285.725,2496.195315,4.8535,0.09090900000000002,0.03852,1450.0,3264.0,-122.0,0.045591000000000007,0.12156800000000001,0.41
Olrac26,0.455,0.348,273.0,45.0,Max_Atn,0.446,0.214,258.0,45.46,-1.0,2002.3333333333333,2052.6666666666665,-81.0,2539.7,2508.964516,2073.721659,1930.36298,4.8004999999999995,0.110316,0.061203999999999995,2226.0,2240.0,9.0,0.189735,0.214972,1.0
danonedanisimo,0.597,0.149,566.0,45.0,ALANBZAROV88,0.683,0.048,397.0,45.27,1.0,2005.6666666666667,1739.3333333333333,272.0,2699.772804,2037.071852,2592.551852,2014.883598,2.807,0.008046,0.025248000000000003,2193.0,2496.0,-3.0,0.511629,0.251344,1.0
Tejo78,0.276,0.069,428.0,118.0,Fedorov-1965,0.54,0.238,317.0,45.08,1.0,1895.0,1684.3333333333333,109.0,2795.004969,2518.592804,2158.807196,1877.1689440000002,2.4067499999999997,0.003726,0.16659999999999997,3036.0,1716.0,12.0,0.18740400000000004,0.135,0.18
Nonseasonal,0.579,0.175,474.0,45.21,Marietje,0.714,0.161,548.0,45.03,0.0,1596.0,1575.0,-65.0,2808.749879,1779.05044,2661.3,1794.477724,5.114750000000001,0.016975,0.023344999999999998,2640.0,1886.0,-16.0,0.30802799999999997,0.391272,1.0
bug6274,0.476,0.254,211.0,45.3,Olikeje,0.492,0.237,238.0,45.02,-1.0,1529.3333333333333,1457.0,76.0,2827.608518,2339.34624,2258.653812,2187.508518,2.01025,0.059436,0.024173999999999998,2756.0,1880.0,-55.0,0.193256,0.216972,1.0
zikica96,0.439,0.293,215.0,65.26,santopiripillo,0.453,0.188,253.0,58.82,-1.0,2084.6666666666665,2291.0,-211.0,1853.2908029999996,1065.337926,3671.833144,3100.88394,3.13225,0.113977,0.013536,1178.0,4020.0,-24.0,0.16243,0.278142,1.0
Sienty-a,0.449,0.145,307.0,45.22,AhaULose,0.419,0.452,369.0,45.05,1.0,1370.0,1435.0,-52.0,2921.634846,2295.1,2538.333633,1785.703125,2.38175,0.036829999999999995,0.07548400000000001,2592.0,2244.0,96.0,0.20564200000000002,0.29497599999999996,1.0
