user_black_game_count,user_black_draw_rate,user_black_win_rate,user_blitz_rating,user_draw_rate,user_game_count,user_highest_blitz_opponent_rating,user_win_rate,user_rating_deviation,user_total_games_played,user_white_draw_rate,user_white_game_count,user_white_win_rate,op_black_game_count,op_black_draw_rate,op_black_win_rate,op_blitz_rating,op_draw_rate,op_game_count,op_highest_blitz_opponent_rating,op_win_rate,op_rating_deviation,op_total_games_played,op_white_draw_rate,op_white_game_count,op_white_win_rate,game_result,user_id,user_op
48.0,0.0,52.083333333333336,1768.0,1.0,100.0,2221.0,50.0,45.03,13599,8.0,50.0,46.0,51.0,5.88235294117647,33.33333333333333,1768.0,3.0,100.0,2014.0,40.0,45.01,526,0.0,49.0,46.93877551020408,0,engsultan00,Kimirov
48.0,4.166666666666666,37.5,1460.0,7.0,100.0,1574.0,50.0,45.16,797,5.555555555555555,54.0,55.55555555555556,51.0,5.88235294117647,43.13725490196079,1539.0,4.0,100.0,1862.0,45.0,45.06,4784,2.0408163265306123,49.0,44.89795918367347,1,rsk86,MichBSS
50.0,4.0,44.0,1743.0,3.0,100.0,1922.0,47.0,45.0,10282,0.0,50.0,54.0,52.0,3.8461538461538463,46.15384615384615,1742.0,4.0,100.0,1945.0,49.0,45.04,6852,4.166666666666666,48.0,56.25,-1,mercanet,r_torrez
44.0,4.545454545454546,38.63636363636363,1016.0,0.0,12.0,1644.0,25.0,92.07,566,1.7857142857142856,56.0,44.642857142857146,52.0,7.6923076923076925,46.15384615384615,1031.0,8.0,100.0,1259.0,48.0,45.04,462,8.16326530612245,49.0,46.93877551020408,-1,bhavyamarella,Aras2065
50.0,6.0,38.0,1785.0,7.0,100.0,2220.0,41.0,45.31,6754,6.25,48.0,43.75,51.0,5.88235294117647,66.66666666666666,1937.0,9.0,100.0,1972.0,62.0,45.25,107,4.081632653061225,49.0,75.51020408163265,1,cironine999,Cyrano_64
51.0,0.0,56.86274509803921,1439.0,1.0,100.0,1837.0,53.0,45.76,4499,2.083333333333333,48.0,47.91666666666667,50.0,4.0,44.0,1554.0,3.0,100.0,1723.0,48.0,45.04,11017,2.0,50.0,52.0,1,chessenthusiast2,lovebisht
49.0,10.20408163265306,36.734693877551024,1705.0,6.0,100.0,2043.0,41.0,45.01,15279,6.0,50.0,48.0,51.0,7.84313725490196,27.450980392156865,1754.0,5.0,100.0,2063.0,41.0,45.01,2387,4.081632653061225,49.0,53.06122448979592,1,derwolf21,Swoj
50.0,4.0,44.0,1739.0,4.0,100.0,2119.0,46.0,45.02,7587,4.081632653061225,49.0,44.89795918367347,51.0,0.0,52.94117647058824,1752.0,2.0,100.0,2003.0,54.0,45.09,21013,2.0408163265306123,49.0,53.06122448979592,-1,Evalena2024,alepo-139
50.0,6.0,40.0,1801.0,5.0,100.0,2089.0,46.0,45.02,5840,4.0,50.0,50.0,49.0,2.0408163265306123,36.734693877551024,1769.0,2.0,100.0,2182.0,42.0,45.02,20825,1.96078431372549,51.0,47.05882352941176,-1,s7alamen,TheSoloist
51.0,3.92156862745098,41.17647058823529,1189.0,4.0,100.0,1807.0,43.0,171.99,222,8.16326530612245,49.0,38.775510204081634,41.0,7.317073170731707,34.14634146341464,1044.0,5.0,73.0,1351.0,34.0,114.17,70,3.125,32.0,34.375,1,Marifercristobal,starship3
50.0,4.0,44.0,1805.0,2.0,100.0,1986.0,52.0,45.02,52344,5.88235294117647,51.0,47.05882352941176,50.0,4.0,50.0,1654.0,3.0,100.0,1953.0,50.0,45.01,7044,2.0,50.0,50.0,-1,maz350_k1,Idebuda
52.0,1.9230769230769231,63.46153846153846,1838.0,2.0,100.0,2290.0,55.0,45.01,1884,2.0,50.0,48.0,50.0,6.0,48.0,1795.0,3.0,100.0,1939.0,50.0,45.08,15435,0.0,50.0,52.0,-1,Beemsterboa,Nikolai1109
52.0,7.6923076923076925,50.0,1338.0,5.0,100.0,1944.0,48.0,45.03,3350,2.0,50.0,50.0,51.0,1.96078431372549,58.82352941176471,1369.0,2.0,100.0,1759.0,56.0,45.62,1595,2.0408163265306123,49.0,55.10204081632652,1,lvbnhbq1982,earendilist
51.0,1.96078431372549,39.21568627450981,1432.0,3.0,100.0,1565.0,53.0,45.61,2050,4.0,50.0,68.0,50.0,8.0,42.0,1489.0,3.0,100.0,1782.0,43.0,45.13,11892,0.0,50.0,54.0,1,jonateng,rog9lik
52.0,1.9230769230769231,46.15384615384615,1635.0,11.0,27.0,1984.0,22.0,48.16,1473,4.3478260869565215,46.0,39.130434782608695,48.0,4.166666666666666,52.083333333333336,1657.0,2.0,100.0,1782.0,53.0,45.3,4641,0.0,52.0,53.84615384615385,-1,schachsinnig,lVl1das
51.0,0.0,56.86274509803921,1493.0,0.0,100.0,1615.0,52.0,45.03,425,0.0,48.0,45.83333333333333,50.0,2.0,48.0,1458.0,2.0,100.0,1779.0,52.0,45.1,3711,2.0,50.0,56.00000000000001,1,bobsonx10,F06abeja
51.0,9.803921568627452,49.01960784313725,1768.0,7.0,100.0,1907.0,49.0,45.07,3160,5.88235294117647,51.0,50.98039215686274,53.0,7.547169811320755,41.50943396226416,1796.0,0.0,90.0,2087.0,63.0,45.12,3791,0.0,47.0,55.319148936170215,1,VaChechnev,CHIKUPATRA647
42.0,4.761904761904762,45.23809523809524,1816.0,3.0,100.0,1960.0,45.0,45.84,88,0.0,50.0,56.00000000000001,52.0,5.769230769230769,40.38461538461539,1805.0,8.0,100.0,2166.0,39.0,45.06,3071,8.333333333333332,48.0,37.5,1,SirNefarious630,SHARA1313
48.0,4.166666666666666,47.91666666666667,1466.0,5.0,100.0,1812.0,38.0,45.09,1890,6.0,50.0,42.0,50.0,6.0,42.0,1404.0,6.0,100.0,1550.0,51.0,45.02,2701,6.0,50.0,60.0,0,tshifeler,hacta
52.0,0.0,46.15384615384615,1773.0,16.0,18.0,1944.0,50.0,46.53,12536,6.25,48.0,47.91666666666667,49.0,2.0408163265306123,59.18367346938776,1189.0,0.0,12.0,1329.0,75.0,49.25,1962,0.0,51.0,60.78431372549019,-1,foreverStuck,dragon_muto
48.0,2.083333333333333,35.41666666666667,1386.0,2.0,100.0,2121.0,40.0,45.11,25366,1.9230769230769231,52.0,44.230769230769226,50.0,2.0,42.0,1397.0,6.0,100.0,1703.0,38.0,45.16,7502,4.0,50.0,44.0,0,soloview,Senatros
51.0,1.96078431372549,45.09803921568628,1734.0,3.0,100.0,2321.0,48.0,45.11,1496,4.0,50.0,56.00000000000001,52.0,5.769230769230769,46.15384615384615,1791.0,6.0,100.0,2127.0,51.0,45.1,17415,6.25,48.0,56.25,1,Kawabanga222,IOANN1978
49.0,8.16326530612245,46.93877551020408,1381.0,9.0,100.0,1684.0,50.0,45.11,544,7.84313725490196,51.0,50.98039215686274,50.0,4.0,44.0,1357.0,5.0,100.0,1594.0,52.0,45.07,9207,6.0,50.0,60.0,1,NiemannFan,limitsofman
49.0,4.081632653061225,51.02040816326531,1438.0,2.0,100.0,1742.0,50.0,45.06,7720,0.0,50.0,52.0,48.0,0.0,45.83333333333333,1469.0,3.0,96.0,1660.0,50.0,62.67,216,5.769230769230769,52.0,46.15384615384615,-1,P3rrys0n,nointoine
51.0,1.96078431372549,50.98039215686274,1886.0,3.0,100.0,2259.0,52.0,45.01,1470,4.081632653061225,49.0,55.10204081632652,51.0,1.96078431372549,47.05882352941176,1886.0,2.0,100.0,2096.0,49.0,45.06,7151,2.0408163265306123,49.0,55.10204081632652,1,Alexkonstbg,drmskr
51.0,7.84313725490196,49.01960784313725,1872.0,7.0,100.0,2053.0,50.0,45.1,2335,8.0,50.0,46.0,53.0,7.547169811320755,49.0566037735849,1930.0,5.0,57.0,2017.0,57.0,45.3,1819,6.382978723404255,47.0,42.5531914893617,-1,timlawson,Kuangaliev
50.0,6.0,44.0,1860.0,4.0,100.0,2065.0,44.0,45.02,3679,4.081632653061225,49.0,46.93877551020408,49.0,6.122448979591836,38.775510204081634,1890.0,5.0,100.0,2099.0,43.0,45.09,13742,3.92156862745098,51.0,47.05882352941176,1,AhmedHonda1986,jorgeabel123
51.0,1.96078431372549,56.86274509803921,1465.0,1.0,100.0,1595.0,56.0,45.0,2401,6.0,50.0,54.0,49.0,8.16326530612245,44.89795918367347,1468.0,5.0,100.0,1534.0,47.0,45.01,294,3.92156862745098,51.0,47.05882352941176,1,gittilayke,Caesarthedictator
51.0,5.88235294117647,56.86274509803921,1839.0,5.0,100.0,2005.0,51.0,45.53,2401,4.166666666666666,48.0,45.83333333333333,51.0,5.88235294117647,41.17647058823529,1826.0,8.0,100.0,2072.0,48.0,45.06,4383,4.081632653061225,49.0,51.02040816326531,-1,ramac-bartol,Voxel9999
51.0,3.92156862745098,37.25490196078432,1818.0,2.0,100.0,2082.0,51.0,45.15,7055,0.0,51.0,58.82352941176471,51.0,1.96078431372549,43.13725490196079,1790.0,3.0,100.0,2164.0,43.0,45.36,3130,6.122448979591836,49.0,40.81632653061224,1,bluecow1,Akhilyadav98
51.0,3.92156862745098,49.01960784313725,1730.0,5.0,100.0,2024.0,47.0,45.02,4598,4.081632653061225,49.0,42.85714285714285,50.0,4.0,44.0,1625.0,7.0,100.0,2190.0,41.0,45.15,6916,8.0,50.0,40.0,1,dukicmond,Chinosantomera2
51.0,5.88235294117647,47.05882352941176,1761.0,4.0,100.0,1980.0,51.0,45.01,2163,2.0,50.0,52.0,51.0,0.0,49.01960784313725,1756.0,1.0,100.0,2176.0,54.0,45.05,1081,2.0408163265306123,49.0,59.18367346938776,1,northern_monkey,HernanC
50.0,2.0,44.0,1462.0,3.0,100.0,1576.0,52.0,45.0,1576,2.0,50.0,56.00000000000001,51.0,1.96078431372549,41.17647058823529,1506.0,1.0,100.0,1666.0,50.0,45.23,695,0.0,49.0,55.10204081632652,-1,mmevlutbyr,Malzawar
50.0,6.0,34.0,1521.0,4.0,100.0,1717.0,43.0,45.18,9842,2.0,50.0,54.0,49.0,0.0,42.85714285714285,1525.0,0.0,100.0,1700.0,52.0,45.59,2645,0.0,51.0,60.78431372549019,-1,zdarzbrum,Pajabobr
52.0,1.9230769230769231,40.38461538461539,1709.0,6.0,100.0,1855.0,39.0,45.47,2259,10.20408163265306,49.0,36.734693877551024,51.0,13.725490196078432,31.37254901960784,1655.0,11.0,27.0,2282.0,33.0,45.05,2849,2.0408163265306123,49.0,61.224489795918366,-1,deestar,Nimishthegreat
48.0,0.0,56.25,1426.0,2.0,100.0,2121.0,50.0,45.15,10242,1.96078431372549,51.0,45.09803921568628,50.0,4.0,52.0,1330.0,3.0,100.0,1808.0,51.0,45.05,5624,2.0,50.0,48.0,1,bachmoch90,Ruslan23-09-2011
50.0,0.0,40.0,1466.0,0.0,100.0,1867.0,44.0,45.03,1745,0.0,51.0,52.94117647058824,50.0,8.0,40.0,1553.0,6.0,100.0,1787.0,42.0,45.29,281,4.0,50.0,42.0,1,mehmeto,MichalKp
51.0,0.0,41.17647058823529,1419.0,4.0,100.0,1838.0,42.0,45.21,7009,8.16326530612245,49.0,42.85714285714285,49.0,2.0408163265306123,44.89795918367347,1447.0,2.0,100.0,2102.0,47.0,45.0,17746,0.0,51.0,49.01960784313725,-1,mrkingtony,dragonson7777
49.0,12.244897959183673,40.81632653061224,1510.0,7.0,100.0,1999.0,44.0,45.36,2076,1.96078431372549,51.0,47.05882352941176,49.0,10.20408163265306,42.85714285714285,1548.0,6.0,100.0,1829.0,48.0,45.2,15655,0.0,51.0,56.86274509803921,-1,bullseye9,picassent18
50.0,8.0,50.0,1514.0,7.0,100.0,1609.0,51.0,45.07,852,2.0408163265306123,49.0,53.06122448979592,51.0,5.88235294117647,50.98039215686274,1585.0,3.0,100.0,1773.0,50.0,45.04,12516,0.0,49.0,53.06122448979592,-1,kezhik_0,TheDarkKnight-927
49.0,0.0,51.02040816326531,1412.0,1.0,100.0,1643.0,47.0,45.1,1785,4.0,50.0,44.0,49.0,0.0,53.06122448979592,1400.0,0.0,100.0,1743.0,54.0,45.25,3031,0.0,51.0,54.90196078431373,-1,albassem4,Intermega
49.0,2.0408163265306123,44.89795918367347,1808.0,1.0,99.0,1941.0,48.0,45.19,119,0.0,50.0,40.0,51.0,5.88235294117647,47.05882352941176,1754.0,5.0,100.0,2315.0,50.0,56.91,4323,4.081632653061225,49.0,53.06122448979592,1,Sky0010,kamilllus
47.0,0.0,57.44680851063831,1769.0,6.0,100.0,2318.0,56.0,45.05,8452,5.555555555555555,54.0,51.85185185185185,50.0,6.0,40.0,1748.0,4.0,100.0,1970.0,51.0,45.0,10122,2.0,50.0,62.0,1,bobby-vishy,hakdag
50.0,2.0,42.0,1721.0,3.0,100.0,1923.0,41.0,45.35,2002,4.0,50.0,40.0,48.0,2.083333333333333,45.83333333333333,1761.0,9.0,33.0,1929.0,45.0,62.07,1942,7.6923076923076925,52.0,48.07692307692308,-1,PlayaONE,Rokuro_696969
49.0,2.0408163265306123,48.97959183673469,1667.0,1.0,100.0,1948.0,51.0,45.03,1663,0.0,50.0,56.00000000000001,51.0,1.96078431372549,52.94117647058824,1576.0,3.0,100.0,1707.0,46.0,45.12,9367,4.081632653061225,49.0,42.85714285714285,1,leongambit,GamerTimur
50.0,4.0,44.0,1342.0,4.0,100.0,1661.0,49.0,45.08,10985,1.96078431372549,51.0,60.78431372549019,51.0,1.96078431372549,41.17647058823529,1296.0,1.0,100.0,1774.0,47.0,45.05,10670,0.0,49.0,48.97959183673469,-1,loup76,OliverFrazao79
49.0,2.0408163265306123,55.10204081632652,1804.0,3.0,100.0,2100.0,52.0,45.02,521,4.081632653061225,49.0,55.10204081632652,49.0,4.081632653061225,34.69387755102041,1581.0,2.0,100.0,2363.0,40.0,45.07,16282,1.96078431372549,51.0,37.25490196078432,1,Saganash13,hachas123
52.0,3.8461538461538463,40.38461538461539,1404.0,3.0,100.0,1572.0,48.0,45.06,9404,7.84313725490196,51.0,58.82352941176471,48.0,4.166666666666666,43.75,1403.0,8.0,100.0,1614.0,47.0,45.04,6823,9.615384615384617,52.0,50.0,-1,Naddyuza,rahulreddyv
53.0,9.433962264150944,26.41509433962264,1350.0,3.0,100.0,1862.0,39.0,89.42,66,2.127659574468085,47.0,38.297872340425535,50.0,2.0,46.0,1800.0,2.0,100.0,2215.0,51.0,52.76,259,4.0,50.0,56.00000000000001,1,ImaRandomBot,htywx_gnjl
45.0,2.2222222222222223,53.333333333333336,1194.0,3.0,100.0,1321.0,50.0,45.12,199,3.571428571428571,56.0,50.0,51.0,3.92156862745098,39.21568627450981,1249.0,2.0,100.0,2018.0,45.0,45.21,6118,0.0,49.0,46.93877551020408,-1,killagame72,karimtermos
51.0,1.96078431372549,52.94117647058824,1856.0,2.0,100.0,2270.0,52.0,45.02,58000,0.0,49.0,48.97959183673469,48.0,6.25,45.83333333333333,1903.0,4.0,100.0,2174.0,46.0,45.0,10397,1.9230769230769231,52.0,46.15384615384615,-1,bernao,aogorek
50.0,2.0,56.00000000000001,1445.0,2.0,100.0,1685.0,54.0,45.0,4598,4.0,50.0,56.00000000000001,51.0,1.96078431372549,56.86274509803921,1432.0,2.0,100.0,1975.0,50.0,45.02,2694,2.0408163265306123,49.0,44.89795918367347,-1,ssekoss,Inuyasha3261
53.0,3.7735849056603774,37.735849056603776,1271.0,6.0,100.0,1815.0,41.0,45.62,3139,8.51063829787234,47.0,42.5531914893617,51.0,5.88235294117647,41.17647058823529,1207.0,4.0,100.0,1730.0,42.0,45.04,8845,4.081632653061225,49.0,44.89795918367347,-1,CARMONAA,HankRearden
49.0,2.0408163265306123,32.6530612244898,1512.0,4.0,100.0,1763.0,47.0,45.04,381,4.0,50.0,60.0,50.0,4.0,34.0,1512.0,6.0,100.0,1898.0,42.0,45.2,7624,5.88235294117647,51.0,50.98039215686274,-1,davidisraelhay,Ginzaboom
51.0,7.84313725490196,52.94117647058824,1701.0,0.0,54.0,1804.0,50.0,46.81,964,2.0408163265306123,49.0,53.06122448979592,53.0,7.547169811320755,41.50943396226416,1541.0,5.0,54.0,1968.0,61.0,57.75,4163,6.382978723404255,47.0,46.80851063829788,1,werdnaz,adamjuggler
50.0,6.0,44.0,1868.0,4.0,100.0,2106.0,50.0,45.0,2250,2.0,50.0,56.00000000000001,50.0,4.0,50.0,1718.0,3.0,100.0,1878.0,56.0,45.1,1714,4.0,50.0,54.0,1,Mahanand,dedum
51.0,5.88235294117647,43.13725490196079,1840.0,5.0,100.0,2022.0,46.0,45.52,7831,4.166666666666666,48.0,45.83333333333333,50.0,4.0,48.0,1880.0,4.0,100.0,2524.0,47.0,45.37,2499,4.0,50.0,44.0,-1,Litelants,taisetsu
50.0,2.0,50.0,1479.0,3.0,100.0,1677.0,50.0,45.23,3038,1.96078431372549,51.0,52.94117647058824,50.0,0.0,34.0,1408.0,1.0,100.0,1523.0,52.0,45.28,2493,2.0,50.0,57.99999999999999,-1,Mohammad_m3d,theila333
50.0,6.0,57.99999999999999,1434.0,5.0,100.0,2180.0,54.0,45.32,2265,4.0,50.0,50.0,50.0,4.0,40.0,1434.0,4.0,100.0,1734.0,44.0,45.06,17900,2.0,50.0,50.0,-1,seyed1349zia,dayo210579
50.0,4.0,42.0,1395.0,6.0,100.0,1661.0,46.0,45.1,8395,4.0,50.0,48.0,51.0,0.0,52.94117647058824,1475.0,4.0,100.0,1700.0,61.0,45.27,11272,6.122448979591836,49.0,61.224489795918366,-1,Shikabella,elpluto
52.0,1.9230769230769231,34.61538461538461,1533.0,0.0,15.0,2143.0,60.0,45.91,698,0.0,48.0,52.083333333333336,50.0,4.0,48.0,1687.0,3.0,100.0,1834.0,41.0,105.13,3362,2.0,50.0,42.0,1,bukidron,Humbertvaoal
50.0,4.0,60.0,1536.0,3.0,100.0,2014.0,66.0,45.06,3899,0.0,50.0,64.0,49.0,4.081632653061225,69.38775510204081,1666.0,3.0,100.0,1996.0,59.0,45.0,20517,1.96078431372549,51.0,52.94117647058824,-1,warsawplayer,Mihej
49.0,10.20408163265306,42.85714285714285,1631.0,9.0,100.0,1814.0,46.0,45.01,3708,8.0,50.0,30.0,50.0,2.0,62.0,1604.0,5.0,100.0,1652.0,56.0,45.18,2454,8.0,50.0,50.0,-1,Walkere,StudentofchessRp
49.0,8.16326530612245,42.85714285714285,1265.0,3.0,84.0,1451.0,53.0,49.15,116,1.96078431372549,51.0,41.17647058823529,16.0,6.25,18.75,1255.0,3.0,100.0,1458.0,34.0,63.5,36,5.0,20.0,50.0,-1,fezfez_05,omidkakavandi95
12.0,8.333333333333332,50.0,1650.0,0.0,24.0,1801.0,50.0,93.05,25,15.384615384615383,13.0,23.07692307692308,44.0,4.545454545454546,36.36363636363637,1198.0,0.0,30.0,1684.0,40.0,45.01,101,1.7857142857142856,56.0,50.0,-1,YUBAMACO,Logiciels3655
51.0,1.96078431372549,49.01960784313725,1664.0,1.0,100.0,2070.0,50.0,45.22,7032,0.0,50.0,48.0,51.0,1.96078431372549,47.05882352941176,1691.0,2.0,100.0,1917.0,48.0,45.2,7076,2.0408163265306123,49.0,51.02040816326531,-1,bruno1m2m3,Xaver191
52.0,0.0,53.84615384615385,1735.0,0.0,100.0,1925.0,50.0,45.02,3263,2.083333333333333,48.0,60.41666666666666,51.0,0.0,47.05882352941176,1771.0,2.0,100.0,1896.0,45.0,45.06,710,4.081632653061225,49.0,42.85714285714285,1,BodyMindSoul,chesscastlr
51.0,0.0,41.17647058823529,1730.0,0.0,100.0,2130.0,46.0,45.99,1400,0.0,50.0,52.0,51.0,1.96078431372549,58.82352941176471,1771.0,2.0,100.0,2417.0,56.0,45.54,1948,2.0408163265306123,49.0,53.06122448979592,1,Andriy60,Manishsharmau
50.0,2.0,44.0,1759.0,5.0,100.0,1943.0,44.0,45.41,334,8.0,50.0,42.0,52.0,5.769230769230769,42.30769230769231,1736.0,0.0,100.0,2170.0,40.0,45.03,12672,0.0,48.0,50.0,1,akrmakrm,sondiac
53.0,3.7735849056603774,43.39622641509434,1847.0,3.0,100.0,2070.0,48.0,70.74,56,2.1739130434782608,46.0,45.65217391304348,49.0,2.0408163265306123,51.02040816326531,1773.0,4.0,100.0,2370.0,49.0,45.06,13906,5.88235294117647,51.0,47.05882352941176,1,jsedano,arifraza_Urbana
