user_id,user_black_draw_rate,user_black_game_count,user_black_lose_rate,user_black_win_rate,user_blitz_rating,user_draw_rate,user_game_count,user_highest_blitz_opponent_rating,user_lose_rate,user_loss_streak_current,user_loss_streak_max,user_rating_deviation,user_second_highest_blitz_opponent_rating,user_third_highest_blitz_opponent_rating,user_total_games_played,user_white_draw_rate,user_white_game_count,user_white_lose_rate,user_white_win_rate,user_win_rate,user_win_streak_current,user_win_streak_max,user_op,op_black_draw_rate,op_black_game_count,op_black_lose_rate,op_black_win_rate,op_blitz_rating,op_draw_rate,op_game_count,op_highest_blitz_opponent_rating,op_lose_rate,op_loss_streak_current,op_loss_streak_max,op_rating_deviation,op_second_highest_blitz_opponent_rating,op_third_highest_blitz_opponent_rating,op_total_games_played,op_white_draw_rate,op_white_game_count,op_white_lose_rate,op_white_win_rate,op_win_rate,op_win_streak_current,op_win_streak_max,game_result
haleo,2.127659574468085,47.0,48.93617021276596,48.93617021276596,1593.0,5.0,51.0,1894.0,52.0,0.0,64.0,49.74,1852.0,1841.0,5011,3.8461538461538463,52.0,53.84615384615385,42.30769230769231,41.0,1.0,10.0,Amiroya,2.0408163265306123,49.0,36.734693877551024,61.224489795918366,1537.0,3.0,100.0,2032.0,43.0,1.0,11.0,45.1,1924.0,1897.0,3260,5.88235294117647,51.0,49.01960784313725,45.09803921568628,54.0,0.0,12.0,-1
ms_crc,4.0,50.0,54.0,42.0,1414.0,3.0,100.0,1696.0,51.0,2.0,13.0,45.89,1693.0,1690.0,7617,2.0,50.0,48.0,50.0,46.0,0.0,10.0,ABC99999999,6.8181818181818175,44.0,38.63636363636363,54.54545454545454,1428.0,2.0,100.0,1509.0,38.0,0.0,4.0,47.42,1491.0,1476.0,126,5.357142857142857,56.0,37.5,57.14285714285714,60.0,1.0,12.0,-1
legeniechampion,9.615384615384617,52.0,38.46153846153847,51.92307692307693,1729.0,12.0,100.0,2060.0,44.0,0.0,5.0,45.49,2006.0,1972.0,158,4.081632653061225,49.0,51.02040816326531,44.89795918367347,44.0,2.0,7.0,Botchokoyy,4.3478260869565215,46.0,47.82608695652174,47.82608695652174,1843.0,0.0,3.0,2168.0,0.0,0.0,8.0,94.16,2143.0,2120.0,1267,7.4074074074074066,54.0,51.85185185185185,40.74074074074074,100.0,1.0,9.0,-1
Albert_Zabudov,20.0,5.0,20.0,60.0,1356.0,12.0,8.0,,25.0,0.0,1.0,228.7,,,3,0.0,3.0,33.33333333333333,66.66666666666666,62.0,2.0,2.0,Timur_Teregulov_988,4.166666666666666,48.0,58.333333333333336,37.5,1354.0,0.0,0.0,1514.0,0.0,3.0,11.0,81.45,1513.0,1511.0,5614,11.538461538461538,52.0,34.61538461538461,53.84615384615385,0.0,0.0,11.0,-1
canelita_2024,0.0,1.0,100.0,0.0,1500.0,0.0,2.0,,100.0,0.0,0.0,500.0,,,0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,Raehgalchess,4.878048780487805,41.0,29.268292682926827,65.85365853658537,2088.0,4.0,100.0,2068.0,25.0,0.0,4.0,128.58,2024.0,1988.0,22,2.631578947368421,38.0,26.31578947368421,71.05263157894737,71.0,1.0,6.0,-1
Bonsai_007,5.769230769230769,52.0,48.07692307692308,46.15384615384615,1428.0,7.0,100.0,1588.0,38.0,0.0,11.0,45.04,1577.0,1576.0,8334,6.122448979591836,49.0,42.85714285714285,51.02040816326531,55.0,1.0,12.0,efdetonator,6.0,50.0,48.0,46.0,1346.0,7.0,100.0,1551.0,50.0,8.0,9.0,45.12,1547.0,1546.0,3026,8.0,50.0,52.0,40.0,43.0,0.0,10.0,1
mrmangotango,4.0,50.0,50.0,46.0,1429.0,3.0,100.0,1638.0,48.0,1.0,10.0,45.07,1624.0,1554.0,803,1.96078431372549,51.0,49.01960784313725,49.01960784313725,49.0,0.0,11.0,chessfire2020,4.081632653061225,49.0,51.02040816326531,44.89795918367347,1403.0,4.0,100.0,1666.0,51.0,2.0,12.0,45.22,1638.0,1633.0,12953,1.96078431372549,51.0,49.01960784313725,49.01960784313725,45.0,0.0,12.0,-1
nqiniso,8.16326530612245,49.0,40.81632653061224,51.02040816326531,1528.0,7.0,100.0,1714.0,40.0,2.0,12.0,45.45,1711.0,1706.0,4010,5.88235294117647,51.0,39.21568627450981,54.90196078431373,53.0,0.0,14.0,javi28,1.96078431372549,51.0,58.82352941176471,39.21568627450981,1581.0,1.0,100.0,1938.0,56.0,1.0,11.0,52.25,1910.0,1906.0,6607,0.0,49.0,53.06122448979592,46.93877551020408,43.0,0.0,11.0,-1
C2ma,2.0,50.0,48.0,50.0,1730.0,1.0,100.0,2393.0,49.0,0.0,17.0,45.14,2298.0,2281.0,22899,2.083333333333333,48.0,50.0,47.91666666666667,50.0,3.0,12.0,Palych,0.0,50.0,52.0,48.0,1718.0,3.0,78.0,2368.0,46.0,0.0,11.0,45.0,2339.0,2309.0,19834,4.0,50.0,42.0,54.0,50.0,4.0,11.0,1
eliseus_1603,0.0,54.0,51.85185185185185,48.14814814814815,1291.0,0.0,100.0,2066.0,50.0,1.0,18.0,45.12,1997.0,1989.0,4629,0.0,47.0,46.80851063829788,53.191489361702125,50.0,0.0,11.0,Mr_3Rai3,5.88235294117647,51.0,37.25490196078432,56.86274509803921,1297.0,3.0,100.0,1407.0,46.0,1.0,9.0,45.02,1399.0,1397.0,1415,2.0,50.0,44.0,54.0,51.0,0.0,10.0,-1
Ninja1500,4.081632653061225,49.0,61.224489795918366,34.69387755102041,1391.0,33.0,9.0,1554.0,0.0,0.0,12.0,52.68,1550.0,1539.0,105,9.803921568627452,51.0,31.37254901960784,58.82352941176471,66.0,1.0,6.0,rodf,0.0,46.0,41.30434782608695,58.69565217391305,1864.0,0.0,6.0,2046.0,100.0,2.0,13.0,51.18,2023.0,2016.0,20673,1.851851851851852,54.0,35.18518518518518,62.96296296296296,0.0,0.0,12.0,1
mohamedssakr,6.122448979591836,49.0,46.93877551020408,46.93877551020408,1730.0,7.0,100.0,2092.0,47.0,1.0,16.0,45.0,2076.0,2075.0,46894,6.0,50.0,40.0,54.0,46.0,0.0,14.0,gogoLR,0.0,53.0,56.60377358490566,43.39622641509434,1691.0,2.0,100.0,2106.0,50.0,0.0,13.0,45.01,2003.0,1968.0,12687,4.25531914893617,47.0,42.5531914893617,53.191489361702125,48.0,1.0,15.0,1
