user_id,user_resign_winrate,user_time_winrate,user_average_game_len,user_rating_deviation,op_id,op_resign_winrate,op_time_winrate,op_average_game_len,op_rating_deviation,game_result,op_average_best_win,user_average_best_win,best_average_win_diff,best_win_diff,user_white_performance,user_black_performance,op_white_performance,op_black_performance,draw_rate,combined_draw4,user_performace,op_performance,rating_diff,user_resign_perf,op_resign_perf,game_count_ratio
akozlov002,0.429,0.302,254.0,45.03,Telmen68,0.569,0.185,195.0,92.05,-1.0,2290.6666666666665,2257.6666666666665,33.0,105.0,2304.140553,2112.167358,2281.0877880000003,2211.978341,16.0,5.17175,2068.0,2112.0,-112.0,1.193,1.254,3.7037037037037037
albertony,0.176,0.353,300.0,143.42,Sethesis,0.417,0.133,484.0,47.24,-1.0,1379.3333333333333,1499.0,119.66666666666674,-284.0,1420.7524589999998,1750.0,2843.75,3497.2841530000005,8.0,2.792,1472.0,3149.0,-1.0,0.8140000000000001,0.44699999999999995,1.0
alcowa,0.328,0.148,328.0,54.4,Sofia_1711,0.312,0.062,358.0,48.45,1.0,1170.6666666666667,1489.3333333333333,318.6666666666665,-474.0,2036.440625,1974.7491300000002,2744.037478,2416.624896,8.0,4.01225,1150.0,3450.0,7.0,0.463,0.788,0.12
aleks2510aaa,0.507,0.178,421.0,45.86,warpsmith,0.649,0.228,411.0,45.33,1.0,2186.6666666666665,1984.3333333333333,202.33333333333326,197.0,2528.61462,3169.54064,1632.637415,2029.1088450000002,8.0,3.60375,3450.0,1232.0,-110.0,0.982,1.069,1.0
alexanderpidyak,0.45,0.167,267.0,45.75,barubelajar001,0.453,0.188,258.0,45.2,-1.0,1995.6666666666667,1670.3333333333333,325.3333333333335,336.0,2291.66875,1998.9402960000002,2541.0,2127.96374,6.0,5.191999999999999,1880.0,2793.0,-103.0,0.861,0.5760000000000001,1.0
alexlele2008,0.69,0.172,333.0,55.71,aashetty,0.712,0.137,290.0,96.34,1.0,2827.3333333333335,2787.6666666666665,39.66666666666697,44.0,1700.694331,1532.25,2434.97513,2484.254976,22.0,8.8005,880.0,2640.0,-61.0,1.0539999999999998,1.165,1.8
alfados,0.213,0.41,374.0,51.85,mycowan,0.373,0.085,342.0,46.13,-1.0,1856.3333333333333,1852.0,4.3333333333332575,-53.0,2718.72,2421.1926860000003,2471.639092,2187.52,0.0,0.40975,2142.0,2793.0,-101.0,0.986,0.992,0.63
ali1513,0.4579999999999999,0.288,247.0,48.84,Cakir53,0.46,0.16,300.0,45.03,-1.0,2295.0,2209.0,86.0,7.0,2602.538718,2769.2400000000002,1974.371282,1794.889359,3.0,4.1025,3894.0,1254.0,246.0,1.0779999999999998,0.8600000000000001,0.18
alireza500,0.55,0.15,281.0,47.09,testacc_2,0.613,0.194,360.0,57.5,1.0,1405.0,1459.0,54.0,-62.0,2096.75,2344.346276,2241.763956,2728.4945159999997,12.0,2.7917500000000004,2116.0,2208.0,38.0,1.36,1.343,0.45
alkaline1,0.567,0.239,310.0,62.09,John1914,0.556,0.244,214.0,45.28,-1.0,2616.6666666666665,2473.0,143.66666666666652,179.0,3058.2046560000003,2866.0071959999996,1667.4796030000002,1444.45,6.0,5.98475,3240.0,1600.0,64.0,1.248,1.037,0.15
alwaYs_imrove,0.413,0.238,263.0,50.06,elvanvanero,0.5,0.222,251.0,45.02,1.0,2613.0,2575.0,38.0,33.0,2744.439012,2419.9510800000003,2188.407312,1827.1157759999999,7.0,4.4045,2450.0,2200.0,42.0,1.101,1.121,0.16
amateuraoa,0.436,0.164,220.0,59.78,cahit62,0.456,0.158,241.0,45.2,1.0,1945.6666666666667,1935.3333333333333,10.333333333333485,-43.0,1886.213598,2223.321191,2086.8220100000003,2444.42,23.0,6.80875,816.0,2944.0,23.0,0.9950000000000001,0.94,0.51
americpeter,0.561,0.136,553.0,46.69,M7al,0.579,0.07,519.0,51.72,1.0,1349.0,1465.0,116.0,-88.0,2388.731616,2653.728024,1890.0929939999999,2248.2353630000002,7.0,3.6297499999999996,2640.0,2025.0,119.0,0.6920000000000001,0.9299999999999999,1.0
anaseo95,0.53,0.227,326.0,63.26,LuntikkShess,0.509,0.175,361.0,57.17,-1.0,1534.6666666666667,1334.0,200.66666666666674,324.0,2524.591366,2617.751178,1750.003125,1901.613552,10.0,6.38075,2640.0,1886.0,-40.0,0.923,1.049,1.0
anasse2869,0.603,0.241,246.0,64.94,Che_Vladimir,0.5,0.167,271.0,47.51,-1.0,2131.6666666666665,1997.6666666666667,133.99999999999977,217.0,2150.44375,1944.828018,2309.9846,2304.046875,13.0,6.679500000000001,2115.0,2256.0,0.0,1.0939999999999999,0.95,1.0
andr1981,0.769,0.0,410.0,131.88,Duban_Alejandro,0.613,0.145,388.0,45.08,1.0,2190.3333333333335,1789.0,401.3333333333335,458.0,1770.482784,2903.214516,1250.0,3028.038828,6.0,4.886749999999999,3320.0,864.0,-61.0,1.233,0.886,0.18
andre_souza90,0.587,0.19,397.0,83.28,ljubisadjokovic1953,0.621,0.276,385.0,45.06,-1.0,2382.3333333333335,2239.6666666666665,142.66666666666697,118.0,2741.95,2118.9450239999996,2580.0304359999996,1488.0215400000002,10.0,6.023,2860.0,1722.0,54.0,1.387,1.306,1.0
angel_46_Mrax_pro,0.483,0.19,312.0,65.13,mr_el_mouden,0.5,0.167,391.0,45.32,-1.0,1741.6666666666667,1830.0,88.33333333333326,-152.0,1995.9650199999999,1821.4928960000002,2919.560864,2872.96875,5.0,2.01675,1890.0,2856.0,-84.0,0.848,0.802,1.0
angeltique,0.231,0.077,230.0,134.05,SnegaMargo,0.408,0.265,334.0,73.96,-1.0,1011.0,976.6666666666666,34.33333333333337,-326.0,588.509542,781.272768,2823.6845980000003,3606.5451449999996,10.0,7.63925,832.0,3192.0,-25.0,0.342,0.59,1.0
anjumskhan_practice,0.393,0.202,285.0,45.87,Quindos_FC,0.352,0.259,250.0,45.04,-1.0,2671.0,2551.0,120.0,105.0,4004.805096,2773.202541,1822.3957649999998,661.0848560000001,6.0,5.933,5096.0,296.0,111.0,0.837,0.705,0.36
