user_op,game_result,op_win_rate,op_lose_rate,op_draw_rate,op_game_count,white_win_rate,white_lose_rate,white_draw_rate,white_game_count,black_win_rate,black_lose_rate,black_draw_rate,black_game_count,top_eco,second_eco,top_winrate_eco,second_winrate_eco,mate_winrate,resign_winrate,time_winrate,mate_lossrate,resign_lossrate,time_lossrate,average_game_len
sameh2pho,-1,50.0,46.0,4.0,100.0,53.968,46.032,0.0,63.0,37.097,58.065,4.839,62.0,C50,C47,B30,C48,0.333,0.316,0.281,0.292,0.323,0.308,300.0
RuslanDam,1,48.0,39.0,13.0,100.0,49.18,40.984,9.836,61.0,46.875,40.625,12.5,64.0,C25,C47,A00,C20,0.2,0.667,0.133,0.353,0.431,0.196,395.0
Daniel_DHF,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gordo82,1,0.0,0.0,0.0,0.0,48.438,50.0,1.562,64.0,54.098,44.262,1.639,61.0,C30,C34,B02,D06,0.422,0.375,0.172,0.407,0.441,0.119,214.0
jvalmir,1,55.0,43.0,2.0,100.0,42.857,53.968,3.175,63.0,46.774,53.226,0.0,62.0,B32,B30,B02,A30,0.286,0.554,0.143,0.224,0.716,0.06,319.0
,401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iridiumman,1,31.0,66.0,3.0,100.0,37.097,58.065,4.839,62.0,34.921,65.079,0.0,63.0,C23,B20,D02,B06,0.244,0.4,0.311,0.13,0.805,0.065,318.0
DJ_Man_2099,-1,100.0,0.0,0.0,3.0,13.043,86.957,0.0,23.0,22.222,70.37,7.407,27.0,D10,B10,D30,C20,0.556,0.333,0.111,0.282,0.718,0.0,142.0
