user_op,game_result,op_win_rate,op_lose_rate,op_draw_rate,op_game_count,white_win_rate,white_lose_rate,white_draw_rate,white_game_count,black_win_rate,black_lose_rate,black_draw_rate,black_game_count,top_eco,second_eco,top_winrate_eco,second_winrate_eco,mate_winrate,resign_winrate,time_winrate,mate_lossrate,resign_lossrate,time_lossrate,average_game_len
alejoboomerang,1,44.0,47.0,9.0,100.0,41.935,54.839,3.226,62.0,47.619,44.444,7.937,63.0,A80,B10,C65,C54,0.411,0.357,0.179,0.161,0.79,0.048,249.0
AfflatusJones,1,45.0,50.0,5.0,100.0,53.226,43.548,3.226,62.0,38.095,55.556,6.349,63.0,C00,D00,D21,A45,0.228,0.579,0.175,0.274,0.565,0.161,384.0
BentoBanker,1,44.0,54.0,2.0,100.0,51.613,46.774,1.613,62.0,42.857,57.143,0.0,63.0,A40,C41,C65,B30,0.237,0.542,0.186,0.277,0.585,0.138,363.0
bradut99,-1,63.0,32.0,5.0,100.0,73.913,26.087,0.0,23.0,56.522,34.783,8.696,23.0,B12,A20,A85,D11,0.1,0.767,0.133,0.071,0.786,0.143,541.0
Invaderon,-1,51.0,43.0,6.0,100.0,53.226,45.161,1.613,62.0,47.619,47.619,4.762,63.0,A00,C00,C00,A00,0.095,0.46,0.429,0.241,0.741,0.017,382.0
DmN5,0,47.0,49.0,4.0,100.0,60.938,34.375,4.688,64.0,37.705,60.656,1.639,61.0,C20,C40,A21,C24,0.323,0.5,0.129,0.288,0.678,0.017,423.0
mhtsm,-1,0.0,0.0,0.0,0.0,55.932,37.288,6.78,59.0,36.364,57.576,6.061,66.0,D02,B00,D31,B21,0.228,0.474,0.281,0.167,0.55,0.283,385.0
Roee_Aroesti,-1,77.0,21.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aliok63,1,68.0,31.0,0.0,57.0,34.426,63.934,1.639,61.0,40.625,57.812,1.562,64.0,B01,nonStandard,E01,C30,0.426,0.213,0.298,0.25,0.447,0.171,275.0
Gilrivera,1,46.0,46.0,8.0,100.0,51.786,42.857,5.357,56.0,50.725,46.377,2.899,69.0,D02,A40,B27,B51,0.297,0.359,0.344,0.339,0.589,0.054,266.0
frasasd,1,40.0,55.0,5.0,100.0,50.0,43.548,6.452,62.0,39.683,58.73,1.587,63.0,B30,B23,C64,B13,0.196,0.554,0.25,0.078,0.734,0.188,234.0
Mindhunter001,-1,47.0,48.0,5.0,100.0,42.857,52.381,4.762,63.0,46.774,50.0,3.226,62.0,C42,A40,C30,A06,0.571,0.286,0.071,0.25,0.656,0.078,346.0
Jojo993,-1,52.0,46.0,2.0,100.0,60.656,39.344,0.0,61.0,50.0,46.875,3.125,64.0,D00,D01,A46,A45,0.246,0.493,0.246,0.111,0.87,0.0,301.0
