user_op,game_result,op_win_rate,op_lose_rate,op_draw_rate,op_game_count,white_win_rate,white_lose_rate,white_draw_rate,white_game_count,black_win_rate,black_lose_rate,black_draw_rate,black_game_count,top_eco,second_eco,top_winrate_eco,second_winrate_eco,mate_winrate,resign_winrate,time_winrate,mate_lossrate,resign_lossrate,time_lossrate,average_game_len
Ripoff772,-1,0.0,0.0,0.0,0.0,50.0,50.0,0.0,2.0,0.0,0.0,0.0,0.0,D13,D25,D25,D13,0.0,1.0,0.0,0.0,1.0,0.0,292.0
Kayakoray,-1,54.0,42.0,4.0,100.0,61.905,30.159,7.937,63.0,53.226,46.774,0.0,62.0,C20,C40,B10,C45,0.389,0.444,0.125,0.771,0.167,0.062,320.0
cikaGoran,1,42.0,53.0,5.0,100.0,42.857,52.381,4.762,63.0,41.935,51.613,6.452,62.0,D00,A80,A11,A84,0.245,0.528,0.189,0.246,0.723,0.0,296.0
kolotun1,-1,48.0,51.0,1.0,100.0,45.455,51.515,3.03,66.0,42.373,54.237,3.39,59.0,C50,C20,C02,A40,0.345,0.327,0.255,0.212,0.515,0.273,366.0
dijanadjordjevic,1,0.0,0.0,0.0,0.0,42.623,55.738,1.639,61.0,42.188,56.25,1.562,64.0,D00,B10,D02,A02,0.302,0.415,0.264,0.5,0.3,0.157,333.0
Bhaaradwaaj,1,100.0,0.0,0.0,6.0,57.895,36.842,5.263,19.0,46.875,50.0,3.125,32.0,nonStandard,C44,C50,C48,0.385,0.423,0.154,0.739,0.174,0.0,278.0
car1itooo,1,0.0,100.0,0.0,4.0,0.0,100.0,0.0,3.0,0.0,100.0,0.0,1.0,B12,C50,C50,B12,0.0,0.0,0.0,0.0,1.0,0.0,210.0
mogensolsen,-1,44.0,53.0,3.0,100.0,52.459,44.262,3.279,61.0,39.062,59.375,1.562,64.0,C41,C44,B56,B06,0.246,0.421,0.316,0.169,0.708,0.077,325.0
TomaszR,1,0.0,0.0,0.0,0.0,54.688,43.75,1.562,64.0,47.541,44.262,8.197,61.0,C50,C47,C65,C46,0.438,0.125,0.422,0.418,0.127,0.455,273.0
astairerogers,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ElGatoMueveUnaPieza,-1,40.0,60.0,0.0,15.0,49.18,50.82,0.0,61.0,45.312,53.125,1.562,64.0,B00,D00,A01,A82,0.458,0.271,0.237,0.154,0.6,0.246,222.0
MIGUELITROS021809,-1,55.0,43.0,2.0,100.0,61.29,37.097,1.613,62.0,53.968,42.857,3.175,63.0,D02,A40,B50,B93,0.222,0.444,0.319,0.04,0.84,0.12,291.0
Shoyabkhan171,-1,42.0,57.0,0.0,35.0,35.294,64.706,0.0,17.0,50.0,50.0,0.0,18.0,C40,C44,B10,C45,0.667,0.267,0.0,0.25,0.25,0.2,161.0
David-Torres,0,46.0,40.0,14.0,100.0,45.0,43.333,11.667,60.0,43.077,38.462,18.462,65.0,A40,D20,D25,D08,0.364,0.309,0.236,0.706,0.196,0.059,567.0
ItDoesntMakeYouSmart,1,43.0,54.0,3.0,100.0,40.323,56.452,3.226,62.0,44.444,52.381,3.175,63.0,D02,A40,C50,C65,0.189,0.604,0.208,0.191,0.485,0.279,374.0
Monchi,1,59.0,40.0,1.0,100.0,62.903,27.419,9.677,62.0,52.381,46.032,1.587,63.0,A80,C02,B03,B94,0.111,0.639,0.236,0.13,0.783,0.087,430.0
electricmind,-1,100.0,0.0,0.0,6.0,37.143,60.0,2.857,35.0,41.176,55.882,2.941,34.0,B00,B01,C40,B32,0.296,0.481,0.148,0.35,0.25,0.225,288.0
SamBott67,-1,20.0,80.0,0.0,15.0,50.0,43.75,6.25,64.0,36.066,59.016,4.918,61.0,B20,C41,D55,B08,0.13,0.722,0.111,0.094,0.797,0.094,565.0
fatdiego,-1,34.0,60.0,6.0,100.0,41.27,55.556,3.175,63.0,32.258,61.29,6.452,62.0,B06,B01,C45,C61,0.239,0.5,0.196,0.315,0.685,0.0,277.0
nidhiratnakarpote,-1,69.0,26.0,5.0,100.0,54.839,37.097,8.065,62.0,65.079,30.159,4.762,63.0,C50,nonStandard,A00,C20,0.587,0.293,0.053,0.714,0.238,0.048,998.0
Sergei_1976,-1,52.0,46.0,2.0,100.0,42.623,52.459,4.918,61.0,46.875,50.0,3.125,64.0,C25,C50,B07,A10,0.268,0.446,0.286,0.281,0.656,0.062,234.0
makalenko87,1,51.0,47.0,2.0,100.0,44.262,54.098,1.639,61.0,50.0,48.438,1.562,64.0,B00,A40,C35,C40,0.254,0.492,0.254,0.219,0.641,0.125,227.0
psadawartwale,-1,0.0,0.0,0.0,0.0,40.741,55.556,3.704,27.0,29.412,70.588,0.0,17.0,C20,D00,C40,C23,0.438,0.25,0.312,0.407,0.333,0.222,430.0
Jakgambit,1,0.0,0.0,0.0,0.0,66.667,33.333,0.0,3.0,42.857,57.143,0.0,7.0,B01,C50,D00,C50,0.2,0.4,0.2,0.6,0.2,0.2,415.0
Falah2030,-1,48.0,51.0,1.0,100.0,50.82,49.18,0.0,61.0,43.75,53.125,3.125,64.0,B00,C20,A10,A02,0.61,0.203,0.136,0.438,0.344,0.172,500.0
KerwinYeo,-1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,2.0,0.0,0.0,100.0,1.0,A09,B40,A09,B40,0.0,0.0,0.0,0.0,1.0,0.0,507.0
RayKu2005,-1,45.0,48.0,7.0,100.0,46.032,44.444,9.524,63.0,45.161,50.0,4.839,62.0,C00,A40,C50,D45,0.14,0.632,0.211,0.254,0.627,0.119,390.0
Dman1974,1,47.0,52.0,1.0,100.0,46.032,49.206,4.762,63.0,48.387,50.0,1.613,62.0,C20,B20,A00,A20,0.237,0.559,0.153,0.532,0.355,0.065,384.0
AnatoliyRakitin,-1,0.0,0.0,0.0,0.0,50.0,50.0,0.0,4.0,0.0,100.0,0.0,1.0,B20,D02,C40,B20,0.5,0.5,0.0,0.333,0.667,0.0,206.0
mandrakke64,1,47.0,51.0,2.0,100.0,42.857,55.556,1.587,63.0,48.387,50.0,1.613,62.0,C44,B21,C54,D05,0.228,0.596,0.158,0.091,0.576,0.318,409.0
JamesTheChessHead,-1,53.0,41.0,6.0,100.0,50.847,44.068,5.085,59.0,53.03,40.909,6.061,66.0,C50,C57,A00,D04,0.385,0.385,0.185,0.566,0.321,0.075,314.0
marcopoly,-1,48.0,51.0,1.0,100.0,46.774,53.226,0.0,62.0,42.857,55.556,1.587,63.0,A04,A07,E60,E90,0.25,0.589,0.143,0.029,0.074,0.897,421.0
mbegazo,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,A40,,A40,,0.0,0.0,0.0,0.0,1.0,0.0,100.0
Chesvas,1,53.0,47.0,0.0,100.0,56.452,43.548,0.0,62.0,53.968,46.032,0.0,63.0,C00,A40,B44,B00,0.246,0.536,0.217,0.161,0.786,0.018,206.0
ChiefStyles,1,50.0,49.0,1.0,100.0,50.82,47.541,1.639,61.0,54.688,40.625,4.688,64.0,B00,C41,D06,C30,0.076,0.712,0.152,0.218,0.618,0.109,506.0
MarcinKempski,-1,45.0,55.0,0.0,100.0,50.909,49.091,0.0,55.0,38.571,61.429,0.0,70.0,B00,C00,B02,B42,0.418,0.309,0.2,0.2,0.486,0.314,321.0
Sidonio,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1.0,20.0,80.0,0.0,5.0,B10,A01,B10,A01,0.0,1.0,0.0,0.0,0.2,0.6,175.0
Randeephudda,-1,63.0,35.0,2.0,100.0,71.429,25.397,3.175,63.0,58.065,33.871,8.065,62.0,B40,B13,A84,B33,0.099,0.679,0.21,0.081,0.757,0.162,394.0
alexics,-1,51.0,40.0,9.0,100.0,60.317,34.921,4.762,63.0,37.097,61.29,1.613,62.0,B00,A15,E12,E67,0.098,0.525,0.361,0.183,0.317,0.5,270.0
kingslayer9083,1,54.0,44.0,2.0,100.0,53.226,45.161,1.613,62.0,52.381,44.444,3.175,63.0,A00,B00,A01,A02,0.197,0.591,0.167,0.268,0.679,0.018,445.0
Manakgupta,1,46.0,49.0,5.0,100.0,47.541,47.541,4.918,61.0,40.625,53.125,6.25,64.0,B00,B01,B02,B13,0.236,0.473,0.236,0.206,0.683,0.079,247.0
taolang32123,1,14.0,85.0,0.0,7.0,0.0,100.0,0.0,3.0,25.0,75.0,0.0,4.0,D06,A40,A05,D06,1.0,0.0,0.0,1.0,0.0,0.0,391.0
Caseifer,-1,49.0,49.0,2.0,100.0,35.593,62.712,1.695,59.0,45.455,53.03,1.515,66.0,D00,A40,C24,C60,0.392,0.412,0.157,0.222,0.292,0.306,482.0
Ghost_Gopal_Varma,-1,50.0,33.0,16.0,18.0,61.29,33.871,4.839,62.0,47.619,50.794,1.587,63.0,A45,A40,A44,C00,0.265,0.618,0.118,0.113,0.642,0.226,242.0
paul_kersey_013,-1,0.0,0.0,0.0,0.0,54.237,40.678,5.085,59.0,56.061,37.879,6.061,66.0,A40,D00,C78,C26,0.29,0.536,0.159,0.204,0.653,0.143,214.0
dzen_keeper,-1,33.0,66.0,0.0,9.0,14.286,85.714,0.0,14.0,40.0,60.0,0.0,10.0,A00,B00,C25,A40,0.0,0.333,0.667,0.611,0.278,0.111,251.0
rdiatale,-1,50.0,42.0,8.0,100.0,54.545,40.909,4.545,66.0,50.847,45.763,3.39,59.0,B10,C29,B13,C26,0.303,0.515,0.152,0.296,0.481,0.222,508.0
unisjam,-1,46.0,52.0,2.0,100.0,52.459,45.902,1.639,61.0,37.5,60.938,1.562,64.0,A00,B00,C00,B02,0.357,0.5,0.143,0.224,0.746,0.0,177.0
KonShoh,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucifer-7,-1,63.0,23.0,14.0,100.0,57.377,27.869,14.754,61.0,59.375,28.125,12.5,64.0,A15,A43,A02,D34,0.123,0.658,0.219,0.057,0.857,0.057,231.0
VaSab,-1,38.0,60.0,2.0,100.0,44.615,53.846,1.538,65.0,30.0,66.667,3.333,60.0,C00,A40,E16,D55,0.191,0.553,0.255,0.0,0.947,0.053,169.0
Agent968,1,47.0,46.0,7.0,100.0,40.984,49.18,9.836,61.0,46.875,50.0,3.125,64.0,C41,B20,A21,A07,0.109,0.473,0.291,0.194,0.661,0.145,233.0
Ewueiy,0,48.0,47.0,5.0,100.0,45.0,50.0,5.0,60.0,50.769,43.077,6.154,65.0,C10,A45,B21,D01,0.217,0.567,0.217,0.069,0.879,0.034,346.0
IvanLuminaria,-1,60.0,37.0,3.0,100.0,58.73,38.095,3.175,63.0,46.774,46.774,6.452,62.0,C25,C42,C00,C49,0.182,0.606,0.197,0.189,0.604,0.208,531.0
AlexDC,-1,74.0,23.0,3.0,100.0,70.69,25.862,3.448,58.0,67.164,32.836,0.0,67.0,D00,C41,C21,A80,0.163,0.419,0.395,0.324,0.378,0.162,311.0
TheAnalog,-1,45.0,41.0,12.0,93.0,56.452,30.645,12.903,62.0,41.27,42.857,15.873,63.0,B13,C24,D17,C44,0.098,0.607,0.246,0.043,0.761,0.196,663.0
Alex4345345,1,43.0,50.0,7.0,100.0,44.262,49.18,6.557,61.0,39.062,54.688,6.25,64.0,A43,B40,B44,A53,0.192,0.673,0.135,0.138,0.785,0.062,330.0
KyrgyzPrince,-1,50.0,50.0,0.0,42.0,40.323,56.452,3.226,62.0,31.746,60.317,7.937,63.0,A40,D00,A08,B23,0.378,0.156,0.467,0.37,0.425,0.178,214.0
dhrit1569,1,48.0,49.0,3.0,100.0,49.18,44.262,6.557,61.0,48.438,50.0,1.562,64.0,B01,C23,A00,C42,0.098,0.623,0.23,0.136,0.712,0.051,291.0
Sarcophilus,-1,33.0,67.0,0.0,100.0,32.692,67.308,0.0,52.0,30.137,69.863,0.0,73.0,D00,C25,C27,C10,0.256,0.641,0.103,0.012,0.965,0.0,129.0
Tonifox,-1,60.0,35.0,5.0,100.0,53.125,39.062,7.812,64.0,52.459,42.623,4.918,61.0,B30,B23,B90,B43,0.273,0.288,0.424,0.608,0.275,0.098,287.0
Dexter_Morgan01,1,48.0,50.0,2.0,100.0,53.731,43.284,2.985,67.0,43.103,55.172,1.724,58.0,C20,C41,B00,A20,0.262,0.525,0.213,0.279,0.41,0.295,243.0
MrMgrn,-1,50.0,47.0,3.0,100.0,50.794,46.032,3.175,63.0,41.935,56.452,1.613,62.0,A40,C50,A00,E60,0.155,0.5,0.345,0.234,0.625,0.141,266.0
JaydenY,-1,50.0,46.0,4.0,100.0,35.714,57.143,7.143,56.0,52.174,43.478,4.348,69.0,D02,nonStandard,C42,E18,0.179,0.5,0.321,0.194,0.548,0.258,395.0
Gucio1954,-1,0.0,0.0,0.0,0.0,40.0,60.0,0.0,10.0,44.444,55.556,0.0,9.0,B06,C00,A40,A46,0.25,0.5,0.0,0.182,0.091,0.727,378.0
klogomega,-1,45.0,43.0,12.0,100.0,45.763,44.068,10.169,59.0,40.909,46.97,12.121,66.0,C00,C01,A01,E18,0.13,0.611,0.222,0.07,0.737,0.158,360.0
Merutay,-1,53.0,47.0,0.0,100.0,60.0,40.0,0.0,65.0,55.0,43.333,1.667,60.0,B10,C50,A00,C62,0.222,0.556,0.194,0.115,0.788,0.096,332.0
Hechicer0,-1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,100.0,0.0,2.0,A10,B00,B01,A10,1.0,0.0,0.0,0.0,0.5,0.5,412.0
Kourou1000,1,48.0,49.0,3.0,100.0,63.333,35.0,1.667,60.0,44.615,50.769,4.615,65.0,B40,C00,A50,C47,0.164,0.552,0.269,0.5,0.37,0.093,339.0
emirerhan,1,49.0,49.0,2.0,100.0,50.794,49.206,0.0,63.0,53.226,43.548,3.226,62.0,C00,C02,B28,D02,0.323,0.508,0.138,0.121,0.741,0.121,587.0
vinchnz,-1,47.0,44.0,9.0,100.0,46.875,42.188,10.938,64.0,44.262,47.541,8.197,61.0,B10,B12,A80,D63,0.175,0.526,0.281,0.125,0.554,0.321,434.0
Uynaj,1,15.0,83.0,2.0,100.0,13.333,80.0,6.667,15.0,15.0,85.0,0.0,20.0,A00,C00,A10,A04,0.4,0.4,0.0,0.448,0.31,0.138,229.0
L1309,-1,0.0,0.0,0.0,0.0,35.714,58.929,5.357,56.0,39.13,59.42,1.449,69.0,C20,B01,C30,C34,0.234,0.553,0.191,0.419,0.554,0.027,288.0
tonyjjose,1,0.0,0.0,0.0,0.0,58.333,41.667,0.0,60.0,43.077,52.308,4.615,65.0,A00,D00,A04,C22,0.349,0.381,0.254,0.441,0.237,0.288,364.0
SirCumvent,-1,48.0,50.0,2.0,100.0,46.875,53.125,0.0,64.0,54.098,42.623,3.279,61.0,D20,C50,A53,C51,0.381,0.397,0.159,0.133,0.55,0.233,378.0
MarioCandado,-1,38.0,54.0,8.0,100.0,49.206,44.444,6.349,63.0,38.71,56.452,4.839,62.0,C00,C41,B30,A02,0.218,0.545,0.236,0.317,0.651,0.032,310.0
fjaka02,1,45.0,47.0,8.0,100.0,42.857,53.968,3.175,63.0,50.0,40.323,9.677,62.0,B01,D00,A80,D06,0.466,0.259,0.207,0.203,0.373,0.39,386.0
Kingmaster79,1,41.0,56.0,3.0,100.0,40.0,53.333,6.667,60.0,43.077,52.308,4.615,65.0,A40,C50,C51,B10,0.212,0.596,0.173,0.273,0.636,0.03,383.0
KaraLenko,1,47.0,49.0,4.0,100.0,46.774,50.0,3.226,62.0,49.206,46.032,4.762,63.0,C00,C02,A13,E76,0.233,0.55,0.2,0.05,0.8,0.15,545.0
AmorDeSiMismo,1,0.0,0.0,0.0,0.0,87.5,12.5,0.0,24.0,60.0,40.0,0.0,25.0,A05,A01,C41,A00,0.167,0.611,0.222,0.308,0.538,0.154,201.0
condestavel123,-1,41.0,56.0,3.0,100.0,33.846,63.077,3.077,65.0,48.333,50.0,1.667,60.0,B01,A40,B30,D02,0.333,0.49,0.118,0.056,0.746,0.127,201.0
Marchenko_T,0,39.0,42.0,19.0,100.0,47.619,39.683,12.698,63.0,35.484,43.548,20.968,62.0,C10,A80,C00,A43,0.058,0.75,0.192,0.096,0.788,0.115,381.0
Hugoreymisterio,1,36.0,59.0,5.0,100.0,46.875,48.438,4.688,64.0,32.787,60.656,6.557,61.0,C00,C02,C11,C21,0.28,0.52,0.18,0.191,0.485,0.309,546.0
sangzuala-solo,1,56.0,44.0,0.0,100.0,46.97,53.03,0.0,66.0,54.237,44.068,1.695,59.0,C50,B30,B52,A21,0.238,0.603,0.159,0.049,0.508,0.361,547.0
phumitoks,1,0.0,0.0,0.0,0.0,58.824,39.706,1.471,68.0,50.877,43.86,5.263,57.0,A00,B01,C50,E38,0.174,0.493,0.333,0.212,0.731,0.038,226.0
Gleb-63,1,60.0,40.0,0.0,15.0,35.0,60.0,5.0,20.0,23.529,70.588,5.882,17.0,B01,C20,C45,C64,0.273,0.636,0.091,0.125,0.792,0.042,203.0
bhbhbhbhbh,-1,0.0,0.0,0.0,0.0,49.153,50.847,0.0,59.0,45.455,53.03,1.515,66.0,C40,A40,A03,A04,0.254,0.424,0.305,0.077,0.769,0.154,196.0
adamooooo,-1,44.0,52.0,4.0,100.0,50.0,46.97,3.03,66.0,42.373,55.932,1.695,59.0,C23,B01,C21,C40,0.431,0.379,0.155,0.172,0.5,0.297,258.0
Ahmed_1983,-1,49.0,46.0,5.0,100.0,52.459,44.262,3.279,61.0,45.312,51.562,3.125,64.0,D00,A45,A80,A00,0.197,0.59,0.213,0.25,0.367,0.383,394.0
Oleg-derkach-67,0,0.0,0.0,0.0,0.0,66.667,0.0,33.333,3.0,50.0,50.0,0.0,4.0,C44,C00,C44,C01,0.0,0.5,0.25,0.0,1.0,0.0,356.0
gerapi,-1,50.0,46.0,4.0,100.0,50.0,43.548,6.452,62.0,47.619,49.206,3.175,63.0,D02,A40,D04,C21,0.279,0.475,0.164,0.172,0.466,0.328,253.0
anperovi,-1,49.0,45.0,6.0,100.0,53.968,41.27,4.762,63.0,37.097,56.452,6.452,62.0,B22,C50,C42,B06,0.246,0.596,0.123,0.049,0.541,0.41,409.0
iett,-1,56.0,40.0,4.0,100.0,100.0,0.0,0.0,1.0,100.0,0.0,0.0,1.0,C21,nonStandard,C21,nonStandard,0.0,0.0,0.5,0.0,0.0,0.0,281.0
,401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panchito0O,1,45.0,49.0,6.0,100.0,47.541,47.541,4.918,61.0,48.438,42.188,9.375,64.0,B02,A00,A45,B23,0.217,0.467,0.3,0.411,0.339,0.214,267.0
dr_Mohamed_youssef,1,8.0,66.0,25.0,36.0,43.75,43.75,12.5,48.0,53.659,39.024,7.317,41.0,A40,B06,D31,D30,0.233,0.535,0.209,0.324,0.622,0.054,233.0
Medinavibess,1,48.0,51.0,1.0,100.0,49.18,50.82,0.0,61.0,53.125,45.312,1.562,64.0,B00,A40,B40,B06,0.359,0.312,0.312,0.583,0.217,0.183,260.0
Eifelspieler,-1,82.0,14.0,4.0,100.0,90.909,7.576,1.515,66.0,76.271,15.254,8.475,59.0,A00,C40,C29,B15,0.219,0.638,0.124,0.0,1.0,0.0,329.0
puestoma,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vekku,1,33.0,65.0,2.0,100.0,32.258,66.129,1.613,62.0,28.571,69.841,1.587,63.0,B00,A04,A22,D41,0.263,0.447,0.211,0.106,0.212,0.659,323.0
ICH59,-1,46.0,51.0,3.0,100.0,51.562,42.188,6.25,64.0,42.623,54.098,3.279,61.0,B01,C00,C62,C42,0.136,0.559,0.271,0.2,0.767,0.017,294.0
agus123alien,-1,39.0,57.0,3.0,100.0,44.186,53.488,2.326,43.0,28.205,66.667,5.128,39.0,B00,D00,C25,nonStandard,0.233,0.5,0.2,0.286,0.612,0.082,354.0
Gioias,1,46.0,50.0,4.0,100.0,47.619,50.794,1.587,63.0,38.71,51.613,9.677,62.0,C50,B00,C46,C42,0.167,0.389,0.389,0.75,0.016,0.234,291.0
Bdanova_Gulbanu,1,66.0,33.0,0.0,9.0,60.0,40.0,0.0,5.0,40.0,60.0,0.0,10.0,C20,A00,C00,C50,0.143,0.0,0.857,0.25,0.0,0.625,296.0
kapvarovsky_2197,-1,58.0,34.0,6.0,87.0,66.129,30.645,3.226,62.0,57.143,39.683,3.175,63.0,B23,C00,A05,B03,0.104,0.597,0.299,0.114,0.659,0.227,282.0
Kartsen,1,48.0,49.0,3.0,100.0,44.444,50.0,5.556,54.0,49.123,50.877,0.0,57.0,D00,A40,A00,D10,0.481,0.365,0.135,0.304,0.5,0.143,333.0
arouraa,-1,0.0,0.0,0.0,0.0,36.538,61.538,1.923,52.0,42.857,55.357,1.786,56.0,D00,A40,B23,D02,0.302,0.419,0.256,0.413,0.492,0.079,307.0
mahirtiryaki,-1,0.0,0.0,0.0,0.0,50.909,47.273,1.818,55.0,42.857,57.143,0.0,70.0,C00,B10,B46,A22,0.138,0.638,0.207,0.045,0.53,0.379,469.0
Kareem_scaccus,1,50.0,47.0,3.0,100.0,43.548,54.839,1.613,62.0,52.381,44.444,3.175,63.0,A00,B01,D02,C25,0.4,0.4,0.133,0.21,0.339,0.339,334.0
ahad489,-1,48.0,46.0,6.0,100.0,43.548,45.161,11.29,62.0,49.206,49.206,1.587,63.0,C50,C44,B10,D00,0.259,0.534,0.207,0.339,0.559,0.102,663.0
LordBrettSinclair,-1,42.0,50.0,7.0,42.0,55.556,34.921,9.524,63.0,45.161,48.387,6.452,62.0,B01,B22,D12,C19,0.254,0.524,0.206,0.154,0.558,0.288,262.0
Blundermaster34,-1,0.0,0.0,0.0,0.0,54.839,37.097,8.065,62.0,52.381,42.857,4.762,63.0,C42,D10,A40,E32,0.239,0.567,0.164,0.12,0.68,0.18,530.0
choochi,-1,0.0,0.0,0.0,0.0,39.655,55.172,5.172,58.0,35.821,61.194,2.985,67.0,B01,A40,B00,C21,0.191,0.532,0.234,0.055,0.918,0.027,258.0
CitizenShane23,1,51.0,48.0,1.0,100.0,48.387,50.0,1.613,62.0,36.508,61.905,1.587,63.0,C23,B23,B28,B02,0.094,0.585,0.302,0.157,0.514,0.3,374.0
kostya38ru,-1,51.0,47.0,2.0,100.0,59.375,39.062,1.562,64.0,42.623,52.459,4.918,61.0,A40,D00,D04,A41,0.172,0.578,0.234,0.14,0.491,0.351,258.0
Sergei_ZSV,-1,54.0,46.0,0.0,100.0,55.556,44.444,0.0,63.0,53.226,46.774,0.0,62.0,C23,C41,B02,C22,0.235,0.294,0.441,0.544,0.053,0.404,262.0
Kamal766542,-1,50.0,46.0,4.0,100.0,58.73,36.508,4.762,63.0,46.774,53.226,0.0,62.0,A40,C42,A00,A05,0.167,0.561,0.197,0.071,0.625,0.304,338.0
Gracitano01,1,47.0,49.0,4.0,100.0,46.032,49.206,4.762,63.0,48.387,50.0,1.613,62.0,C44,A40,B10,B27,0.356,0.492,0.136,0.177,0.613,0.177,529.0
Feofanov_Vladimir,1,22.0,70.0,7.0,81.0,31.0,48.0,21.0,100.0,40.0,56.0,4.0,25.0,nonStandard,D15,D37,B15,0.634,0.293,0.073,0.145,0.839,0.016,311.0
Janbijo,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sram347,1,0.0,100.0,0.0,3.0,0.0,66.667,33.333,6.0,0.0,100.0,0.0,4.0,A40,C20,B20,A40,0.0,0.0,0.0,0.625,0.0,0.125,320.0
YoungBoyJB,-1,46.0,52.0,2.0,100.0,54.098,42.623,3.279,61.0,39.062,57.812,3.125,64.0,B10,C25,B13,B33,0.207,0.638,0.138,0.095,0.873,0.016,260.0
Nawras-93,1,30.0,68.0,2.0,100.0,45.312,53.125,1.562,64.0,29.508,68.852,1.639,61.0,D02,C47,C30,C25,0.128,0.617,0.213,0.132,0.803,0.053,406.0
matio777,1,56.0,41.0,3.0,100.0,57.377,40.984,1.639,61.0,46.875,45.312,7.812,64.0,C50,A43,C68,B07,0.246,0.523,0.169,0.13,0.796,0.074,483.0
DamdinD,-1,32.0,59.0,9.0,100.0,26.667,65.0,8.333,60.0,32.308,63.077,4.615,65.0,C50,C23,B90,C60,0.486,0.189,0.297,0.95,0.0,0.025,274.0
isnailsahin,-1,55.0,43.0,2.0,100.0,53.226,45.161,1.613,62.0,52.381,46.032,1.587,63.0,B00,B10,E91,E70,0.152,0.576,0.258,0.211,0.544,0.246,373.0
jesuisqueasy,-1,47.0,49.0,4.0,100.0,54.688,42.188,3.125,64.0,44.262,52.459,3.279,61.0,B30,A40,B46,C40,0.355,0.468,0.161,0.068,0.644,0.237,329.0
SirElvince,1,44.0,50.0,6.0,100.0,67.797,28.814,3.39,59.0,34.848,60.606,4.545,66.0,C50,D00,B13,A20,0.365,0.381,0.19,0.281,0.596,0.105,343.0
jerryp2010,1,45.0,52.0,3.0,100.0,48.387,50.0,1.613,62.0,44.444,52.381,3.175,63.0,C00,B01,D02,A06,0.224,0.517,0.207,0.281,0.156,0.5,266.0
RomanB_astard,-1,32.0,67.0,0.0,84.0,46.774,45.161,8.065,62.0,39.683,57.143,3.175,63.0,B00,A00,B30,C48,0.352,0.259,0.37,0.641,0.281,0.078,256.0
lepionfou77,-1,0.0,0.0,0.0,0.0,75.0,25.0,0.0,4.0,50.0,50.0,0.0,8.0,A29,E30,B23,A45,0.0,0.857,0.143,0.0,0.8,0.0,351.0
hillway,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jedechec,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VladimirRei,-1,45.0,55.0,0.0,100.0,53.846,46.154,0.0,65.0,36.667,61.667,1.667,60.0,C44,D00,C22,B07,0.368,0.561,0.053,0.164,0.612,0.194,383.0
ShamsZ,1,48.0,51.0,1.0,100.0,47.619,50.794,1.587,63.0,48.387,51.613,0.0,62.0,C41,A00,C40,C34,0.367,0.4,0.217,0.297,0.266,0.406,410.0
Jwjesq,-1,54.0,42.0,4.0,100.0,49.123,49.123,1.754,57.0,47.059,48.529,4.412,68.0,B06,A40,C00,A22,0.333,0.5,0.083,0.115,0.295,0.59,354.0
meow-thew,0,30.0,60.0,10.0,30.0,45.902,45.902,8.197,61.0,48.438,42.188,9.375,64.0,B10,D01,A01,B07,0.169,0.644,0.136,0.345,0.4,0.255,335.0
christopherus1,-1,49.0,45.0,6.0,100.0,54.098,40.984,4.918,61.0,40.625,50.0,9.375,64.0,C40,C44,C42,C02,0.322,0.508,0.169,0.912,0.053,0.018,506.0
juandelavilla50,-1,37.0,62.0,1.0,100.0,46.774,50.0,3.226,62.0,28.571,69.841,1.587,63.0,B10,C34,B01,B06,0.319,0.383,0.255,0.36,0.44,0.16,268.0
cheszmikez,1,47.0,53.0,0.0,100.0,33.846,64.615,1.538,65.0,43.333,55.0,1.667,60.0,B01,B20,C65,B21,0.25,0.292,0.417,0.213,0.293,0.333,247.0
